,5784-NUSVR--nu=0.05-C=0.1,5784-NUSVR--nu=0.1-C=0.1,5784-NUSVR--nu=0.15-C=0.1,5784-NUSVR--nu=0.25-C=0.1,5784-NUSVR--nu=0.5-C=0.1,5784-NUSVR--nu=0.75-C=0.1,5784-NUSVR--nu=0.05-C=0.5,5784-NUSVR--nu=0.1-C=0.5,5784-NUSVR--nu=0.15-C=0.5,5784-NUSVR--nu=0.25-C=0.5,5784-NUSVR--nu=0.5-C=0.5,5784-NUSVR--nu=0.75-C=0.5,5784-NUSVR--nu=0.05-C=0.75,5784-NUSVR--nu=0.1-C=0.75,5784-NUSVR--nu=0.15-C=0.75,5784-NUSVR--nu=0.25-C=0.75,5784-NUSVR--nu=0.5-C=0.75,5784-NUSVR--nu=0.75-C=0.75,5784-NUSVR--nu=0.05-C=1,5784-NUSVR--nu=0.1-C=1,5784-NUSVR--nu=0.15-C=1,5784-NUSVR--nu=0.25-C=1,5784-NUSVR--nu=0.5-C=1,5784-NUSVR--nu=0.75-C=1,5784-NUSVR--nu=0.05-C=10,5784-NUSVR--nu=0.1-C=10,5784-NUSVR--nu=0.15-C=10,5784-NUSVR--nu=0.25-C=10,5784-NUSVR--nu=0.5-C=10,5784-NUSVR--nu=0.75-C=10
0,ABHD3,ABCA5,AAK1,A2M,A2M,A1BG,ABHD3,ABCA5,AAK1,A2M,A2M,A1BG,ABHD3,ABCA5,AAK1,A2M,A2M,A1BG,ABHD3,ABCA5,AAK1,A2M,A2M,A1BG,ABHD3,ABCA5,AAK1,A2M,A2M,A1BG
1,ABL2,ABHD12,ABCA5,AAK1,AAK1,A1CF,ABL2,ABHD12,ABCA5,AAK1,AAK1,A1CF,ABL2,ABHD12,ABCA5,AAK1,AAK1,A1CF,ABL2,ABHD12,ABCA5,AAK1,AAK1,A1CF,ABL2,ABHD12,ABCA5,AAK1,AAK1,A1CF
2,ABLIM3,ABHD17A,ABHD12,AASDH,AAMP,A2M,ABLIM3,ABHD17A,ABHD12,AASDH,AAMP,A2M,ABLIM3,ABHD17A,ABHD12,AASDH,AAMP,A2M,ABLIM3,ABHD17A,ABHD12,AASDH,AAMP,A2M,ABLIM3,ABHD17A,ABHD12,AASDH,AAMP,A2M
3,ACRBP,ABHD3,ABHD17A,AATF,AARD,A4GALT,ACPP,ABHD3,ABHD17A,AATF,AARD,A4GALT,ACPP,ABHD3,ABHD17A,AATF,AARD,A4GALT,ACPP,ABHD3,ABHD17A,AATF,AARD,A4GALT,ACRBP,ABHD3,ABHD17A,AATF,AARD,A4GALT
4,ACTN1,ABL2,ABHD3,ABCA5,AARS,AACS,ACRBP,ABL2,ABHD3,ABCA5,AARS,AACS,ACRBP,ABL2,ABHD3,ABCA5,AARS,AACS,ACRBP,ABL2,ABHD3,ABCA5,AARS,AACS,ACTN1,ABL2,ABHD3,ABCA5,AARS,AACS
5,ACTN4,ABLIM1,ABL2,ABCA7,AARS2,AAK1,ACTN1,ABLIM1,ABL2,ABCA7,AARS2,AAK1,ACTN1,ABLIM1,ABL2,ABCA7,AARS2,AAK1,ACTN1,ABLIM1,ABL2,ABCA7,AARS2,AAK1,ACTN4,ABLIM1,ABL2,ABCA7,AARS2,AAK1
6,ACTR2,ABLIM3,ABLIM1,ABCB1,AARSD1,AAMDC,ACTN4,ABLIM3,ABLIM1,ABCB1,AARSD1,AAMDC,ACTN4,ABLIM3,ABLIM1,ABCB1,AARSD1,AAMDC,ACTN4,ABLIM3,ABLIM1,ABCB1,AARSD1,AAMDC,ACTR2,ABLIM3,ABLIM1,ABCB1,AARSD1,AAMDC
7,ACTR3,ACLY,ABLIM3,ABCC5,AASDH,AAMP,ACTR2,ACLY,ABLIM3,ABCC5,AASDH,AAMP,ACTR2,ACLY,ABLIM3,ABCC5,AASDH,AAMP,ACTR2,ACLY,ABLIM3,ABCC5,AASDH,AAMP,ACTR3,ACLY,ABLIM3,ABCC5,AASDH,AAMP
8,ADD3,ACPP,ABTB1,ABHD11,AASS,AAR2,ACTR3,ACPP,ABTB1,ABHD11,AASS,AAR2,ACTR3,ACPP,ABTB1,ABHD11,AASS,AAR2,ACTR3,ACPP,ABTB1,ABHD11,AASS,AAR2,ADD3,ACPP,ABTB1,ABHD11,AASS,AAR2
9,ADGRE2,ACRBP,ACAP2,ABHD12,AATF,AARD,ADD3,ACRBP,ACAP2,ABHD12,AATF,AARD,ADD3,ACRBP,ACAP2,ABHD12,AATF,AARD,ADD3,ACRBP,ACAP2,ABHD12,AATF,AARD,ADGRE2,ACRBP,ACAP2,ABHD12,AATF,AARD
10,AGPAT5,ACTN1,ACLY,ABHD15,ABCA13,AARS,ADGRE2,ACTN1,ACLY,ABHD15,ABCA13,AARS,ADGRE2,ACTN1,ACLY,ABHD15,ABCA13,AARS,ADGRE2,ACTN1,ACLY,ABHD15,ABCA13,AARS,AGPAT5,ACTN1,ACLY,ABHD15,ABCA13,AARS
11,AGTRAP,ACTN4,ACOT11,ABHD17A,ABCA5,AARS2,AGPAT5,ACTN4,ACOT11,ABHD17A,ABCA5,AARS2,AGPAT5,ACTN4,ACOT11,ABHD17A,ABCA5,AARS2,AGPAT5,ACTN4,ACOT11,ABHD17A,ABCA5,AARS2,AGTRAP,ACTN4,ACOT11,ABHD17A,ABCA5,AARS2
12,AKAP13,ACTR2,ACPP,ABHD3,ABCA7,AARSD1,AGTRAP,ACTR2,ACPP,ABHD3,ABCA7,AARSD1,AGTRAP,ACTR2,ACPP,ABHD3,ABCA7,AARSD1,AGTRAP,ACTR2,ACPP,ABHD3,ABCA7,AARSD1,AKAP13,ACTR2,ACPP,ABHD3,ABCA7,AARSD1
