,11402-NUSVR--nu=0.05-C=0.1,11402-NUSVR--nu=0.1-C=0.1,11402-NUSVR--nu=0.15-C=0.1,11402-NUSVR--nu=0.25-C=0.1,11402-NUSVR--nu=0.5-C=0.1,11402-NUSVR--nu=0.75-C=0.1,11402-NUSVR--nu=0.05-C=0.5,11402-NUSVR--nu=0.1-C=0.5,11402-NUSVR--nu=0.15-C=0.5,11402-NUSVR--nu=0.25-C=0.5,11402-NUSVR--nu=0.5-C=0.5,11402-NUSVR--nu=0.75-C=0.5,11402-NUSVR--nu=0.05-C=0.75,11402-NUSVR--nu=0.1-C=0.75,11402-NUSVR--nu=0.15-C=0.75,11402-NUSVR--nu=0.25-C=0.75,11402-NUSVR--nu=0.5-C=0.75,11402-NUSVR--nu=0.75-C=0.75,11402-NUSVR--nu=0.05-C=1,11402-NUSVR--nu=0.1-C=1,11402-NUSVR--nu=0.15-C=1,11402-NUSVR--nu=0.25-C=1,11402-NUSVR--nu=0.5-C=1,11402-NUSVR--nu=0.75-C=1,11402-NUSVR--nu=0.05-C=10,11402-NUSVR--nu=0.1-C=10,11402-NUSVR--nu=0.15-C=10,11402-NUSVR--nu=0.25-C=10,11402-NUSVR--nu=0.5-C=10,11402-NUSVR--nu=0.75-C=10
0,ABCC3,AAK1,AAK1,AAK1,A1BG,A1BG,ABCC3,AAK1,AAK1,AAK1,A1BG,A1BG,ABCC3,AAK1,AAK1,AAK1,A1BG,A1BG,ABCC3,AAK1,AAK1,AAK1,A1BG,A1BG,ABCC3,AAK1,AAK1,AAK1,A1BG,A1BG
1,ABHD5,ABCC3,ABCC3,AASS,A2M,A2M,ABHD5,ABCC3,ABCC3,AASS,A2M,A2M,ABHD5,ABCC3,ABCC3,AASS,A2M,A2M,ABHD5,ABCC3,ABCC3,AASS,A2M,A2M,ABHD5,ABCC3,ABCC3,AASS,A2M,A2M
2,ABLIM3,ABHD11,ABCC4,ABCA5,AAK1,AAK1,ABLIM3,ABHD11,ABCC4,ABCA5,AAK1,AAK1,ABLIM3,ABHD11,ABCC4,ABCA5,AAK1,AAK1,ABLIM3,ABHD11,ABCC4,ABCA5,AAK1,AAK1,ABLIM3,ABHD11,ABCC4,ABCA5,AAK1,AAK1
3,ACPP,ABHD12,ABHD11,ABCB1,AAMP,AAMDC,ACPP,ABHD12,ABHD11,ABCB1,AAMP,AAMDC,ACPP,ABHD12,ABHD11,ABCB1,AAMP,AAMDC,ACPP,ABHD12,ABHD11,ABCB1,AAMP,AAMDC,ACPP,ABHD12,ABHD11,ABCB1,AAMP,AAMDC
4,ACRBP,ABHD17A,ABHD12,ABCC1,AARS,AAMP,ACRBP,ABHD17A,ABHD12,ABCC1,AARS,AAMP,ACRBP,ABHD17A,ABHD12,ABCC1,AARS,AAMP,ACRBP,ABHD17A,ABHD12,ABCC1,AARS,AAMP,ACRBP,ABHD17A,ABHD12,ABCC1,AARS,AAMP
5,ACSL1,ABHD5,ABHD17A,ABCC3,AARS2,AARS,ACSL1,ABHD5,ABHD17A,ABCC3,AARS2,AARS,ACSL1,ABHD5,ABHD17A,ABCC3,AARS2,AARS,ACSL1,ABHD5,ABHD17A,ABCC3,AARS2,AARS,ACSL1,ABHD5,ABHD17A,ABCC3,AARS2,AARS
6,ACTN4,ABL2,ABHD3,ABCC4,AARSD1,AARS2,ACTN4,ABL2,ABHD3,ABCC4,AARSD1,AARS2,ACTN4,ABL2,ABHD3,ABCC4,AARSD1,AARS2,ACTN4,ABL2,ABHD3,ABCC4,AARSD1,AARS2,ACTN4,ABL2,ABHD3,ABCC4,AARSD1,AARS2
7,ACTR2,ABLIM3,ABHD5,ABCC5,AASDH,AARSD1,ACTR2,ABLIM3,ABHD5,ABCC5,AASDH,AARSD1,ACTR2,ABLIM3,ABHD5,ABCC5,AASDH,AARSD1,ACTR2,ABLIM3,ABHD5,ABCC5,AASDH,AARSD1,ACTR2,ABLIM3,ABHD5,ABCC5,AASDH,AARSD1
8,ADGRL4,ABTB1,ABL2,ABCD4,AASS,AASDH,ADGRL4,ABTB1,ABL2,ABCD4,AASS,AASDH,ADGRL4,ABTB1,ABL2,ABCD4,AASS,AASDH,ADGRL4,ABTB1,ABL2,ABCD4,AASS,AASDH,ADGRL4,ABTB1,ABL2,ABCD4,AASS,AASDH
9,ADIPOR1,AC009506.1,ABLIM1,ABHD11,AATF,AASS,ADIPOR1,AC009506.1,ABLIM1,ABHD11,AATF,AASS,ADIPOR1,AC009506.1,ABLIM1,ABHD11,AATF,AASS,ADIPOR1,AC009506.1,ABLIM1,ABHD11,AATF,AASS,ADIPOR1,AC009506.1,ABLIM1,ABHD11,AATF,AASS
