,11342-NUSVR--nu=0.05-C=0.1,11342-NUSVR--nu=0.1-C=0.1,11342-NUSVR--nu=0.15-C=0.1,11342-NUSVR--nu=0.25-C=0.1,11342-NUSVR--nu=0.5-C=0.1,11342-NUSVR--nu=0.75-C=0.1,11342-NUSVR--nu=0.05-C=0.5,11342-NUSVR--nu=0.1-C=0.5,11342-NUSVR--nu=0.15-C=0.5,11342-NUSVR--nu=0.25-C=0.5,11342-NUSVR--nu=0.5-C=0.5,11342-NUSVR--nu=0.75-C=0.5,11342-NUSVR--nu=0.05-C=0.75,11342-NUSVR--nu=0.1-C=0.75,11342-NUSVR--nu=0.15-C=0.75,11342-NUSVR--nu=0.25-C=0.75,11342-NUSVR--nu=0.5-C=0.75,11342-NUSVR--nu=0.75-C=0.75,11342-NUSVR--nu=0.05-C=1,11342-NUSVR--nu=0.1-C=1,11342-NUSVR--nu=0.15-C=1,11342-NUSVR--nu=0.25-C=1,11342-NUSVR--nu=0.5-C=1,11342-NUSVR--nu=0.75-C=1,11342-NUSVR--nu=0.05-C=10,11342-NUSVR--nu=0.1-C=10,11342-NUSVR--nu=0.15-C=10,11342-NUSVR--nu=0.25-C=10,11342-NUSVR--nu=0.5-C=10,11342-NUSVR--nu=0.75-C=10
0,A2M,A2M,A2M,A2M,A1BG,A1BG,A2M,A2M,A2M,A2M,A1BG,A1BG,A2M,A2M,A2M,A2M,A1BG,A1BG,A2M,A2M,A2M,A2M,A1BG,A1BG,A2M,A2M,A2M,A2M,A1BG,A1BG
1,ABCC4,AASS,AASDH,AASDH,A2M,A1CF,ABCC4,AASS,AASDH,AASDH,A2M,A1CF,ABCC4,AASS,AASDH,AASDH,A2M,A1CF,ABCC4,AASS,AASDH,AASDH,A2M,A1CF,ABCC4,AASS,AASDH,AASDH,A2M,A1CF
2,ABHD11,ABCA8,ABCA7,AASS,A4GALT,A2M,ABHD11,ABCA8,ABCA7,AASS,A4GALT,A2M,ABHD11,ABCA8,ABCA7,AASS,A4GALT,A2M,ABHD11,ABCA8,ABCA7,AASS,A4GALT,A2M,ABHD11,ABCA8,ABCA7,AASS,A4GALT,A2M
3,ABHD12,ABCC3,ABCA8,ABCA2,AAK1,A2ML1,ABHD12,ABCC3,ABCA8,ABCA2,AAK1,A2ML1,ABHD12,ABCC3,ABCA8,ABCA2,AAK1,A2ML1,ABHD12,ABCC3,ABCA8,ABCA2,AAK1,A2ML1,ABHD12,ABCC3,ABCA8,ABCA2,AAK1,A2ML1
4,ABHD17A,ABCC4,ABCC1,ABCA7,AARD,A4GALT,ABHD17A,ABCC4,ABCC1,ABCA7,AARD,A4GALT,ABHD17A,ABCC4,ABCC1,ABCA7,AARD,A4GALT,ABHD17A,ABCC4,ABCC1,ABCA7,AARD,A4GALT,ABHD17A,ABCC4,ABCC1,ABCA7,AARD,A4GALT
5,ABL2,ABHD11,ABCC3,ABCA8,AASDH,AAK1,ABL2,ABHD11,ABCC3,ABCA8,AASDH,AAK1,ABL2,ABHD11,ABCC3,ABCA8,AASDH,AAK1,ABL2,ABHD11,ABCC3,ABCA8,AASDH,AAK1,ABL2,ABHD11,ABCC3,ABCA8,AASDH,AAK1
6,ABLIM3,ABHD12,ABCC4,ABCB1,AASS,AARD,ABLIM3,ABHD12,ABCC4,ABCB1,AASS,AARD,ABLIM3,ABHD12,ABCC4,ABCB1,AASS,AARD,ABLIM3,ABHD12,ABCC4,ABCB1,AASS,AARD,ABLIM3,ABHD12,ABCC4,ABCB1,AASS,AARD
7,ACPP,ABHD17A,ABHD11,ABCB10,AATF,AASDH,ACPP,ABHD17A,ABHD11,ABCB10,AATF,AASDH,ACPP,ABHD17A,ABHD11,ABCB10,AATF,AASDH,ACPP,ABHD17A,ABHD11,ABCB10,AATF,AASDH,ACPP,ABHD17A,ABHD11,ABCB10,AATF,AASDH
8,ACRBP,ABHD5,ABHD12,ABCB9,ABCA1,AASS,ACRBP,ABHD5,ABHD12,ABCB9,ABCA1,AASS,ACRBP,ABHD5,ABHD12,ABCB9,ABCA1,AASS,ACRBP,ABHD5,ABHD12,ABCB9,ABCA1,AASS,ACRBP,ABHD5,ABHD12,ABCB9,ABCA1,AASS
9,ACTN1,ABL2,ABHD17A,ABCC1,ABCA2,AATF,ACTN1,ABL2,ABHD17A,ABCC1,ABCA2,AATF,ACTN1,ABL2,ABHD17A,ABCC1,ABCA2,AATF,ACTN1,ABL2,ABHD17A,ABCC1,ABCA2,AATF,ACTN1,ABL2,ABHD17A,ABCC1,ABCA2,AATF
10,ACTN4,ABLIM3,ABHD5,ABCC3,ABCA5,AATK,ACTN4,ABLIM3,ABHD5,ABCC3,ABCA5,AATK,ACTN4,ABLIM3,ABHD5,ABCC3,ABCA5,AATK,ACTN4,ABLIM3,ABHD5,ABCC3,ABCA5,AATK,ACTN4,ABLIM3,ABHD5,ABCC3,ABCA5,AATK
