,5668-NUSVR--nu=0.05-C=0.1,5668-NUSVR--nu=0.1-C=0.1,5668-NUSVR--nu=0.15-C=0.1,5668-NUSVR--nu=0.25-C=0.1,5668-NUSVR--nu=0.5-C=0.1,5668-NUSVR--nu=0.75-C=0.1,5668-NUSVR--nu=0.05-C=0.5,5668-NUSVR--nu=0.1-C=0.5,5668-NUSVR--nu=0.15-C=0.5,5668-NUSVR--nu=0.25-C=0.5,5668-NUSVR--nu=0.5-C=0.5,5668-NUSVR--nu=0.75-C=0.5,5668-NUSVR--nu=0.05-C=0.75,5668-NUSVR--nu=0.1-C=0.75,5668-NUSVR--nu=0.15-C=0.75,5668-NUSVR--nu=0.25-C=0.75,5668-NUSVR--nu=0.5-C=0.75,5668-NUSVR--nu=0.75-C=0.75,5668-NUSVR--nu=0.05-C=1,5668-NUSVR--nu=0.1-C=1,5668-NUSVR--nu=0.15-C=1,5668-NUSVR--nu=0.25-C=1,5668-NUSVR--nu=0.5-C=1,5668-NUSVR--nu=0.75-C=1,5668-NUSVR--nu=0.05-C=10,5668-NUSVR--nu=0.1-C=10,5668-NUSVR--nu=0.15-C=10,5668-NUSVR--nu=0.25-C=10,5668-NUSVR--nu=0.5-C=10,5668-NUSVR--nu=0.75-C=10
0,ABCA5,ABCA5,ABCA2,AARS,A2M,A1CF,ABCA5,ABCA5,ABCA2,AARS,A2M,A1CF,ABCA5,ABCA5,ABCA2,AARS,A2M,A1CF,ABCA5,ABCA5,ABCA2,AARS,A2M,A1CF,ABCA5,ABCA5,ABCA2,AARS,A2M,A1CF
1,ABHD12,ABCC3,ABCA5,ABCA2,AAMP,A2M,ABHD12,ABCC3,ABCA5,ABCA2,AAMP,A2M,ABHD12,ABCC3,ABCA5,ABCA2,AAMP,A2M,ABHD12,ABCC3,ABCA5,ABCA2,AAMP,A2M,ABHD12,ABCC3,ABCA5,ABCA2,AAMP,A2M
2,ABLIM3,ABCE1,ABCC3,ABCA5,AARS,A4GALT,ABLIM3,ABCE1,ABCC3,ABCA5,AARS,A4GALT,ABLIM3,ABCE1,ABCC3,ABCA5,AARS,A4GALT,ABLIM3,ABCE1,ABCC3,ABCA5,AARS,A4GALT,ABLIM3,ABCE1,ABCC3,ABCA5,AARS,A4GALT
3,ACPP,ABHD11,ABCE1,ABCB1,AASDHPPT,AACS,ACPP,ABHD11,ABCE1,ABCB1,AASDHPPT,AACS,ACPP,ABHD11,ABCE1,ABCB1,AASDHPPT,AACS,ACPP,ABHD11,ABCE1,ABCB1,AASDHPPT,AACS,ACPP,ABHD11,ABCE1,ABCB1,AASDHPPT,AACS
4,ACRBP,ABHD12,ABHD11,ABCB10,AATF,AADAT,ACRBP,ABHD12,ABHD11,ABCB10,AATF,AADAT,ACRBP,ABHD12,ABHD11,ABCB10,AATF,AADAT,ACRBP,ABHD12,ABHD11,ABCB10,AATF,AADAT,ACRBP,ABHD12,ABHD11,ABCB10,AATF,AADAT
5,ACTN1,ABL2,ABHD12,ABCB9,ABCA12,AAK1,ACTN1,ABL2,ABHD12,ABCB9,ABCA12,AAK1,ACTN1,ABL2,ABHD12,ABCB9,ABCA12,AAK1,ACTN1,ABL2,ABHD12,ABCB9,ABCA12,AAK1,ACTN1,ABL2,ABHD12,ABCB9,ABCA12,AAK1
6,ACTN4,ABLIM3,ABHD3,ABCC3,ABCA2,AAMDC,ACTN4,ABLIM3,ABHD3,ABCC3,ABCA2,AAMDC,ACTN4,ABLIM3,ABHD3,ABCC3,ABCA2,AAMDC,ACTN4,ABLIM3,ABHD3,ABCC3,ABCA2,AAMDC,ACTN4,ABLIM3,ABHD3,ABCC3,ABCA2,AAMDC
7,ADGRL4,AC147651.4,ABL2,ABCC4,ABCA3,AAMP,ADGRL4,AC147651.4,ABL2,ABCC4,ABCA3,AAMP,ADGRL4,AC147651.4,ABL2,ABCC4,ABCA3,AAMP,ADGRL4,AC147651.4,ABL2,ABCC4,ABCA3,AAMP,ADGRL4,AC147651.4,ABL2,ABCC4,ABCA3,AAMP
8,ADIPOR1,ACPP,ABLIM3,ABCE1,ABCA5,AAR2,ADIPOR1,ACPP,ABLIM3,ABCE1,ABCA5,AAR2,ADIPOR1,ACPP,ABLIM3,ABCE1,ABCA5,AAR2,ADIPOR1,ACPP,ABLIM3,ABCE1,ABCA5,AAR2,ADIPOR1,ACPP,ABLIM3,ABCE1,ABCA5,AAR2
9,AFF1,ACRBP,ABO,ABHD11,ABCA7,AARS,AFF1,ACRBP,ABO,ABHD11,ABCA7,AARS,AFF1,ACRBP,ABO,ABHD11,ABCA7,AARS,AFF1,ACRBP,ABO,ABHD11,ABCA7,AARS,AFF1,ACRBP,ABO,ABHD11,ABCA7,AARS
10,AGPAT1,ACTN1,ABRACL,ABHD12,ABCB1,AASDHPPT,AGPAT1,ACTN1,ABRACL,ABHD12,ABCB1,AASDHPPT,AGPAT1,ACTN1,ABRACL,ABHD12,ABCB1,AASDHPPT,AGPAT1,ACTN1,ABRACL,ABHD12,ABCB1,AASDHPPT,AGPAT1,ACTN1,ABRACL,ABHD12,ABCB1,AASDHPPT
11,AGPAT5,ACTN4,ABTB1,ABHD17A,ABCB10,AATF,AGPAT5,ACTN4,ABTB1,ABHD17A,ABCB10,AATF,AGPAT5,ACTN4,ABTB1,ABHD17A,ABCB10,AATF,AGPAT5,ACTN4,ABTB1,ABHD17A,ABCB10,AATF,AGPAT5,ACTN4,ABTB1,ABHD17A,ABCB10,AATF
12,AKIRIN1,ACTR2,AC147651.4,ABHD3,ABCB9,ABCA12,AKIRIN1,ACTR2,AC147651.4,ABHD3,ABCB9,ABCA12,AKIRIN1,ACTR2,AC147651.4,ABHD3,ABCB9,ABCA12,AKIRIN1,ACTR2,AC147651.4,ABHD3,ABCB9,ABCA12,AKIRIN1,ACTR2,AC147651.4,ABHD3,ABCB9,ABCA12
13,AKIRIN2,ACYP1,ACPP,ABHD4,ABCC1,ABCA13,AKIRIN2,ACYP1,ACPP,ABHD4,ABCC1,ABCA13,AKIRIN2,ACYP1,ACPP,ABHD4,ABCC1,ABCA13,AKIRIN2,ACYP1,ACPP,ABHD4,ABCC1,ABCA13,AKIRIN2,ACYP1,ACPP,ABHD4,ABCC1,ABCA13
