,1942-NUSVR--nu=0.05-C=0.1,1942-NUSVR--nu=0.1-C=0.1,1942-NUSVR--nu=0.15-C=0.1,1942-NUSVR--nu=0.25-C=0.1,1942-NUSVR--nu=0.5-C=0.1,1942-NUSVR--nu=0.75-C=0.1,1942-NUSVR--nu=0.05-C=0.5,1942-NUSVR--nu=0.1-C=0.5,1942-NUSVR--nu=0.15-C=0.5,1942-NUSVR--nu=0.25-C=0.5,1942-NUSVR--nu=0.5-C=0.5,1942-NUSVR--nu=0.75-C=0.5,1942-NUSVR--nu=0.05-C=0.75,1942-NUSVR--nu=0.1-C=0.75,1942-NUSVR--nu=0.15-C=0.75,1942-NUSVR--nu=0.25-C=0.75,1942-NUSVR--nu=0.5-C=0.75,1942-NUSVR--nu=0.75-C=0.75,1942-NUSVR--nu=0.05-C=1,1942-NUSVR--nu=0.1-C=1,1942-NUSVR--nu=0.15-C=1,1942-NUSVR--nu=0.25-C=1,1942-NUSVR--nu=0.5-C=1,1942-NUSVR--nu=0.75-C=1,1942-NUSVR--nu=0.05-C=10,1942-NUSVR--nu=0.1-C=10,1942-NUSVR--nu=0.15-C=10,1942-NUSVR--nu=0.25-C=10,1942-NUSVR--nu=0.5-C=10,1942-NUSVR--nu=0.75-C=10
0,ABL2,A2M,A2M,A2M,A2M,A1CF,ABL2,A2M,A2M,A2M,A2M,A1CF,ABL2,A2M,A2M,A2M,A2M,A1CF,ABL2,A2M,A2M,A2M,A2M,A1CF,ABL2,A2M,A2M,A2M,A2M,A1CF
1,ABLIM1,ABCC3,AAK1,AAK1,A2ML1,A2M,ABLIM1,ABCC3,AAK1,AAK1,A2ML1,A2M,ABLIM1,ABCC3,AAK1,AAK1,A2ML1,A2M,ABLIM1,ABCC3,AAK1,AAK1,A2ML1,A2M,ABLIM1,ABCC3,AAK1,AAK1,A2ML1,A2M
2,ABLIM3,ABCG1,ABCB1,AARS2,AAK1,A2ML1,ABLIM3,ABCG1,ABCB1,AARS2,AAK1,A2ML1,ABLIM3,ABCG1,ABCB1,AARS2,AAK1,A2ML1,ABLIM3,ABCG1,ABCB1,AARS2,AAK1,A2ML1,ABLIM3,ABCG1,ABCB1,AARS2,AAK1,A2ML1
3,ACP5,ABHD12,ABCC3,AASDH,AAMP,AACS,ACP5,ABHD12,ABCC3,AASDH,AAMP,AACS,ACP5,ABHD12,ABCC3,AASDH,AAMP,AACS,ACP5,ABHD12,ABCC3,AASDH,AAMP,AACS,ACP5,ABHD12,ABCC3,AASDH,AAMP,AACS
4,ACPP,ABHD3,ABCG1,AASS,AARD,AAK1,ACPP,ABHD3,ABCG1,AASS,AARD,AAK1,ACPP,ABHD3,ABCG1,AASS,AARD,AAK1,ACPP,ABHD3,ABCG1,AASS,AARD,AAK1,ACPP,ABHD3,ABCG1,AASS,AARD,AAK1
5,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAMP,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAMP,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAMP,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAMP,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAMP
6,ACTN4,ABLIM1,ABHD3,ABCB9,AARS2,AAR2,ACTN4,ABLIM1,ABHD3,ABCB9,AARS2,AAR2,ACTN4,ABLIM1,ABHD3,ABCB9,AARS2,AAR2,ACTN4,ABLIM1,ABHD3,ABCB9,AARS2,AAR2,ACTN4,ABLIM1,ABHD3,ABCB9,AARS2,AAR2
7,ACTR2,ABLIM3,ABL2,ABCC3,AASDH,AARD,ACTR2,ABLIM3,ABL2,ABCC3,AASDH,AARD,ACTR2,ABLIM3,ABL2,ABCC3,AASDH,AARD,ACTR2,ABLIM3,ABL2,ABCC3,AASDH,AARD,ACTR2,ABLIM3,ABL2,ABCC3,AASDH,AARD
8,ADGRG6,ACP5,ABLIM1,ABCC4,AASS,AARS,ADGRG6,ACP5,ABLIM1,ABCC4,AASS,AARS,ADGRG6,ACP5,ABLIM1,ABCC4,AASS,AARS,ADGRG6,ACP5,ABLIM1,ABCC4,AASS,AARS,ADGRG6,ACP5,ABLIM1,ABCC4,AASS,AARS
9,ADIPOR1,ACPP,ABLIM3,ABCG1,AATF,AARS2,ADIPOR1,ACPP,ABLIM3,ABCG1,AATF,AARS2,ADIPOR1,ACPP,ABLIM3,ABCG1,AATF,AARS2,ADIPOR1,ACPP,ABLIM3,ABCG1,AATF,AARS2,ADIPOR1,ACPP,ABLIM3,ABCG1,AATF,AARS2
10,AFF1,ACRBP,AC010642.2,ABHD11,ABCA5,AASDH,AFF1,ACRBP,AC010642.2,ABHD11,ABCA5,AASDH,AFF1,ACRBP,AC010642.2,ABHD11,ABCA5,AASDH,AFF1,ACRBP,AC010642.2,ABHD11,ABCA5,AASDH,AFF1,ACRBP,AC010642.2,ABHD11,ABCA5,AASDH
11,AGTRAP,ACTN1,ACAP1,ABHD12,ABCB1,AASDHPPT,AGTRAP,ACTN1,ACAP1,ABHD12,ABCA6,AASDHPPT,AGTRAP,ACTN1,ACAP1,ABHD12,ABCB1,AASDHPPT,AGTRAP,ACTN1,ACAP1,ABHD12,ABCB1,AASDHPPT,AGTRAP,ACTN1,ACAP1,ABHD12,ABCA6,AASDHPPT
12,AK4,ACTN4,ACAP2,ABHD3,ABCB10,AASS,AK4,ACTN4,ACAP2,ABHD3,ABCB1,AASS,AK4,ACTN4,ACAP2,ABHD3,ABCB10,AASS,AK4,ACTN4,ACAP2,ABHD3,ABCB10,AASS,AK4,ACTN4,ACAP2,ABHD3,ABCB1,AASS
13,AKAP13,ACTR2,ACAT1,ABHD5,ABCB9,AATF,AKAP13,ACTR2,ACAT1,ABHD5,ABCB10,AATF,AKAP13,ACTR2,ACAT1,ABHD5,ABCB9,AATF,AKAP13,ACTR2,ACAT1,ABHD5,ABCB9,AATF,AKAP13,ACTR2,ACAT1,ABHD5,ABCB10,AATF
14,AKNA,ACTR3,ACLY,ABI3,ABCC1,ABCA4,AKNA,ACTR3,ACLY,ABI3,ABCB9,ABCA4,AKNA,ACTR3,ACLY,ABI3,ABCC1,ABCA4,AKNA,ACTR3,ACLY,ABI3,ABCC1,ABCA4,AKNA,ACTR3,ACLY,ABI3,ABCB9,ABCA4
