,adventitial cell,cardiac muscle cell,cell of skeletal muscle,fibroblast/mesenchymal stem cell,melanocyte,mesothelial cell,pancreatic stellate cell,pericyte cell,schwann cell,smooth muscle cell,stromal cell,tendon cell,acinar cell of salivary gland/myoepithelial cell,basal cell,basal cell of prostate epithelium,bladder urothelial cell,ciliated cell/lung ciliated cell,ciliated epithelial cell/epithelial cell of uterus,club cell/type i pneumocyte,club cell of prostate epithelium/hillock cell of prostate epithelium/hillock-club cell of prostate epithelium,duct epithelial cell/serous cell of epithelium of bronchus,duodenum glandular cell,enterocyte of epithelium of large intestine/enterocyte of epithelium of small intestine/intestinal crypt stem cell of large intestine/large intestine goblet cell/mature enterocyte/paneth cell of epithelium of large intestine/small intestine goblet cell,goblet cell,hepatocyte,immature enterocyte/intestinal crypt stem cell/intestinal crypt stem cell of small intestine/transit amplifying cell of large intestine,intestinal enteroendocrine cell/paneth cell of epithelium of small intestine/transit amplifying cell of small intestine,intestinal tuft cell,intrahepatic cholangiocyte,ionocyte/luminal epithelial cell of mammary gland,keratinocyte,kidney epithelial cell,luminal cell of prostate epithelium,medullary thymic epithelial cell,mucus secreting cell/secretory cell/tracheal goblet cell,pancreatic acinar cell,pancreatic alpha cell/pancreatic beta cell,pancreatic delta cell,pancreatic ductal cell,pancreatic pp cell,pulmonary ionocyte,respiratory goblet cell/respiratory mucous cell/serous cell of epithelium of trachea,salivary gland cell,type ii pneumocyte,b cell,basophil,erythrocyte/erythroid progenitor,hematopoietic stem cell,innate lymphoid cell,macrophage,mast cell,mature conventional dendritic cell,monocyte,myeloid progenitor,neutrophil,nk cell,plasma cell,plasmablast,platelet,t cell,thymocyte,endothelial cell,r,rmse
5767-NNLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032343774919159594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022770880207379483,0.0,0.0,0.0,0.0,0.0,0.0,0.055796544260760486,0.000503833556557232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008891405164823422,0.0,0.0,0.0,0.3933561626186958,0.0,0.0,0.0,0.0,0.042359423489792734,0.027956311437688428,0.0,0.0735954964378464,0.12566555138594512,0.0,0.0,0.0755827618679371,0.0,0.0010885092746260813,0.04894101684014468,0.491979088591149,0.8731707356495648
5767-QP,-2.246409468113449e-11,-2.695776610412653e-11,-5.730845327176078e-11,-8.305837460172796e-11,-1.0141503594782054e-10,-6.290013482030673e-11,-6.109000348171826e-11,-2.24399639800403e-11,0.03848761981161777,-8.231744029453389e-11,-8.05680676312748e-11,-8.398747140704059e-11,-6.124318494053764e-11,-6.343470043139506e-12,-4.240206579663168e-11,-7.247922841987871e-11,-3.6223784906190015e-11,-9.34151750876334e-11,-3.7773480914166695e-11,-8.972485148209932e-11,0.009007621090489587,0.011352730960057835,-2.069639096658845e-12,-1.1570682876516427e-10,-4.956687192535464e-11,-8.339234726394319e-11,-4.7029186578777893e-11,0.06351701297249109,0.0032704649555841576,-6.11821445302339e-11,0.008559197779554346,-8.028897632465946e-11,0.0025814103538392714,-2.0001697947356513e-11,-2.1569173568813786e-11,0.007856695737489856,0.008756240488323089,-2.5348245414772567e-11,-9.559116536767014e-12,0.0012988545515184315,-5.1848904255166563e-11,2.43838397967528e-11,-2.3112783958642533e-11,0.008077724427270675,4.0678486320444845e-11,-4.3712096602571264e-11,0.40700030189263214,-5.439884433443962e-11,-6.560327719484525e-11,-2.0250054610817875e-11,-9.484547672245984e-11,0.05041823150846447,0.013135829616398314,-5.6977857681992104e-11,0.08653646564248635,0.12762835574686066,0.005779314842650328,0.004886373121296146,0.08568145594987749,-5.2003656055765847e-11,0.004423003689944116,0.05174509689867071,0.4907861132098794,0.8716890644022361
5767-NUSVR--nu=0.05-C=0.1,0.02556925198181781,0.0039804634207731004,0.017615399073371577,-0.05976235428573784,-0.02640910942068947,-0.010895509381840057,0.012741374631219105,0.005055632269693744,0.012966144328281803,-0.03619960330357522,-0.012545466594543232,0.004054611406277331,-0.008435858974412805,0.008021404063629542,-0.0020182622637856043,-0.004624640312045774,0.016949012102384975,-0.028156115269921345,0.005298369041558382,-0.004962898311007297,0.013734139853137189,-0.044932785081433724,0.002304076861613824,0.0014932120604609599,-0.009489453933139103,-0.032759021722449586,0.015374299543986399,0.01302670518088836,0.006490424938388778,0.006206987987737431,-0.01585529687300434,0.009586540012434329,-0.018772511938388817,-0.007615718565686144,0.0043969282272708875,-0.016965322922055742,-0.004603805277706171,-0.01625672141149747,0.0037471787767140163,-0.0073670650663139325,-0.0065933211336113295,-0.034197778534843085,0.022789792826551247,-0.002760956749966339,0.058438520726588214,0.0004888877879290904,0.37815738323931236,-0.06796176559896094,-0.06181155549058777,-0.01792757966182343,-0.02956826714657762,0.022068169413890004,0.1320612850121111,0.05001345793220069,0.0304579229777375,0.050407376911114354,-0.02257624745296442,0.005530473053549024,0.03414153282880135,0.02694342033448549,0.027089562077047744,0.026169247139641,0.45117657225356544,0.8957232565645703
5767-NUSVR--nu=0.1-C=0.1,0.03161900004262222,-0.0016871302697701838,0.01573252327461306,-0.05220513662961738,-0.0287049769590284,-0.011515582751486304,0.014919688439852755,0.013874158067806081,0.013005175928553603,-0.022925126657329552,-0.007814861105160994,-0.012921251596451706,-0.014928387008475982,0.01243786307433754,-0.0026587777119425745,-0.011252984144229278,0.011741678500055575,-0.022399308791393548,0.003768830056560696,-0.003259730912745689,0.028306753204810752,-0.05221427876154237,0.006541922244190021,0.0001695113129251448,-0.016428524548417672,-0.0204009720153307,0.007212954986143071,0.015854672971953716,0.010334902025317875,0.008488108836630707,-0.01076345235114051,0.010827178992009218,-0.011802407316373484,0.0015221194005402565,0.008133099703039274,-0.007921202062731779,-0.0025874242582671516,-0.008987040819206796,-0.0018283491456789498,-0.003221489804361811,-0.01446410528117676,-0.04456705627539576,0.02286030229440419,-0.0019533388212342384,0.04644927842398621,0.044401199542701796,0.3934134418700217,-0.04293733065503129,-0.04191814040015458,-0.052978764946930205,-0.0769213905714839,0.022504831594595365,0.15183320806996736,0.03353742175663069,0.041953087454623526,0.06997993606597783,-0.0030200138452029838,-0.0028997981576586577,0.05198508184387517,0.021642905286801056,0.025034585228729058,0.03550976559041653,0.44777998199336533,0.8971177728501571
5767-NUSVR--nu=0.15-C=0.1,0.027817101865871892,-0.003768480473418146,0.02067095121404368,-0.04043722396651443,-0.020096449441788684,-0.014713100793150417,0.014672997683537903,0.006615269768316837,0.0129827950158393,-0.014975868691436283,-0.009151008169661867,-0.013239500323164243,-0.016954217739953918,0.009179112143102477,0.0005539526011030318,-0.004515126839704089,0.011631963643888223,-0.02313106504294992,0.002861215422505701,-0.002378464644646687,0.020030096732151757,-0.03781198790019991,0.005313306556147528,0.0016655837026755115,-0.020172729169086055,-0.0159107287339253,0.006327975065862898,0.018381189455607207,0.013298554892508158,0.008123706578529455,-0.008464558045790665,0.010834883892258708,-0.008468718789930909,0.008923291671642202,-0.002625455300069506,0.0008331581648419407,-0.0014488969198961875,-0.0054867433787973065,-0.01067754141239281,-0.0028809052806442643,-0.016608356621590097,-0.028117994405560932,0.019712905652964668,-0.008174543703673773,0.04645818712648406,0.06787590022120198,0.3936210888618147,-0.03014738220633647,-0.03113020237381188,-0.07693531644156222,-0.09568030118931807,0.02074978461710944,0.14608560712590749,0.024380481924253256,0.0450538907209522,0.08328148114389944,-0.0056218227078347685,-0.001554859921589327,0.05629812873746825,0.018946825339623698,0.025421660472448187,0.03658187748896151,0.4480800832638195,0.897151841962492
5767-NUSVR--nu=0.25-C=0.1,0.03141673141171654,-0.004864459028311011,0.020646223339450886,-0.04235162544568951,-0.022172508503960974,-0.009516950355126681,0.01781542993362443,0.0011906955790308062,0.01468141455429111,-0.010114497204421109,-0.0031326789183033464,-0.016355654220908174,-0.01722988419972353,0.007644637770089377,0.002429796695631599,-0.011243218364673496,0.009697291293650975,-0.031751588445185344,0.0020425664101312736,0.008518503881873085,0.023718734104564577,-0.03352683012871917,0.003572517009599107,0.0019896279585821623,-0.013134503339995482,-0.016594916429425524,0.0032081745997733615,0.022794029344313203,0.009215458548422234,0.006213746407574744,-0.0052874094775165505,0.009183078354731011,-0.0051163644256223785,0.005682090828012345,-0.005907947729800271,-9.289212070631887e-06,-0.000953441279910045,-0.0031766171544513975,-0.006153444177679275,-0.0013387352700853714,-0.011539986987479725,-0.033389977296284214,0.03197978128562684,-0.005159299022881777,0.07013630059521875,0.05395567644152743,0.3941800377310478,-0.0197626162861804,-0.024223346082686434,-0.07506501287435122,-0.09181626484870628,0.04103071354064923,0.12772087342413557,0.00999892138984388,0.05349157080859482,0.10022992956265045,-0.01462511820278451,-0.002442171264625137,0.05966852422357094,0.02034793439461721,0.025228212165843852,0.0413425595739386,0.4490845404368382,0.8960092780775981
5767-NUSVR--nu=0.5-C=0.1,0.034374797645899346,-0.001890036729481473,0.016260755515553005,-0.04197944679107174,-0.022386879966262426,-0.01668143664446265,0.009629289944419486,0.0006816837612862736,0.016806852853747528,-0.009588732798112544,-0.0063708249211907675,-0.017438066600499156,-0.011752313070225028,0.01352151003897376,0.0045642723972501645,-0.011960819471308351,0.00675940984888925,-0.03488706886683432,-0.003185938096160879,0.00916834941461888,0.03605332075885032,-0.036037854168546005,0.0014811655101623841,0.0013422811442994204,-0.00942691367615869,-0.019213390631915763,0.003739330835375031,0.03376760765877838,0.0102739562582758,0.00680938523843772,-0.0048051234592189325,0.006143025196707019,-0.0019982583584886226,0.01136157300220296,-0.005476665409114356,0.0056847931201347394,0.00428740742845826,-0.009921072435275537,-0.010896119548851932,-0.0018052515756799455,-0.005857621638241199,-0.03931879003075472,0.03158080041884928,0.0004794444987773725,0.07934291283777677,0.023561550071901555,0.39332721789070635,0.0006779843277738449,-0.013731355353798179,-0.056046771094330414,-0.08774600621639267,0.04672484097309591,0.10695511295278709,0.025559538855725546,0.06406525055496604,0.11255081251810337,-0.021005249043822012,-0.0022271423223760465,0.06531963179343685,0.024725607818472148,0.034428904250972225,0.058352046535562446,0.44818989229029216,0.8956406283400922
5767-NUSVR--nu=0.75-C=0.1,0.02429267780178339,-0.0008729634465234476,0.01198216108390916,-0.030119469590950354,-0.022159499772533037,-0.012240565695303454,-0.00031628128431440434,0.0005989986315785231,0.015120045663495826,-0.007882333688431126,-0.00609004394531597,-0.011028644085350058,-0.0077710608675499865,0.00861407760576839,0.006804675873163468,-0.014152071723665813,0.006216807556059257,-0.03279996929148141,-0.0004645275264262873,0.009777327072055662,0.03352708808990142,-0.03617362736257125,-0.0006249091070089918,0.0031912027292153103,-0.00691209778973435,-0.01667661443754296,0.002217428701305607,0.039047299861126455,0.008037478414867724,0.007244050978572584,-0.0018142369586372701,0.00579078531038435,-0.0007470580781106354,0.007884854380836755,-0.004685847817351347,0.005641404195005112,0.0062344898393111355,-0.01271018060428274,-0.00941733242694507,-0.001090431663621997,-0.006485871475992311,-0.043186339521092194,0.03419731038192681,-0.0002739209024382481,0.08978356943761696,0.030157785411114413,0.3929043569180082,0.004260033650526404,-0.01716383905254342,-0.052415752678125246,-0.0937058655250889,0.045689830951019306,0.11246806874915613,0.03721571709038813,0.06181362970770948,0.11903819979621236,-0.024001558145644065,-0.0004390914156686817,0.06939329342314911,0.03203531741924269,0.041671464969264965,0.06893037002361493,0.44289581665875327,0.8991081296791559
5767-NUSVR--nu=0.05-C=0.5,0.028663987615140885,0.0028639189511081575,0.019294618207625014,-0.06378401984873894,-0.0262378014324538,-0.013202281625769086,0.01844755213869481,0.0039418658744510005,0.013258226409543994,-0.03636769561563069,-0.015249009701941707,0.002547319947747817,-0.009778003100516408,0.008031911219703702,-0.0024619045187371236,-0.004565317880204395,0.016467241809490663,-0.027741906748024903,0.005358719373706855,-0.004016154364142321,0.014842880667308461,-0.045717016411527395,0.0023189347859852993,0.0016600567515257583,-0.009406361555147812,-0.03249904233622733,0.015082821117059338,0.013122473241061194,0.006561315169390958,0.006907924360990747,-0.015978496286829926,0.009927771515627681,-0.017359512551081924,-0.004595500236066752,0.004745065282203906,-0.017012756942638554,-0.00464419895252206,-0.016215347801342428,0.003718199264801547,-0.007200790355574194,-0.006892294725413195,-0.03675614046265086,0.022693140894723962,-0.002791617764034922,0.058993627990432895,0.000728062934188034,0.3926641214819555,-0.06876700021740279,-0.06246274123584136,-0.018712338143756835,-0.029509827477507633,0.02194637678407063,0.13385217053760323,0.05038311277148999,0.030485760331954048,0.05030715944037434,-0.022687357813678574,0.0055650018204883925,0.03403504332435031,0.027792957239244798,0.027122566780127325,0.025752244891927678,0.4517967678674897,0.8953549764577228
5767-NUSVR--nu=0.1-C=0.5,0.031483560811963185,-0.0019914892326044764,0.015953845978610437,-0.05187303135320215,-0.028676707441004867,-0.011679534182306682,0.015060438025253794,0.013937920049593086,0.013179234981747667,-0.02282349719844866,-0.007729782797114795,-0.01329469871568506,-0.015316068834889285,0.011735045466758798,-0.0025530561927360473,-0.011372186995581249,0.011692416146430754,-0.022380608294283788,0.0037969429809436156,-0.0032284308344538992,0.03426445929235522,-0.05216135780070769,0.006239143612611605,0.00044770475759729755,-0.016555356537110738,-0.020277928070439932,0.007705326512552943,0.015930221878449363,0.01047852379757154,0.007431709526043731,-0.010514336258075387,0.010974945869676137,-0.011791602369349646,0.0016619388757316625,0.008494309244904671,-0.007742319387075867,-0.0025528481490850134,-0.008972406121674797,-0.002055306860431594,-0.0034782805570768294,-0.013802043828299748,-0.049464582064487964,0.02382048135632707,-0.0019704269687558056,0.04695228209489563,0.04412308337198237,0.393389681860227,-0.042890949860521964,-0.045563180113547846,-0.05401922941537953,-0.07658907961700229,0.022618816365547155,0.1529423356138902,0.03337919158867517,0.04199382500943619,0.07000939586259457,-0.002568520919125839,-0.003112467775384195,0.05262734828800812,0.022788390555511406,0.025814448094240834,0.03543422227044225,0.44683779301608006,0.897515918494488
