,2542-NUSVR--nu=0.05-C=0.1,2542-NUSVR--nu=0.1-C=0.1,2542-NUSVR--nu=0.15-C=0.1,2542-NUSVR--nu=0.25-C=0.1,2542-NUSVR--nu=0.5-C=0.1,2542-NUSVR--nu=0.75-C=0.1,2542-NUSVR--nu=0.05-C=0.5,2542-NUSVR--nu=0.1-C=0.5,2542-NUSVR--nu=0.15-C=0.5,2542-NUSVR--nu=0.25-C=0.5,2542-NUSVR--nu=0.5-C=0.5,2542-NUSVR--nu=0.75-C=0.5,2542-NUSVR--nu=0.05-C=0.75,2542-NUSVR--nu=0.1-C=0.75,2542-NUSVR--nu=0.15-C=0.75,2542-NUSVR--nu=0.25-C=0.75,2542-NUSVR--nu=0.5-C=0.75,2542-NUSVR--nu=0.75-C=0.75,2542-NUSVR--nu=0.05-C=1,2542-NUSVR--nu=0.1-C=1,2542-NUSVR--nu=0.15-C=1,2542-NUSVR--nu=0.25-C=1,2542-NUSVR--nu=0.5-C=1,2542-NUSVR--nu=0.75-C=1,2542-NUSVR--nu=0.05-C=10,2542-NUSVR--nu=0.1-C=10,2542-NUSVR--nu=0.15-C=10,2542-NUSVR--nu=0.25-C=10,2542-NUSVR--nu=0.5-C=10,2542-NUSVR--nu=0.75-C=10
0,ABLIM3,ABCC3,ABCC3,AAK1,A1BG,A1BG,ABLIM3,ABCC3,ABCC3,AAK1,A1BG,A1BG,ABLIM3,ABCC3,ABCC3,AAK1,A1BG,A1BG,ABLIM3,ABCC3,ABCC3,AAK1,A1BG,A1BG,ABLIM3,ABCC3,ABCC3,AAK1,A1BG,A1BG
1,ACPP,ABHD11,ABCC5,AATK,A2M,A2M,ACPP,ABHD11,ABCC5,AATK,A2M,A2M,ACPP,ABHD11,ABCC5,AATK,A2M,A2M,ACPP,ABHD11,ABCC5,AATK,A2M,A2M,ACPP,ABHD11,ABCC5,AATK,A2M,A2M
2,ACRBP,ABHD12,ABHD11,ABCA5,A2ML1,A2ML1,ACRBP,ABHD12,ABHD11,ABCA5,A2ML1,A2ML1,ACRBP,ABHD12,ABHD11,ABCA5,A2ML1,A2ML1,ACRBP,ABHD12,ABHD11,ABCA5,A2ML1,A2ML1,ACRBP,ABHD12,ABHD11,ABCA5,A2ML1,A2ML1
3,ACTN1,ABHD3,ABHD12,ABCB1,AAK1,A4GALT,ACTN1,ABHD3,ABHD12,ABCB9,AAK1,A4GALT,ACTN1,ABHD3,ABHD12,ABCB9,AAK1,A4GALT,ACTN1,ABHD3,ABHD12,ABCB1,AAK1,A4GALT,ACTN1,ABHD3,ABHD12,ABCB9,AAK1,A4GALT
4,ACTN4,ABLIM3,ABHD17A,ABCB9,AAMDC,AADAT,ACTN4,ABLIM3,ABHD17A,ABCC3,AAMDC,AADAT,ACTN4,ABLIM3,ABHD17A,ABCC3,AAMDC,AADAT,ACTN4,ABLIM3,ABHD17A,ABCB9,AAMDC,AADAT,ACTN4,ABLIM3,ABHD17A,ABCC3,AAMDC,AADAT
5,ACTR2,AC009506.1,ABHD3,ABCC3,AAMP,AAK1,ACTR2,AC009506.1,ABHD3,ABCC5,AAMP,AAK1,ACTR2,AC009506.1,ABHD3,ABCC5,AAMP,AAK1,ACTR2,AC009506.1,ABHD3,ABCC3,AAMP,AAK1,ACTR2,AC009506.1,ABHD3,ABCC5,AAMP,AAK1
6,ACTR3,ACKR3,ABHD5,ABCC5,AARD,AAMDC,ACTR3,ACKR3,ABHD5,ABHD11,AARD,AAMDC,ACTR3,ACKR3,ABHD5,ABHD11,AARD,AAMDC,ACTR3,ACKR3,ABHD5,ABCC5,AARD,AAMDC,ACTR3,ACKR3,ABHD5,ABHD11,AARD,AAMDC
7,ADGRG6,ACRBP,ABL2,ABHD11,AARS,AAMP,ADGRG6,ACRBP,ABL2,ABHD12,AARS,AAMP,ADGRG6,ACRBP,ABL2,ABHD12,AARS,AAMP,ADGRG6,ACRBP,ABL2,ABHD11,AARS,AAMP,ADGRG6,ACRBP,ABL2,ABHD12,AARS,AAMP
8,ADIPOR1,ACSL4,ABLIM3,ABHD12,AARS2,AAR2,ADIPOR1,ACSL4,ABLIM3,ABHD17A,AARS2,AAR2,ADIPOR1,ACSL4,ABLIM3,ABHD17A,AARS2,AAR2,ADIPOR1,ACSL4,ABLIM3,ABHD12,AARS2,AAR2,ADIPOR1,ACSL4,ABLIM3,ABHD17A,AARS2,AAR2
9,AGPAT5,ACTN1,ABO,ABHD17A,AARSD1,AARD,AGPAT5,ACTN1,ABO,ABHD3,AARSD1,AARD,AGPAT5,ACTN1,ABO,ABHD3,AARSD1,AARD,AGPAT5,ACTN1,ABO,ABHD17A,AARSD1,AARD,AGPAT5,ACTN1,ABO,ABHD3,AARSD1,AARD
