,5660-NUSVR--nu=0.05-C=0.1,5660-NUSVR--nu=0.1-C=0.1,5660-NUSVR--nu=0.15-C=0.1,5660-NUSVR--nu=0.25-C=0.1,5660-NUSVR--nu=0.5-C=0.1,5660-NUSVR--nu=0.75-C=0.1,5660-NUSVR--nu=0.05-C=0.5,5660-NUSVR--nu=0.1-C=0.5,5660-NUSVR--nu=0.15-C=0.5,5660-NUSVR--nu=0.25-C=0.5,5660-NUSVR--nu=0.5-C=0.5,5660-NUSVR--nu=0.75-C=0.5,5660-NUSVR--nu=0.05-C=0.75,5660-NUSVR--nu=0.1-C=0.75,5660-NUSVR--nu=0.15-C=0.75,5660-NUSVR--nu=0.25-C=0.75,5660-NUSVR--nu=0.5-C=0.75,5660-NUSVR--nu=0.75-C=0.75,5660-NUSVR--nu=0.05-C=1,5660-NUSVR--nu=0.1-C=1,5660-NUSVR--nu=0.15-C=1,5660-NUSVR--nu=0.25-C=1,5660-NUSVR--nu=0.5-C=1,5660-NUSVR--nu=0.75-C=1,5660-NUSVR--nu=0.05-C=10,5660-NUSVR--nu=0.1-C=10,5660-NUSVR--nu=0.15-C=10,5660-NUSVR--nu=0.25-C=10,5660-NUSVR--nu=0.5-C=10,5660-NUSVR--nu=0.75-C=10
0,ABL2,ABCC3,A2M,A2M,A2M,A1CF,ABL2,ABCC3,A2M,A2M,A2M,A1CF,ABL2,ABCC3,A2M,A2M,A2M,A1CF,ABL2,ABCB1,A2M,A2M,A2M,A1CF,ABL2,ABCC3,A2M,A2M,A2M,A1CF
1,ABLIM3,ABHD3,ABCB1,AARS,AAK1,A2M,ABLIM3,ABHD3,ABCB1,AARS,AAK1,A2M,ABLIM3,ABHD3,ABCB1,AARS,AAK1,A2M,ABLIM3,ABCC3,ABCB1,AARS,AAK1,A2M,ABLIM3,ABHD3,ABCB1,AARS,AAK1,A2M
2,ACRBP,ABL2,ABCC3,AASDH,AAMDC,A4GALT,ACPP,ABL2,ABCC3,AASDH,AAMDC,A4GALT,ACRBP,ABL2,ABCC3,AASDH,AAMDC,A4GALT,ACRBP,ABHD3,ABCC3,AASDH,AAMDC,A4GALT,ACRBP,ABL2,ABCC3,AASDH,AAMDC,A4GALT
3,ACTC1,ABLIM3,ABCC5,ABCA5,AAMP,AADAT,ACRBP,ABLIM3,ABCC5,ABCA5,AAMP,AADAT,ACTC1,ABLIM3,ABCC5,ABCA5,AAMP,AADAT,ACTC1,ABL2,ABCC5,ABCA5,AAMP,AADAT,ACTC1,ABLIM3,ABCC5,ABCA5,AAMP,AADAT
4,ACTN1,ACLY,ABHD3,ABCB1,AARS,AAK1,ACTC1,ACLY,ABHD3,ABCB1,AARS,AAK1,ACTN1,ACLY,ABHD3,ABCB1,AARS,AAK1,ACTN1,ABLIM3,ABHD3,ABCB1,AARS,AAK1,ACTN1,ACLY,ABHD3,ABCB1,AARS,AAK1
5,ACTN4,ACP5,ABHD5,ABCB9,AARSD1,AAMDC,ACTN1,ACP5,ABHD5,ABCB9,AARSD1,AAMDC,ACTN4,ACP5,ABHD5,ABCB9,AARSD1,AAMDC,ACTN4,ACLY,ABHD5,ABCB9,AARSD1,AAMDC,ACTN4,ACP5,ABHD5,ABCB9,AARSD1,AAMDC
6,ACTR2,ACPP,ABL2,ABCC3,AASDH,AAMP,ACTN4,ACPP,ABL2,ABCC3,AASDH,AAMP,ACTR2,ACPP,ABL2,ABCC3,AASDH,AAMP,ACTR2,ACP5,ABL2,ABCC3,AASDH,AAMP,ACTR2,ACPP,ABL2,ABCC3,AASDH,AAMP
7,ACYP1,ACRBP,ABLIM1,ABCC5,AASS,AAR2,ACTR2,ACRBP,ABLIM1,ABCC5,AASS,AAR2,ACYP1,ACRBP,ABLIM1,ABCC5,AASS,AAR2,ACYP1,ACPP,ABLIM1,ABCC5,AASS,AAR2,ACYP1,ACRBP,ABLIM1,ABCC5,AASS,AAR2
8,ADAM28,ACTN1,ABLIM3,ABCG1,AATF,AARS,ACYP1,ACTN1,ABLIM3,ABCG1,AATF,AARS,ADAMTS2,ACTN1,ABLIM3,ABCG1,AATF,AARS,ADAM28,ACRBP,ABLIM3,ABCG1,AATF,AARS,ADAM28,ACTN1,ABLIM3,ABCG1,AATF,AARS
9,ADAMTS2,ACTN4,ACER3,ABHD12,ABCA1,AARS2,ADAM28,ACTN4,ACER3,ABHD12,ABCA2,AARS2,ADGRL4,ACTN4,ACER3,ABHD12,ABCA2,AARS2,ADAMTS2,ACTN1,ACER3,ABHD12,ABCA1,AARS2,ADAMTS2,ACTN4,ACER3,ABHD12,ABCA2,AARS2
