,0,1,2,3
0,5.0,46.0,0.19442375683842517,2.0
1,48.0,49.0,0.24056939549801967,2.0
2,17.0,40.0,0.2520252542160432,2.0
3,1.0,38.0,0.32183463791382044,2.0
4,10.0,50.0,0.3233835199380329,2.0
5,8.0,58.0,0.3233918934429035,2.0
6,9.0,61.0,0.3282030410699993,2.0
7,4.0,7.0,0.33417551065307227,2.0
8,45.0,59.0,0.3479479270101502,2.0
9,14.0,32.0,0.36428620880621926,2.0
10,37.0,47.0,0.38571321083086135,2.0
11,13.0,51.0,0.39849268860534975,2.0
12,30.0,64.0,0.4105260930965939,3.0
13,11.0,12.0,0.43357280071170506,2.0
14,19.0,68.0,0.44720871194726414,3.0
15,20.0,62.0,0.4534936072539435,3.0
16,3.0,18.0,0.4569072243411559,2.0
17,15.0,63.0,0.4970373147895646,3.0
18,44.0,65.0,0.5278122884260134,3.0
19,72.0,75.0,0.5912369522505034,4.0
20,34.0,52.0,0.6063574319183848,2.0
21,69.0,77.0,0.6108036519276806,5.0
22,71.0,73.0,0.6119141547681282,4.0
23,2.0,35.0,0.631648657102773,2.0
24,41.0,74.0,0.6554157554820332,4.0
25,6.0,67.0,0.700615425245446,3.0
26,57.0,70.0,0.7118610452130896,3.0
27,16.0,42.0,0.7658757194102223,2.0
28,27.0,76.0,0.7801100038062102,4.0
29,29.0,83.0,0.815452417538073,6.0
30,53.0,54.0,0.9525058679922818,2.0
31,33.0,78.0,0.9526672489891016,3.0
32,24.0,43.0,0.9817354319560901,2.0
33,81.0,90.0,0.9855601684565575,8.0
34,31.0,36.0,1.0055011722227416,2.0
35,84.0,87.0,1.0539575453878263,7.0
36,22.0,28.0,1.0645854902482386,2.0
37,88.0,91.0,1.0808442879894962,9.0
38,82.0,86.0,1.1822407035609641,6.0
39,89.0,93.0,1.2318990816795299,5.0
40,23.0,56.0,1.2909827246401853,2.0
41,26.0,94.0,1.47834533117488,3.0
42,60.0,97.0,1.4966825195737163,8.0
43,0.0,25.0,1.5328089976765873,2.0
44,55.0,80.0,1.6055586964100161,4.0
45,66.0,98.0,1.6603348309364467,4.0
46,95.0,99.0,1.71734330921607,17.0
47,92.0,106.0,1.9190601991792933,6.0
48,101.0,105.0,2.0459037891284426,7.0
49,104.0,108.0,2.1207415213737986,25.0
50,85.0,102.0,2.16869943302653,4.0
51,79.0,100.0,2.1981842871905193,9.0
52,21.0,107.0,2.3434389509648508,5.0
53,96.0,109.0,2.77326300799242,8.0
54,110.0,113.0,2.7787157370534983,16.0
55,103.0,115.0,2.9686533451326516,11.0
56,111.0,114.0,3.4174109938387196,30.0
57,112.0,117.0,3.6510331390052726,15.0
58,118.0,119.0,4.882342702548491,45.0
59,39.0,116.0,5.535735109789135,17.0
60,120.0,121.0,7.27966337209075,62.0
