""
capillary aerocyte
capillary endothelial cell
cardiac endothelial cell
lymphatic endothelial cells
gut endothelial cell
lung microvascular endothelial cell
artery endothelial cell
endothelial cell
endothelial cell of artery
endothelial cell of hepatic sinusoid
vein endothelial cell
bronchial vessel endothelial cell
vein or capillary endothelial cell
endothelial cell of lymphatic vessel
endothelial cell of vascular tree
