,0,1,2,3
0,27.0,50.0,0.16727385652444457,2.0
1,18.0,52.0,0.19443922417728937,2.0
2,10.0,41.0,0.20946587918520135,2.0
3,17.0,57.0,0.2601734792989048,3.0
4,56.0,58.0,0.27777693997948716,4.0
5,11.0,31.0,0.3147106294339675,2.0
6,33.0,51.0,0.32961088977739395,2.0
7,42.0,53.0,0.3431757678136629,2.0
8,44.0,45.0,0.3555920555521602,2.0
9,20.0,59.0,0.3940018139427314,4.0
10,19.0,60.0,0.41450023365743094,5.0
11,4.0,30.0,0.43538672275697093,2.0
12,5.0,12.0,0.46303577600957224,2.0
13,47.0,62.0,0.47850342445552,3.0
14,61.0,66.0,0.4885135672131296,7.0
15,7.0,16.0,0.49970540368664207,2.0
16,36.0,37.0,0.5073213866796803,2.0
17,21.0,63.0,0.5279784552366885,3.0
18,6.0,54.0,0.5891158496321576,2.0
19,0.0,34.0,0.5986767867463962,2.0
20,49.0,64.0,0.6086830798125282,3.0
21,15.0,71.0,0.6697912874573688,3.0
22,24.0,29.0,0.6724864766736153,2.0
23,8.0,48.0,0.7215452863121743,2.0
24,69.0,76.0,0.7728664447845442,6.0
25,9.0,13.0,0.7778832889781077,2.0
26,65.0,73.0,0.7829426964906757,7.0
27,38.0,39.0,0.7948832189638465,2.0
28,43.0,68.0,0.8063324312033725,3.0
29,40.0,72.0,0.9108911328636301,3.0
30,67.0,80.0,0.9263633065253201,8.0
31,28.0,83.0,1.035777346883648,3.0
32,14.0,26.0,1.0645983024431027,2.0
33,1.0,2.0,1.0901029196105834,2.0
34,77.0,78.0,1.1082884779257343,5.0
35,22.0,70.0,1.1188963799336675,8.0
36,3.0,89.0,1.1740081803149132,3.0
37,84.0,90.0,1.176134534884319,8.0
38,32.0,55.0,1.1841216900433398,2.0
39,23.0,87.0,1.2498757122676845,4.0
40,74.0,86.0,1.3888413642125577,10.0
41,46.0,94.0,1.4111764304774979,3.0
42,35.0,88.0,1.4414578564762206,3.0
43,81.0,82.0,1.5289466858554501,9.0
44,93.0,96.0,1.5291385232482615,18.0
45,79.0,92.0,1.69959565813367,5.0
46,85.0,95.0,1.7488422941104413,7.0
47,25.0,75.0,1.906498817829032,3.0
48,100.0,101.0,1.9285266468654418,23.0
49,98.0,103.0,2.052501766364629,6.0
50,91.0,99.0,2.263047077171604,17.0
51,97.0,104.0,2.494523130484471,26.0
52,102.0,105.0,2.778376662939826,13.0
53,106.0,107.0,3.26848947260668,43.0
54,108.0,109.0,3.78016213434605,56.0
