""
thymocyte
cd8b-positive nk t cell
leucocyte
"cd8-positive, alpha-beta t cell"
nkt cell
cd4-positive helper t cells
"cd4-positive, alpha-beta t cell"
t cell
mature nk t cell
"naive thymus-derived cd8-positive, alpha-beta t cell"
"cd8-positive, alpha-beta cytotoxic t cell"
"cd8-positive, alpha-beta memory t cell"
immature natural killer cell
dn1 thymic pro-t cell
cd8-positive alpha-beta t cell
type i nk t cell
regulatory t cell
naive regulatory t cell
t follicular helper cell
innate lymphoid cell
cd4-positive alpha-beta t cell
"cd4-positive, alpha-beta memory t cell"
dn3 thymocyte
cd4-positive helper t cell
"naive thymus-derived cd4-positive, alpha-beta t cell"
dn4 thymocyte
"cd8-positive, alpha-beta cytokine secreting effector t cell"
nk cell
"double-positive, alpha-beta thymocyte"
immune cell
basophil
mast cell
erythrocyte
platelet
hematopoietic stem cell
erythroid progenitor
myeloid progenitor
langerhans cell
mature conventional dendritic cell
plasma cell
plasmablast
plasmacytoid dendritic cell
naive b cell
b cell
memory b cell
mesenchymal stem cell
cd141-positive myeloid dendritic cell
myeloid dendritic cell
liver dendritic cell
cd1c-positive myeloid dendritic cell
dendritic cell
alpha-beta t cell
granulocyte
cd24 neutrophil
nampt neutrophil
neutrophil
macrophage
non-classical monocyte
myeloid cell
intermediate monocyte
classical monocyte
monocyte
