,clusters
adventitial cell,0
cardiac muscle cell,1
cell of skeletal muscle,2
fibroblast/mesenchymal stem cell,3
melanocyte,4
mesothelial cell,5
pancreatic stellate cell,6
pericyte cell,7
schwann cell,8
smooth muscle cell,9
stromal cell,10
tendon cell,11
