,clusters
artery endothelial cell,0
bronchial vessel endothelial cell,1
capillary aerocyte,2
capillary endothelial cell,3
cardiac endothelial cell,4
endothelial cell,5
endothelial cell of artery,6
endothelial cell of hepatic sinusoid,7
endothelial cell of lymphatic vessel,8
endothelial cell of vascular tree,9
gut endothelial cell,10
lung microvascular endothelial cell,11
lymphatic endothelial cells,12
vein endothelial cell,13
vein or capillary endothelial cell,14
