,1908-NUSVR--nu=0.05-C=0.1,1908-NUSVR--nu=0.1-C=0.1,1908-NUSVR--nu=0.15-C=0.1,1908-NUSVR--nu=0.25-C=0.1,1908-NUSVR--nu=0.5-C=0.1,1908-NUSVR--nu=0.75-C=0.1,1908-NUSVR--nu=0.05-C=0.5,1908-NUSVR--nu=0.1-C=0.5,1908-NUSVR--nu=0.15-C=0.5,1908-NUSVR--nu=0.25-C=0.5,1908-NUSVR--nu=0.5-C=0.5,1908-NUSVR--nu=0.75-C=0.5,1908-NUSVR--nu=0.05-C=0.75,1908-NUSVR--nu=0.1-C=0.75,1908-NUSVR--nu=0.15-C=0.75,1908-NUSVR--nu=0.25-C=0.75,1908-NUSVR--nu=0.5-C=0.75,1908-NUSVR--nu=0.75-C=0.75,1908-NUSVR--nu=0.05-C=1,1908-NUSVR--nu=0.1-C=1,1908-NUSVR--nu=0.15-C=1,1908-NUSVR--nu=0.25-C=1,1908-NUSVR--nu=0.5-C=1,1908-NUSVR--nu=0.75-C=1,1908-NUSVR--nu=0.05-C=10,1908-NUSVR--nu=0.1-C=10,1908-NUSVR--nu=0.15-C=10,1908-NUSVR--nu=0.25-C=10,1908-NUSVR--nu=0.5-C=10,1908-NUSVR--nu=0.75-C=10
0,ABCA2,A2M,A2M,A2M,A2M,A1CF,ABCA2,A2M,A2M,A2M,A2M,A1CF,ABCA2,A2M,A2M,A2M,A2M,A1CF,ABCA2,A2M,A2M,A2M,A2M,A1CF,ABCA2,A2M,A2M,A2M,A2M,A1CF
1,ABCD3,ABCA2,A4GALT,A4GALT,A2ML1,A2M,ABCD3,ABCA2,A4GALT,A4GALT,A2ML1,A2M,ABCD3,ABCA2,A4GALT,A4GALT,A2ML1,A2M,ABCD3,ABCA2,A4GALT,A4GALT,A2ML1,A2M,ABCD3,ABCA2,A4GALT,A4GALT,A2ML1,A2M
2,ABLIM3,ABCB1,AASDH,AASDH,A4GALT,A2ML1,ABLIM3,ABCB1,AASDH,AASDH,A4GALT,A2ML1,ABLIM3,ABCB1,AASDH,AASDH,A4GALT,A2ML1,ABLIM3,ABCB1,AASDH,AASDH,A4GALT,A2ML1,ABLIM3,ABCB1,AASDH,AASDH,A4GALT,A2ML1
3,ACP5,ABCD3,ABCA2,AASDHPPT,AAK1,A4GALT,ACP5,ABCD3,ABCA2,AASDHPPT,AAK1,A4GALT,ACP5,ABCD3,ABCA2,AASDHPPT,AAK1,A4GALT,ACP5,ABCD3,ABCA2,AASDHPPT,AAK1,A4GALT,ACP5,ABCD3,ABCA2,AASDHPPT,AAK1,A4GALT
4,ACPP,ABHD3,ABCB1,ABCA13,AAMDC,AAK1,ACPP,ABHD3,ABCB1,ABCA13,AAMDC,AAK1,ACPP,ABHD3,ABCB1,ABCA13,AAMDC,AAK1,ACPP,ABHD3,ABCB1,ABCA13,AAMDC,AAK1,ACPP,ABHD3,ABCB1,ABCA13,AAMDC,AAK1
5,ACRBP,ABHD5,ABCD3,ABCA2,AAMP,AAMDC,ACRBP,ABHD5,ABCD3,ABCA2,AAMP,AAMDC,ACRBP,ABHD5,ABCD3,ABCA2,AAMP,AAMDC,ACRBP,ABHD5,ABCD3,ABCA2,AAMP,AAMDC,ACRBP,ABHD5,ABCD3,ABCA2,AAMP,AAMDC
6,ACTN1,ABLIM3,ABHD12,ABCA7,AAR2,AAMP,ACTN1,ABLIM3,ABHD12,ABCA7,AAR2,AAMP,ACTN1,ABLIM3,ABHD12,ABCA7,AAR2,AAMP,ACTN1,ABLIM3,ABHD12,ABCA7,AAR2,AAMP,ACTN1,ABLIM3,ABHD12,ABCA7,AAR2,AAMP
7,ACTN4,ABTB1,ABHD17A,ABCB1,AARS,AAR2,ACTN4,ABTB1,ABHD17A,ABCB1,AARS,AAR2,ACTN4,ABTB1,ABHD17A,ABCB1,AARS,AAR2,ACTN4,ABTB1,ABHD17A,ABCB1,AARS,AAR2,ACTN4,ABTB1,ABHD17A,ABCB1,AARS,AAR2
8,ADAM28,ACER3,ABHD3,ABCB9,AARSD1,AARS,ADAM28,ACER3,ABHD3,ABCB9,AARSD1,AARS,ADAM28,ACER3,ABHD3,ABCB9,AARSD1,AARS,ADAM28,ACER3,ABHD3,ABCB9,AARSD1,AARS,ADAM28,ACER3,ABHD3,ABCB9,AARSD1,AARS
9,ADGRL4,ACP5,ABHD5,ABCD3,AASDH,AARSD1,ADGRL4,ACP5,ABHD5,ABCD3,AASDH,AARSD1,ADGRL4,ACP5,ABHD5,ABCD3,AASDH,AARSD1,ADGRL4,ACP5,ABHD5,ABCD3,AASDH,AARSD1,ADGRL4,ACP5,ABHD5,ABCD3,AASDH,AARSD1
