,1912-NUSVR--nu=0.05-C=0.1,1912-NUSVR--nu=0.1-C=0.1,1912-NUSVR--nu=0.15-C=0.1,1912-NUSVR--nu=0.25-C=0.1,1912-NUSVR--nu=0.5-C=0.1,1912-NUSVR--nu=0.75-C=0.1,1912-NUSVR--nu=0.05-C=0.5,1912-NUSVR--nu=0.1-C=0.5,1912-NUSVR--nu=0.15-C=0.5,1912-NUSVR--nu=0.25-C=0.5,1912-NUSVR--nu=0.5-C=0.5,1912-NUSVR--nu=0.75-C=0.5,1912-NUSVR--nu=0.05-C=0.75,1912-NUSVR--nu=0.1-C=0.75,1912-NUSVR--nu=0.15-C=0.75,1912-NUSVR--nu=0.25-C=0.75,1912-NUSVR--nu=0.5-C=0.75,1912-NUSVR--nu=0.75-C=0.75,1912-NUSVR--nu=0.05-C=1,1912-NUSVR--nu=0.1-C=1,1912-NUSVR--nu=0.15-C=1,1912-NUSVR--nu=0.25-C=1,1912-NUSVR--nu=0.5-C=1,1912-NUSVR--nu=0.75-C=1,1912-NUSVR--nu=0.05-C=10,1912-NUSVR--nu=0.1-C=10,1912-NUSVR--nu=0.15-C=10,1912-NUSVR--nu=0.25-C=10,1912-NUSVR--nu=0.5-C=10,1912-NUSVR--nu=0.75-C=10
0,ABCC5,ABCB1,ABCB1,AAK1,A1BG,A1BG,ABCC5,ABCB1,ABCB1,AAK1,A1BG,A1BG,ABCC5,ABCB1,ABCB1,AAK1,A1BG,A1BG,ABCC5,ABCB1,ABCB1,AAK1,A1BG,A1BG,ABCC5,ABCB1,ABCB1,AAK1,A1BG,A1BG
1,ABL2,ABCC5,ABCC5,AASDH,A2M,A1CF,ABL2,ABCC5,ABCC5,AASDH,A2M,A1CF,ABL2,ABCC5,ABCC5,AASDH,A2M,A1CF,ABL2,ABCC5,ABCC5,AASDH,A2M,A1CF,ABL2,ABCC5,ABCC5,AASDH,A2M,A1CF
2,ABLIM3,ABHD3,ABCD4,ABCB1,A4GALT,A2M,ABLIM3,ABHD3,ABCD4,ABCB1,A4GALT,A2M,ABLIM3,ABHD3,ABCD4,ABCB1,A4GALT,A2M,ABLIM3,ABHD3,ABCD4,ABCB1,A4GALT,A2M,ABLIM3,ABHD3,ABCD4,ABCB1,A4GALT,A2M
3,ACP5,ABHD5,ABHD12,ABCB9,AAK1,A2ML1,ACP5,ABHD5,ABHD12,ABCB9,AAK1,A2ML1,ACP5,ABHD5,ABHD12,ABCB9,AAK1,A2ML1,ACP5,ABHD5,ABHD12,ABCB9,AAK1,A2ML1,ACP5,ABHD5,ABHD12,ABCB9,AAK1,A2ML1
4,ACPP,ABL2,ABHD3,ABCC5,AAMDC,A4GALT,ACPP,ABL2,ABHD3,ABCC5,AAMDC,A4GALT,ACPP,ABL2,ABHD3,ABCC5,AAMDC,A4GALT,ACPP,ABL2,ABHD3,ABCC5,AAMDC,A4GALT,ACPP,ABL2,ABHD3,ABCC5,AAMDC,A4GALT
5,ACRBP,ABLIM1,ABHD5,ABCD4,AAMP,AACS,ACRBP,ABLIM1,ABHD5,ABCD4,AAMP,AACS,ACRBP,ABLIM1,ABHD5,ABCD4,AAMP,AACS,ACRBP,ABLIM1,ABHD5,ABCD4,AAMP,AACS,ACRBP,ABLIM1,ABHD5,ABCD4,AAMP,AACS
6,ACTN4,ABLIM3,ABI3,ABCF3,AAR2,AAK1,ACTN4,ABLIM3,ABI3,ABCF3,AAR2,AAK1,ACTN4,ABLIM3,ABI3,ABCF3,AAR2,AAK1,ACTN4,ABLIM3,ABI3,ABCF3,AAR2,AAK1,ACTN4,ABLIM3,ABI3,ABCF3,AAR2,AAK1
7,ACTR2,ACLY,ABL2,ABHD12,AARD,AAMDC,ACTR2,ACLY,ABL2,ABHD12,AARD,AAMDC,ACTR2,ACLY,ABL2,ABHD12,AARD,AAMDC,ACTR2,ACLY,ABL2,ABHD12,AARD,AAMDC,ACTR2,ACLY,ABL2,ABHD12,AARD,AAMDC
8,ACTR3,ACP1,ABLIM1,ABHD3,AARS,AAMP,ACTR3,ACP1,ABLIM1,ABHD3,AARS,AAMP,ACTR3,ACP1,ABLIM1,ABHD3,AARS,AAMP,ACTR3,ACP1,ABLIM1,ABHD3,AARS,AAMP,ACTR3,ACP1,ABLIM1,ABHD3,AARS,AAMP
9,ADIPOR1,ACP5,ABLIM3,ABHD4,AASDH,AAR2,ADIPOR1,ACP5,ABLIM3,ABHD4,AASDH,AAR2,ADIPOR1,ACP5,ABLIM3,ABHD4,AASDH,AAR2,ADIPOR1,ACP5,ABLIM3,ABHD4,AASDH,AAR2,ADIPOR1,ACP5,ABLIM3,ABHD4,AASDH,AAR2
10,AFF1,ACPP,ACAP1,ABHD5,AASS,AARD,AFF1,ACPP,ACAP1,ABHD5,AASS,AARD,AFF1,ACPP,ACAP1,ABHD5,AASS,AARD,AFF1,ACPP,ACAP1,ABHD5,AASS,AARD,AFF1,ACPP,ACAP1,ABHD5,AASS,AARD
