,adventitial cell,cardiac muscle cell,cell of skeletal muscle,fibroblast/mesenchymal stem cell,melanocyte,mesothelial cell,pancreatic stellate cell,pericyte cell,schwann cell,smooth muscle cell,stromal cell,tendon cell,acinar cell of salivary gland/myoepithelial cell,basal cell,basal cell of prostate epithelium,bladder urothelial cell,ciliated cell/lung ciliated cell,ciliated epithelial cell/epithelial cell of uterus,club cell/type i pneumocyte,club cell of prostate epithelium/hillock cell of prostate epithelium/hillock-club cell of prostate epithelium,duct epithelial cell/serous cell of epithelium of bronchus,duodenum glandular cell,enterocyte of epithelium of large intestine/enterocyte of epithelium of small intestine/intestinal crypt stem cell of large intestine/large intestine goblet cell/mature enterocyte/paneth cell of epithelium of large intestine/small intestine goblet cell,goblet cell,hepatocyte,immature enterocyte/intestinal crypt stem cell/intestinal crypt stem cell of small intestine/transit amplifying cell of large intestine,intestinal enteroendocrine cell/paneth cell of epithelium of small intestine/transit amplifying cell of small intestine,intestinal tuft cell,intrahepatic cholangiocyte,ionocyte/luminal epithelial cell of mammary gland,keratinocyte,kidney epithelial cell,luminal cell of prostate epithelium,medullary thymic epithelial cell,mucus secreting cell/secretory cell/tracheal goblet cell,pancreatic acinar cell,pancreatic alpha cell/pancreatic beta cell,pancreatic delta cell,pancreatic ductal cell,pancreatic pp cell,pulmonary ionocyte,respiratory goblet cell/respiratory mucous cell/serous cell of epithelium of trachea,salivary gland cell,type ii pneumocyte,b cell,basophil,erythrocyte/erythroid progenitor,hematopoietic stem cell,innate lymphoid cell,macrophage,mast cell,mature conventional dendritic cell,monocyte,myeloid progenitor,neutrophil,nk cell,plasma cell,plasmablast,platelet,t cell,thymocyte,endothelial cell,r,rmse
11198-NNLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01813843682234558,0.0,0.0,0.0,0.0,0.0,0.05585221243636492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6504770459367117,0.0,0.0,0.0,0.0,0.025812053051892124,0.0,0.0,0.05564293293575183,0.06703991330020308,0.0,0.0,0.4965096603731703,0.0,0.0,0.01969024915319088,0.8541943457603951,0.5723760841157691
11198-QP,-1.2579883829963326e-10,-2.6884134992432103e-10,-2.9757988510373e-11,-1.6183411821096958e-10,-1.0737855222371945e-10,-3.4414794470894067e-10,-1.826256532615574e-10,1.6350580914166527e-10,2.6400057412266644e-10,-1.2625085805405343e-10,-2.224319558648563e-10,-1.3148848331987378e-10,-3.0613811521809363e-10,-1.0112672831981185e-10,-1.0494516375603329e-10,-1.8212945206810172e-10,-1.595425608022323e-10,-2.432113143782529e-10,-2.2587229989714255e-10,-9.57427192290707e-11,-1.4964511142793199e-10,-5.6850231801057e-11,-1.9910573856670664e-10,-2.191301092711501e-10,-3.032705282522036e-10,-3.2491900222703857e-10,-6.908794053120772e-11,2.139845989115656e-08,-2.672524664177448e-10,-1.0728638212660868e-10,-3.066118986511826e-10,-1.709912294728451e-10,-2.987842839453482e-10,-1.6288003795777162e-10,-3.0763826832486794e-10,-3.3583372718503457e-10,-2.095328834337709e-10,-4.1675416840658027e-10,-1.1072779033527931e-10,-3.26562133716388e-10,-1.8384920620975068e-10,-2.3819211588986663e-10,-2.850239349245015e-10,-3.17836282567179e-10,2.4801660594253758e-09,1.154084605217213e-10,0.5503104828921009,1.764391290027159e-10,3.964744058538428e-10,7.091259178836105e-11,2.1241084226350374e-10,2.1999696953294518e-09,4.524414584613049e-09,3.375173070120707e-11,1.2310239606028571e-09,0.02447186834104793,-2.3163527530692447e-10,-4.190538033001389e-10,0.4252175990072929,1.098892255850584e-09,7.902789593826414e-10,2.3741167885435543e-08,0.8453679578377569,0.5533931380628621
11198-NUSVR--nu=0.05-C=0.1,0.019332630871956805,-0.020932266886419304,0.01796852554135341,-0.039216541068681075,-0.026021940445922,9.162124815317174e-05,0.0027566323236305865,0.015685290195479856,0.0018467160403116212,-0.03643133004857667,0.0019052445931081008,-0.0058310396463170195,-0.014199924665768197,0.008646648678630634,-0.004723305101570079,-0.009491562826176792,0.014021371369331851,-0.02383223888490846,-0.012139827018796488,0.006626033444566118,-0.008315078772431825,-0.007433105142423884,0.003394722516997496,0.0012479631850527925,-0.016716147311877927,-0.01993747082593274,0.0015416137780755257,0.017296180291128865,0.013850232562404575,0.0019959301607046804,0.0014778699049137697,0.008363721503533733,-0.010972010472255609,-0.004940904929475032,-0.0120930449885141,0.0014826107517425895,-0.0018907159100757798,-0.0006917956293265992,-0.003432028490359347,-0.010135658299067143,-0.01210493982628898,-0.0005851796662072579,0.0157097953067879,0.00843278277766745,0.05034170127932024,-0.020007686563730427,0.6423400406612438,-0.005611702967138289,-0.06186000350426757,-0.036549525344551415,-0.007976987445646441,0.017096066328248026,0.08984055072302982,-0.010367892001422107,0.032181569398706956,0.026852535780676277,-0.01730676355940593,0.004932304021149277,0.41184316363670415,0.024055825329714044,0.03193884353753355,0.017643552768380963,0.8308363348855424,0.6183332448266089
11198-NUSVR--nu=0.1-C=0.1,0.023638424409895276,-0.01482703978701873,0.009237304577846522,-0.03341047597705704,-0.020836549813179395,-0.009216342535958339,0.009238324749716472,0.012569269482724226,-0.0011423715526727996,-0.02289426991314086,-0.0025041166664202673,-0.011340301094428006,-0.010841402513302754,0.009441989934446587,0.0036281095846938116,-0.01230849212766923,0.012598041349001804,-0.016083528068646005,-0.009988733698203365,2.5814556545100675e-05,0.006010814290894835,-0.013507042827856945,0.006732243285793207,-0.0036635460052081015,-0.01594751874836825,-0.013916547985353748,0.0006905475051658255,0.016892569691298737,0.012631787415269775,-0.0008220025382457419,-0.0021721499576790506,-0.006689790228920751,-0.0066963001138412165,0.004205931573293069,-0.0014158652496724326,-0.005483824308590972,-0.004824274404584982,-0.0017954437826993583,-0.004296242741314422,0.00037766958137465,-0.010023963427884405,-0.008588094641476916,0.008578289782193736,0.006713014181858661,0.040969633403839294,0.019642861802105314,0.6465636218230392,-0.012394244201785023,-0.03457324032264633,-0.06072849339437545,-0.040431729026810165,0.023462508577461086,0.09502609080518433,-0.016809566016984828,0.044222261078888395,0.044882660732391236,-0.01358295863627652,0.0016411690105374455,0.4208179002689011,0.01885060067525515,0.019193235159655035,0.02155856453145888,0.831399800883782,0.6183462503618367
11198-NUSVR--nu=0.15-C=0.1,0.019596483013438942,-0.009632790274986184,0.008503948012871647,-0.02618894806406568,-0.023389919559572484,-0.004166018494252337,0.005836018050546661,0.009802069034603175,0.0031322991959071463,-0.019796948323909477,0.005680338568545988,-0.010257292648287923,-0.008411330329169183,0.010198632083144584,0.0006064934147086143,-0.013088665115496235,0.01000827644872232,-0.019095215421600493,-0.004255798932381795,0.004972282847836792,0.0038319119685876883,-0.010573491785260382,0.008305567134238273,-0.006790469159720411,-0.010884554896542786,-0.01138237257770889,0.000406080523130372,0.015509585537233063,0.008726590128226186,0.004323169816789735,-0.0035087795491271414,-0.01780213621410611,-0.004863416744743875,0.0012810589940853104,-0.0024858748062933905,-0.004428305243025905,0.000889059475925014,-0.005283917442075898,-0.001986798521550419,0.0002202811728333658,-0.006824057270556589,-0.0054115529139137294,0.00646649371913742,0.0029557431824071756,0.0414917467507115,0.027605518165129996,0.648328719901718,-0.012774617473331595,-0.014359131241423358,-0.06708518118595382,-0.04709095439322564,0.022253899225666708,0.09462217430186487,-0.018958278221375274,0.04980114086730757,0.0445132173860228,-0.014215923063075793,-9.353528363126827e-06,0.42580113537556075,0.015898142099354293,0.014830957786771602,0.02222540873654697,0.8312185589057114,0.6167259807253437
11198-NUSVR--nu=0.25-C=0.1,0.015943763110174793,-0.003952685724043557,0.011779966066634255,-0.021611002912819467,-0.022831283625654574,-0.005525521100569898,0.008806414165653547,0.0052472240848101225,0.004487439733795624,-0.02050848300991152,-0.0031616891673469216,-0.00661439013651096,-0.006957377906793015,0.009150581797017488,0.0040087212084426,-0.012982200496014614,0.0075528952472822125,-0.02374553611775384,0.0001159506140933804,0.004053955544723872,0.011289110288612,-0.0158514758398866,8.403017030331889e-05,0.0020069237987759073,-0.00816776082128196,-0.007652630565405404,0.00022625649970905385,0.016675464078682645,0.00924692085356521,0.01242634230205996,-0.00508573760741475,-0.015532090051828698,-0.0029155205491489325,0.0025945913312616156,-0.003462616751148907,-0.0012117269115691559,0.0004880497190322731,-0.003094813447831255,-0.003061217542481169,-0.0004959272573374406,-0.008122381345234117,-0.015552611992042205,0.007111889803217763,-0.002710763143098197,0.048147426140616956,0.024925526674368537,0.6497585885905546,-0.012464956983787277,-0.003990837335447542,-0.07366832614359767,-0.052038755622247565,0.016715298853623668,0.1041866223554328,-0.01092744709382703,0.057643850445352654,0.05310618904902469,-0.011077763752049467,-0.00413324893630007,0.4513645665684956,0.012965234188345175,0.01521860070554943,0.024835220123322573,0.8297866937757031,0.6192089697869295
11198-NUSVR--nu=0.5-C=0.1,0.01085127503286426,-0.00529355901829503,0.010485933181817852,-0.01454553871949334,-0.020361383871241766,-0.007711748502678688,0.0027534995829775477,0.0020222401181589494,0.005098486481023852,-0.014680443397520667,-0.005306462247933099,-0.001980457596018101,-0.005964463517984605,0.005378095028391276,0.00496841769021885,-0.007638198289904145,0.0034269179163179952,-0.02136766974777747,0.002236871874742934,0.003545632020598169,0.002857380679985283,-0.010236553428512048,0.00020889729246207842,0.0009100543519867579,-0.006101986315787769,-0.0106364562095429,-0.0001361137446354273,0.021528119583886424,0.008362729332979421,0.00454338752924472,-0.00262927956646917,-0.005229601420602659,-0.0011509566167987352,0.0060606907957829765,-0.009112449417582337,0.0004508304545923344,8.335201302813984e-05,-0.0010728553801737388,-0.004342933211379074,-0.001029300238871505,-0.004443664111311842,-0.00831852098166185,0.01348970084409606,-0.002398193542553091,0.052976709946596354,0.0022914656761452226,0.651054397233003,-0.001710336065167642,-0.0010551732350300783,-0.04619940780429968,-0.03656806198455214,0.019537032095644925,0.10481383445501158,-0.0035558445463619165,0.06599499246859397,0.06709134657720107,-0.01654332871139401,-0.0011208779492297312,0.45832804819130346,0.006405848514121806,0.023994054553787347,0.035911622715615134,0.8327352887554952,0.6157993699983052
11198-NUSVR--nu=0.75-C=0.1,0.007979515320743556,-0.004495841576234807,0.010185023862984793,-0.010299682640333607,-0.021068736974875855,-0.007672623968695731,-0.003064198194217868,0.0032098007544317173,0.007015445605003813,-0.013641740887057389,-0.007073598409093933,-0.0007987802478565814,-0.007443475090908031,0.006277354940730468,0.004973575141314586,-0.009741396193063113,0.0020604896435791192,-0.019774527438336142,0.0016848658850555833,0.004240755878788208,0.023691274621000187,-0.024037579047993356,-0.0010754303118359343,0.002150234422939481,-0.004600388810888246,-0.008640525470522971,-0.00019306067724640316,0.025346887405878725,0.00769041425602841,0.007624350941571094,-0.002587587254472402,-0.005387938798072693,-9.368437338223672e-05,0.004950022873541867,-0.0031676043244311114,0.0004463131353039454,0.0005605712598004691,-0.0009153394436985426,-0.004894837880765557,-0.00042786126378534586,-0.004805300372732656,-0.02290187135562168,0.008498097116305434,-0.0014442811973841905,0.05991078970675093,0.010714723957582148,0.6514123033878731,-0.00030947600551738466,-0.00509439912339028,-0.03133511105868171,-0.04450723552064282,0.025131165172873195,0.10640322742598315,0.0028390437563163007,0.06194901797265857,0.07501028783308816,-0.018448820190772368,0.0003331708542661897,0.4643609378190337,0.005584208879472901,0.031031094470255736,0.04202905210535943,0.8270642471824947,0.6257687326856628
11198-NUSVR--nu=0.05-C=0.5,0.019813440128810367,-0.020998821297931885,0.017945272626250897,-0.039706343539852695,-0.02617844802226732,-5.727361536875253e-05,0.0030481459278257628,0.015757619251954846,0.0018478030169415405,-0.036430299828810464,0.0019559353967849857,-0.006184549142907392,-0.014250478762121321,0.008605360237911586,-0.004671913364912461,-0.00940697886430672,0.014300977046745655,-0.02377430770696598,-0.012862023841157338,0.006732011025292917,-0.008010267951935823,-0.00779757159264495,0.003421581692917952,0.0010926662676772336,-0.01687518685295783,-0.02011821515339543,0.0015700590419480132,0.01734325876611298,0.014085950804443192,0.0014382266134277955,0.0014920284887566804,0.00853996416290706,-0.010962891926920695,-0.004885357196590404,-0.012510215938213887,0.001525957110435669,-0.005653024568662773,0.005678724400155382,-0.0036999955624317793,-0.01013259593243555,-0.01144486653265897,-0.0005285637132430715,0.016376104435996908,0.008890275240135973,0.05049728023369493,-0.019849274370883352,0.6423702037502309,-0.005617127714032,-0.061516304276678174,-0.036914307855581474,-0.008142969722230164,0.016955463860952813,0.09026212593651306,-0.011005577222766849,0.03227512957864992,0.02692034367738283,-0.017401505081904245,0.004891188574236215,0.4122900089628164,0.023749588877156502,0.03192693252247905,0.017645861170479237,0.8306370458806652,0.6196679654960245
11198-NUSVR--nu=0.1-C=0.5,0.023536678888900948,-0.014830505069733713,0.009230246497270111,-0.033239527307019054,-0.020573189015222912,-0.008991288187641559,0.008603023641794008,0.012979601717146821,-0.0011244948749623562,-0.023130664486337188,-0.002289970825972043,-0.010540740297066649,-0.010809365959364672,0.009423838180108612,0.004137409285564553,-0.012360917341671954,0.012923963582934479,-0.01678597933655865,-0.0100539848705152,-0.0003541398292462583,0.006027225250106467,-0.013532946543633715,0.007023008818781762,-0.003913214816601798,-0.015784784419916792,-0.013860602318381376,0.0006180641117524213,0.01673539709813454,0.012405598293859621,-0.0005083397563974135,-0.0021874513599017403,-0.007074662167270894,-0.006686709370838928,0.004017719999109937,-0.001147048036313287,-0.005491328939044606,0.00149508932139358,-0.007527927089559966,-0.004028356595640437,0.00038172701107766147,-0.010224388313675198,-0.008562712135939492,0.008426366790098175,0.006756525613366917,0.04267712990247444,0.018672591720591714,0.6531340643085944,-0.011911205806020793,-0.03659051121101162,-0.06105693262707891,-0.03927909161483349,0.022440070317246458,0.09517404526332165,-0.0179415942543988,0.044412276813442494,0.04484851544314644,-0.013737184102412401,0.0016631830412418488,0.42388382709929584,0.019165557761896157,0.019669205582707384,0.021366179172950125,0.8317296092809616,0.6179611630504253
