,11210-NUSVR--nu=0.05-C=0.1,11210-NUSVR--nu=0.1-C=0.1,11210-NUSVR--nu=0.15-C=0.1,11210-NUSVR--nu=0.25-C=0.1,11210-NUSVR--nu=0.5-C=0.1,11210-NUSVR--nu=0.75-C=0.1,11210-NUSVR--nu=0.05-C=0.5,11210-NUSVR--nu=0.1-C=0.5,11210-NUSVR--nu=0.15-C=0.5,11210-NUSVR--nu=0.25-C=0.5,11210-NUSVR--nu=0.5-C=0.5,11210-NUSVR--nu=0.75-C=0.5,11210-NUSVR--nu=0.05-C=0.75,11210-NUSVR--nu=0.1-C=0.75,11210-NUSVR--nu=0.15-C=0.75,11210-NUSVR--nu=0.25-C=0.75,11210-NUSVR--nu=0.5-C=0.75,11210-NUSVR--nu=0.75-C=0.75,11210-NUSVR--nu=0.05-C=1,11210-NUSVR--nu=0.1-C=1,11210-NUSVR--nu=0.15-C=1,11210-NUSVR--nu=0.25-C=1,11210-NUSVR--nu=0.5-C=1,11210-NUSVR--nu=0.75-C=1,11210-NUSVR--nu=0.05-C=10,11210-NUSVR--nu=0.1-C=10,11210-NUSVR--nu=0.15-C=10,11210-NUSVR--nu=0.25-C=10,11210-NUSVR--nu=0.5-C=10,11210-NUSVR--nu=0.75-C=10
0,ABHD17A,ABCA8,AATK,AASS,AAK1,A1CF,ABHD17A,ABCA8,AATK,AASS,AAK1,A1CF,ABHD17A,ABCA8,AATK,AASS,AAK1,A1CF,ABHD17A,ABCA8,AATK,AASS,AAK1,A1CF,ABHD17A,ABCA8,AATK,AASS,AAK1,A1CF
1,ABL2,ABCC4,ABCA5,AATK,AAMP,AADAT,ABL2,ABCC4,ABCA5,AATK,AAMP,AADAT,ABL2,ABCC4,ABCA5,AATK,AAMP,AADAT,ABL2,ABCC4,ABCA5,AATK,AAMP,AADAT,ABL2,ABCC4,ABCA5,AATK,AAMP,AADAT
2,ABLIM3,ABHD11,ABCA8,ABCA5,AARS,AAK1,ABLIM3,ABHD11,ABCA8,ABCA5,AARS,AAK1,ABLIM3,ABHD11,ABCA8,ABCA5,AARS,AAK1,ABLIM3,ABHD11,ABCA8,ABCA5,AARS,AAK1,ABLIM3,ABHD11,ABCA8,ABCA5,AARS,AAK1
3,ACRBP,ABHD12,ABCC1,ABCA8,AARS2,AAMP,ACRBP,ABHD12,ABCC1,ABCA8,AARS2,AAMP,ACPP,ABHD12,ABCC1,ABCA8,AARS2,AAMP,ACPP,ABHD12,ABCC1,ABCA8,AARS2,AAMP,ACRBP,ABHD12,ABCC1,ABCA8,AARS2,AAMP
4,ACTC1,ABHD17A,ABCC4,ABCB1,AASDH,AAR2,ACTC1,ABHD17A,ABCC4,ABCB1,AASDH,AAR2,ACRBP,ABHD17A,ABCC4,ABCB1,AASDH,AAR2,ACRBP,ABHD17A,ABCC4,ABCB1,AASDH,AAR2,ACTC1,ABHD17A,ABCC4,ABCB1,AASDH,AAR2
5,ACTN1,ABL2,ABHD11,ABCB9,AASS,AARS,ACTN4,ABL2,ABHD11,ABCB9,AASS,AARS,ACTC1,ABL2,ABHD11,ABCB9,AASS,AARS,ACTC1,ABL2,ABHD11,ABCB9,AASS,AARS,ACTN4,ABL2,ABHD11,ABCB9,AASS,AARS
6,ACTN4,ABLIM3,ABHD12,ABCC1,AATF,AARS2,ACTR2,ABLIM3,ABHD12,ABCC1,AATF,AARS2,ACTN4,ABLIM3,ABHD12,ABCC1,AATF,AARS2,ACTN4,ABLIM3,ABHD12,ABCC1,AATF,AARS2,ACTR2,ABLIM3,ABHD12,ABCC1,AATF,AARS2
7,ACTR2,AC009506.1,ABHD17A,ABCC4,AATK,AARSD1,ACTR3,AC009506.1,ABHD17A,ABCC4,AATK,AARSD1,ACTR2,AC009506.1,ABHD17A,ABCC4,AATK,AARSD1,ACTR2,AC009506.1,ABHD17A,ABCC4,AATK,AARSD1,ACTR3,AC009506.1,ABHD17A,ABCC4,AATK,AARSD1
8,ACTR3,ACRBP,ABHD5,ABHD11,ABCA10,AASDH,ADGRG6,ACRBP,ABHD5,ABHD11,ABCA10,AASDH,ACTR3,ACRBP,ABHD5,ABHD11,ABCA10,AASDH,ACTR3,ACRBP,ABHD5,ABHD11,ABCA10,AASDH,ADGRG6,ACRBP,ABHD5,ABHD11,ABCA10,AASDH
9,ADGRG6,ACTC1,ABL2,ABHD12,ABCA3,AASDHPPT,ADIPOR1,ACTC1,ABL2,ABHD12,ABCA3,AASDHPPT,ADGRG6,ACTC1,ABL2,ABHD12,ABCA3,AASDHPPT,ADGRG6,ACTC1,ABL2,ABHD12,ABCA3,AASDHPPT,ADIPOR1,ACTC1,ABL2,ABHD12,ABCA3,AASDHPPT
