,3295-NUSVR--nu=0.05-C=0.1,3295-NUSVR--nu=0.1-C=0.1,3295-NUSVR--nu=0.15-C=0.1,3295-NUSVR--nu=0.25-C=0.1,3295-NUSVR--nu=0.5-C=0.1,3295-NUSVR--nu=0.75-C=0.1,3295-NUSVR--nu=0.05-C=0.5,3295-NUSVR--nu=0.1-C=0.5,3295-NUSVR--nu=0.15-C=0.5,3295-NUSVR--nu=0.25-C=0.5,3295-NUSVR--nu=0.5-C=0.5,3295-NUSVR--nu=0.75-C=0.5,3295-NUSVR--nu=0.05-C=0.75,3295-NUSVR--nu=0.1-C=0.75,3295-NUSVR--nu=0.15-C=0.75,3295-NUSVR--nu=0.25-C=0.75,3295-NUSVR--nu=0.5-C=0.75,3295-NUSVR--nu=0.75-C=0.75,3295-NUSVR--nu=0.05-C=1,3295-NUSVR--nu=0.1-C=1,3295-NUSVR--nu=0.15-C=1,3295-NUSVR--nu=0.25-C=1,3295-NUSVR--nu=0.5-C=1,3295-NUSVR--nu=0.75-C=1,3295-NUSVR--nu=0.05-C=10,3295-NUSVR--nu=0.1-C=10,3295-NUSVR--nu=0.15-C=10,3295-NUSVR--nu=0.25-C=10,3295-NUSVR--nu=0.5-C=10,3295-NUSVR--nu=0.75-C=10
0,ABCC3,AATK,AATK,A2ML1,A1BG,A1BG,ABCC3,AATK,AATK,A2ML1,A1BG,A1BG,ABCC3,AATK,AATK,A2ML1,A1BG,A1BG,ABCC3,AATK,AATK,A2ML1,A1BG,A1BG,ABCC3,AATK,AATK,A2ML1,A1BG,A1BG
1,ABHD11,ABCC3,ABCA5,AAK1,A2ML1,A1CF,ABHD11,ABCC3,ABCA5,AAK1,A2ML1,A1CF,ABHD11,ABCC3,ABCA5,AAK1,A2ML1,A1CF,ABHD11,ABCC3,ABCA5,AAK1,A2ML1,A1CF,ABHD11,ABCC3,ABCA5,AAK1,A2ML1,A1CF
2,ABL2,ABCC4,ABCC3,AATK,AAK1,A2M,ABL2,ABCC4,ABCC3,AATK,AAK1,A2M,ABL2,ABCC4,ABCC3,AATK,AAK1,A2M,ABL2,ABCC4,ABCC3,AATK,AAK1,A2M,ABL2,ABCC4,ABCC3,AATK,AAK1,A2M
3,ABLIM3,ABHD11,ABCC4,ABCA5,AAMP,A2ML1,ABLIM3,ABHD11,ABCC4,ABCA5,AAMP,A2ML1,ABLIM3,ABHD11,ABCC4,ABCA5,AAMP,A2ML1,ABLIM3,ABHD11,ABCC4,ABCA5,AAMP,A2ML1,ABLIM3,ABHD11,ABCC4,ABCA5,AAMP,A2ML1
4,ACPP,ABHD12,ABCC5,ABCB9,AARD,A4GALT,ACPP,ABHD12,ABCC5,ABCB9,AARD,A4GALT,ACPP,ABHD12,ABCC5,ABCB9,AARD,A4GALT,ACPP,ABHD12,ABCC5,ABCB9,AARD,A4GALT,ACPP,ABHD12,ABCC5,ABCB9,AARD,A4GALT
5,ACRBP,ABHD17A,ABHD11,ABCC1,AARS,A4GNT,ACRBP,ABHD17A,ABHD11,ABCC1,AARS,A4GNT,ACRBP,ABHD17A,ABHD11,ABCC1,AARS,A4GNT,ACRBP,ABHD17A,ABHD11,ABCC1,AARS,A4GNT,ACRBP,ABHD17A,ABHD11,ABCC1,AARS,A4GNT
6,ACTC1,ABL2,ABHD12,ABCC3,AARSD1,AAK1,ACTC1,ABL2,ABHD12,ABCC3,AARSD1,AAK1,ACTC1,ABL2,ABHD12,ABCC3,AARSD1,AAK1,ACTC1,ABL2,ABHD12,ABCC3,AARSD1,AAK1,ACTC1,ABL2,ABHD12,ABCC3,AARSD1,AAK1
7,ACTN1,ABLIM1,ABHD17A,ABCC4,AASDH,AAMP,ACTN1,ABLIM1,ABHD17A,ABCC4,AASDH,AAMP,ACTN1,ABLIM1,ABHD17A,ABCC4,AASDH,AAMP,ACTN1,ABLIM1,ABHD17A,ABCC4,AASDH,AAMP,ACTN1,ABLIM1,ABHD17A,ABCC4,AASDH,AAMP
8,ACTN4,ABLIM3,ABHD3,ABCC5,AASDHPPT,AAR2,ACTN4,ABLIM3,ABHD3,ABCC5,AASDHPPT,AAR2,ACTN4,ABLIM3,ABHD3,ABCC5,AASDHPPT,AAR2,ACTN4,ABLIM3,ABHD3,ABCC5,AASDHPPT,AAR2,ACTN4,ABLIM3,ABHD3,ABCC5,AASDHPPT,AAR2
9,ACTR2,ABO,ABHD5,ABCE1,AASS,AARD,ACTR2,ABO,ABHD5,ABCE1,AASS,AARD,ACTR2,ABO,ABHD5,ABCE1,AASS,AARD,ACTR2,ABO,ABHD5,ABCE1,AASS,AARD,ACTR2,ABO,ABHD5,ABCE1,AASS,AARD
10,ACTR3,AC009506.1,ABL2,ABCG1,AATF,AARS,ACTR3,AC009506.1,ABL2,ABCG1,AATF,AARS,ACTR3,AC009506.1,ABL2,ABCG1,AATF,AARS,ACTR3,AC009506.1,ABL2,ABCG1,AATF,AARS,ACTR3,AC009506.1,ABL2,ABCG1,AATF,AARS
11,ADGRE2,AC144652.1,ABLIM1,ABHD11,AATK,AARS2,ADGRL4,AC144652.1,ABLIM1,ABHD11,AATK,AARS2,ADGRL4,AC144652.1,ABLIM1,ABHD11,AATK,AARS2,ADGRL4,AC144652.1,ABLIM1,ABHD11,AATK,AARS2,ADGRL4,AC144652.1,ABLIM1,ABHD11,AATK,AARS2
12,ADGRL4,ACPP,ABLIM3,ABHD12,ABCA10,AARSD1,ADIPOR1,ACPP,ABLIM3,ABHD12,ABCA10,AARSD1,ADIPOR1,ACPP,ABLIM3,ABHD12,ABCA10,AARSD1,ADIPOR1,ACPP,ABLIM3,ABHD12,ABCA10,AARSD1,ADIPOR1,ACPP,ABLIM3,ABHD12,ABCA10,AARSD1
