,11394-NUSVR--nu=0.05-C=0.1,11394-NUSVR--nu=0.1-C=0.1,11394-NUSVR--nu=0.15-C=0.1,11394-NUSVR--nu=0.25-C=0.1,11394-NUSVR--nu=0.5-C=0.1,11394-NUSVR--nu=0.75-C=0.1,11394-NUSVR--nu=0.05-C=0.5,11394-NUSVR--nu=0.1-C=0.5,11394-NUSVR--nu=0.15-C=0.5,11394-NUSVR--nu=0.25-C=0.5,11394-NUSVR--nu=0.5-C=0.5,11394-NUSVR--nu=0.75-C=0.5,11394-NUSVR--nu=0.05-C=0.75,11394-NUSVR--nu=0.1-C=0.75,11394-NUSVR--nu=0.15-C=0.75,11394-NUSVR--nu=0.25-C=0.75,11394-NUSVR--nu=0.5-C=0.75,11394-NUSVR--nu=0.75-C=0.75,11394-NUSVR--nu=0.05-C=1,11394-NUSVR--nu=0.1-C=1,11394-NUSVR--nu=0.15-C=1,11394-NUSVR--nu=0.25-C=1,11394-NUSVR--nu=0.5-C=1,11394-NUSVR--nu=0.75-C=1,11394-NUSVR--nu=0.05-C=10,11394-NUSVR--nu=0.1-C=10,11394-NUSVR--nu=0.15-C=10,11394-NUSVR--nu=0.25-C=10,11394-NUSVR--nu=0.5-C=10,11394-NUSVR--nu=0.75-C=10
0,ABHD3,AASDH,AASDH,AASDH,A2M,A2M,ABHD3,AASDH,AASDH,AASDH,A2M,A2M,ABHD3,AASDH,AASDH,AASDH,A2M,A2M,ABHD3,AASDH,AASDH,AASDH,A2M,A2M,ABHD3,AASDH,AASDH,AASDH,A2M,A2M
1,ABL2,ABCB1,ABCB1,AATF,AAK1,A4GALT,ABL2,ABCB1,ABCB1,AATF,AAK1,A4GALT,ABL2,ABCB1,ABCB1,AATF,AAK1,A4GALT,ABL2,ABCB1,ABCB1,AATF,AAK1,A4GALT,ABL2,ABCB1,ABCB1,AATF,AAK1,A4GALT
2,ABLIM3,ABHD3,ABCC1,ABCA2,AAMP,AACS,ABLIM3,ABHD3,ABCC1,ABCA2,AAMP,AACS,ABLIM3,ABHD3,ABCC1,ABCA2,AAMP,AACS,ABLIM3,ABHD3,ABCC1,ABCA2,AAMP,AACS,ABLIM3,ABHD3,ABCC1,ABCA2,AAMP,AACS
3,ACPP,ABHD5,ABCD3,ABCA5,AAR2,AADAT,ACPP,ABHD5,ABCD3,ABCA5,AAR2,AADAT,ACPP,ABHD5,ABCD3,ABCA5,AAR2,AADAT,ACPP,ABHD5,ABCD3,ABCA5,AAR2,AADAT,ACPP,ABHD5,ABCD3,ABCA5,AAR2,AADAT
4,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAK1,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAK1,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAK1,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAK1,ACRBP,ABL2,ABHD12,ABCB1,AARS,AAK1
5,ACTC1,ABLIM3,ABHD3,ABCC1,AARSD1,AAMDC,ACTC1,ABLIM3,ABHD3,ABCC1,AARSD1,AAMDC,ACTC1,ABLIM3,ABHD3,ABCC1,AARSD1,AAMDC,ACTC1,ABLIM3,ABHD3,ABCC1,AARSD1,AAMDC,ACTC1,ABLIM3,ABHD3,ABCC1,AARSD1,AAMDC
6,ACTN1,ACER3,ABHD5,ABCD3,AASDH,AAMP,ACTN1,ACER3,ABHD5,ABCD3,AASDH,AAMP,ACTN1,ACER3,ABHD5,ABCD3,AASDH,AAMP,ACTN1,ACER3,ABHD5,ABCD3,AASDH,AAMP,ACTN1,ACER3,ABHD5,ABCD3,AASDH,AAMP
7,ACTN4,ACLY,ABHD6,ABHD12,AASS,AAR2,ACTN4,ACLY,ABI3BP,ABHD12,AASS,AAR2,ACTN4,ACLY,ABI3BP,ABHD12,AASS,AAR2,ACTN4,ACLY,ABI3BP,ABHD12,AASS,AAR2,ACTN4,ACLY,ABI3BP,ABHD12,AASS,AAR2
8,ADAM28,ACPP,ABI3BP,ABHD3,AATF,AARS,ADAM28,ACPP,ABL2,ABHD3,AATF,AARS,ADAM28,ACPP,ABL2,ABHD3,AATF,AARS,ADAM28,ACPP,ABL2,ABHD3,AATF,AARS,ADAM28,ACPP,ABL2,ABHD3,AATF,AARS
9,ADGRE5,ACRBP,ABL2,ABHD5,ABCA10,AARSD1,ADGRE5,ACRBP,ABLIM1,ABHD5,ABCA10,AARSD1,ADGRE5,ACRBP,ABLIM1,ABHD5,ABCA10,AARSD1,ADGRE5,ACRBP,ABLIM1,ABHD5,ABCA10,AARSD1,ADGRE5,ACRBP,ABLIM1,ABHD5,ABCA10,AARSD1
10,ADGRG6,ACTN1,ABLIM1,ABHD6,ABCA13,AASDH,ADGRG6,ACTN1,ABLIM3,ABHD6,ABCA13,AASDH,ADGRG6,ACTN1,ABLIM3,ABHD6,ABCA13,AASDH,ADGRG6,ACTN1,ABLIM3,ABHD6,ABCA13,AASDH,ADGRG6,ACTN1,ABLIM3,ABHD6,ABCA13,AASDH
11,ADGRL4,ACTN4,ABLIM3,ABL2,ABCA2,AASDHPPT,ADGRL4,ACTN4,AC005785.2,ABL2,ABCA2,AASDHPPT,ADGRL4,ACTN4,AC005785.2,ABL2,ABCA2,AASDHPPT,ADGRL4,ACTN4,AC005785.2,ABL2,ABCA2,AASDHPPT,ADGRL4,ACTN4,AC005785.2,ABL2,ABCA2,AASDHPPT
12,ADIPOR1,ACTR2,AC005785.2,ABLIM1,ABCA5,AASS,ADIPOR1,ACTR2,AC009506.1,ABLIM1,ABCA5,AASS,ADIPOR1,ACTR2,AC009506.1,ABLIM1,ABCA5,AASS,ADIPOR1,ACTR2,AC009506.1,ABLIM1,ABCA5,AASS,ADIPOR1,ACTR2,AC009506.1,ABLIM1,ABCA5,AASS
13,AFG3L1P,ACYP1,AC009506.1,ABLIM3,ABCA6,AATF,AFG3L1P,ACYP1,ACER3,ABLIM3,ABCA6,AATF,AFG3L1P,ACYP1,ACER3,ABLIM3,ABCA6,AATF,AFG3L1P,ACYP1,ACER3,ABLIM3,ABCA6,AATF,AFG3L1P,ACYP1,ACER3,ABLIM3,ABCA6,AATF
14,AGER,ADAM28,ACER3,ABTB1,ABCB1,AATK,AGER,ADAM28,ACLY,ABTB1,ABCB1,AATK,AGER,ADAM28,ACLY,ABTB1,ABCB1,AATK,AGER,ADAM28,ACLY,ABTB1,ABCB1,AATK,AGER,ADAM28,ACLY,ABTB1,ABCB1,AATK
15,AKAP13,ADAMTS9,ACLY,AC005785.2,ABCB9,ABCA10,AKAP13,ADAMTS9,ACRBP,AC005785.2,ABCB9,ABCA10,AKAP13,ADAMTS9,ACRBP,AC005785.2,ABCB9,ABCA10,AKAP13,ADAMTS9,ACRBP,AC005785.2,ABCB9,ABCA10,AKAP13,ADAMTS9,ACRBP,AC005785.2,ABCB9,ABCA10
16,AKIRIN2,ADGRE5,ACRBP,AC009506.1,ABCC1,ABCA12,AKIRIN2,ADGRE5,ACTC1,AC009506.1,ABCC1,ABCA12,AKIRIN2,ADGRE5,ACTC1,AC009506.1,ABCC1,ABCA12,AKIRIN2,ADGRE5,ACTC1,AC009506.1,ABCC1,ABCA12,AKIRIN2,ADGRE5,ACTC1,AC009506.1,ABCC1,ABCA12
17,AKNA,ADGRG6,ACTC1,AC104699.1,ABCC3,ABCA13,AKNA,ADGRG6,ACTN1,AC104699.1,ABCC3,ABCA13,AKNA,ADGRG6,ACTN1,AC104699.1,ABCC3,ABCA13,AKNA,ADGRG6,ACTN1,AC104699.1,ABCC3,ABCA13,AKNA,ADGRG6,ACTN1,AC104699.1,ABCC3,ABCA13
18,AMPD2,ADGRL4,ACTN1,AC144831.1,ABCC4,ABCA2,AMPD2,ADGRL4,ACTN4,AC144831.1,ABCC4,ABCA2,AMPD2,ADGRL4,ACTN4,AC144831.1,ABCC4,ABCA2,AMPD2,ADGRL4,ACTN4,AC144831.1,ABCC4,ABCA2,AMPD2,ADGRL4,ACTN4,AC144831.1,ABCC4,ABCA2
19,ANK1,ADIPOR1,ACTN4,ACAP1,ABCC5,ABCA3,ANK1,ADIPOR1,ACTR2,ACER3,ABCC5,ABCA3,ANK1,ADIPOR1,ACTR2,ACER3,ABCC5,ABCA3,ANK1,ADIPOR1,ACTR2,ACER3,ABCC5,ABCA3,ANK1,ADIPOR1,ACTR2,ACER3,ABCC5,ABCA3
20,ANKRD36C,AFF1,ACTR2,ACER3,ABCD3,ABCA5,ANKRD36C,AFF1,ACYP1,ACLY,ABCD3,ABCA5,ANKRD36C,AFF1,ACYP1,ACLY,ABCD3,ABCA5,ANKRD36C,AFF1,ACYP1,ACLY,ABCD3,ABCA5,ANKRD36C,AFF1,ACYP1,ACLY,ABCD3,ABCA5
21,ANKRD55,AFG3L1P,ACYP1,ACLY,ABCE1,ABCA6,ANKRD55,AFG3L1P,ACYP2,ACO2,ABCE1,ABCA6,ANKRD55,AFG3L1P,ACYP2,ACO2,ABCE1,ABCA6,ANKRD55,AFG3L1P,ACYP2,ACO2,ABCE1,ABCA6,ANKRD55,AFG3L1P,ACYP2,ACO2,ABCE1,ABCA6
22,ANP32B,AGER,ACYP2,ACO2,ABCF2,ABCA7,ANP32B,AGER,ADAM28,ACOT11,ABCF2,ABCA7,ANP32B,AGER,ADAM28,ACOT11,ABCF2,ABCA7,ANP32B,AGER,ADAM28,ACOT11,ABCF2,ABCA7,ANP32B,AGER,ADAM28,ACOT11,ABCF2,ABCA7
23,ANXA1,AGPAT1,ADAM28,ACOT11,ABCF3,ABCB1,ANXA1,AGPAT1,ADAMTS2,ACRBP,ABCF3,ABCB1,ANXA1,AGPAT1,ADAMTS2,ACRBP,ABCF3,ABCB1,ANXA1,AGPAT1,ADAMTS2,ACRBP,ABCF3,ABCB1,ANXA1,AGPAT1,ADAMTS2,ACRBP,ABCF3,ABCB1
24,ANXA11,AKAP13,ADAMTS2,ACRBP,ABHD1,ABCB8,ANXA11,AKAP13,ADGRE5,ACSL3,ABHD1,ABCB8,ANXA11,AKAP13,ADAMTS9,ACSL3,ABHD1,ABCB8,ANXA11,AKAP13,ADGRE5,ACSL3,ABHD1,ABCB8,ANXA11,AKAP13,ADGRE5,ACSL3,ABHD1,ABCB8
25,ANXA3,AKIRIN2,ADAMTS9,ACSL3,ABHD11,ABCB9,ANXA3,AKIRIN2,ADGRG6,ACTC1,ABHD11,ABCB9,ANXA3,AKIRIN2,ADGRE5,ACTC1,ABHD11,ABCB9,ANXA3,AKIRIN2,ADGRG6,ACTC1,ABHD11,ABCB9,ANXA3,AKIRIN2,ADGRG6,ACTC1,ABHD11,ABCB9
