,1821-NUSVR--nu=0.05-C=0.1,1821-NUSVR--nu=0.1-C=0.1,1821-NUSVR--nu=0.15-C=0.1,1821-NUSVR--nu=0.25-C=0.1,1821-NUSVR--nu=0.5-C=0.1,1821-NUSVR--nu=0.75-C=0.1,1821-NUSVR--nu=0.05-C=0.5,1821-NUSVR--nu=0.1-C=0.5,1821-NUSVR--nu=0.15-C=0.5,1821-NUSVR--nu=0.25-C=0.5,1821-NUSVR--nu=0.5-C=0.5,1821-NUSVR--nu=0.75-C=0.5,1821-NUSVR--nu=0.05-C=0.75,1821-NUSVR--nu=0.1-C=0.75,1821-NUSVR--nu=0.15-C=0.75,1821-NUSVR--nu=0.25-C=0.75,1821-NUSVR--nu=0.5-C=0.75,1821-NUSVR--nu=0.75-C=0.75,1821-NUSVR--nu=0.05-C=1,1821-NUSVR--nu=0.1-C=1,1821-NUSVR--nu=0.15-C=1,1821-NUSVR--nu=0.25-C=1,1821-NUSVR--nu=0.5-C=1,1821-NUSVR--nu=0.75-C=1,1821-NUSVR--nu=0.05-C=10,1821-NUSVR--nu=0.1-C=10,1821-NUSVR--nu=0.15-C=10,1821-NUSVR--nu=0.25-C=10,1821-NUSVR--nu=0.5-C=10,1821-NUSVR--nu=0.75-C=10
0,ABCC3,ABCC3,A2M,A2M,A2M,A1CF,ABCC3,ABCC3,A2M,A2M,A2M,A1CF,ABCC3,ABCC3,A2M,A2M,A2M,A1CF,ABCC3,ABCC3,A2M,A2M,A2M,A1CF,ABCC3,ABCC3,A2M,A2M,A2M,A1CF
1,ABHD3,ABHD12,ABCC3,A2ML1,A2ML1,A2M,ABHD3,ABHD12,ABCC3,A2ML1,A2ML1,A2M,ABHD3,ABHD12,ABCC3,A2ML1,A2ML1,A2M,ABHD3,ABHD12,ABCC3,A2ML1,A2ML1,A2M,ABHD3,ABHD12,ABCC3,A2ML1,A2ML1,A2M
2,ABL2,ABHD3,ABHD12,AARS,AAK1,A2ML1,ABL2,ABHD3,ABHD12,AARS,AAK1,A2ML1,ABL2,ABHD3,ABHD12,AARS,AAK1,A2ML1,ABL2,ABHD3,ABHD12,AARS,AAK1,A2ML1,ABL2,ABHD3,ABHD12,AARS,AAK1,A2ML1
3,ABLIM1,ABHD5,ABHD3,AASDH,AAMP,AAK1,ABLIM1,ABHD5,ABHD3,AASDH,AAMP,AAK1,ABLIM1,ABHD5,ABHD3,AASDH,AAMP,AAK1,ABLIM1,ABHD5,ABHD3,AASDH,AAMP,AAK1,ABLIM1,ABHD5,ABHD3,AASDH,AAMP,AAK1
4,ABLIM3,ABL2,ABHD5,ABCA2,AARS,AAMDC,ABLIM3,ABL2,ABHD5,ABCA2,AARS,AAMDC,ABLIM3,ABL2,ABHD5,ABCA2,AARS,AAMDC,ABLIM3,ABL2,ABHD5,ABCA2,AARS,AAMDC,ABLIM3,ABL2,ABHD5,ABCA2,AARS,AAMDC
5,ACAA1,ABLIM1,ABI3,ABCA5,AASDH,AAMP,ACAA1,ABLIM1,ABI3,ABCA5,AASDH,AAMP,ACAA1,ABLIM1,ABI3,ABCA5,AASDH,AAMP,ACAA1,ABLIM1,ABI3,ABCA5,AASDH,AAMP,ACAA1,ABLIM1,ABI3,ABCA5,AASDH,AAMP
6,ACPP,ABLIM3,ABL2,ABCB1,AASS,AAR2,ACP5,ABLIM3,ABL2,ABCB1,AASS,AAR2,ACP5,ABLIM3,ABL2,ABCB1,AASS,AAR2,ACP5,ABLIM3,ABL2,ABCB1,AASS,AAR2,ACP5,ABLIM3,ABL2,ABCB1,AASS,AAR2
7,ACRBP,ACBD6,ABLIM1,ABCC3,AATF,AARS,ACRBP,ACBD6,ABLIM1,ABCC3,AATF,AARS,ACRBP,ACBD6,ABLIM1,ABCC3,AATF,AARS,ACRBP,ACBD6,ABLIM1,ABCC3,AATF,AARS,ACRBP,ACBD6,ABLIM1,ABCC3,AATF,AARS
8,ACTN4,ACLY,ABLIM3,ABCD4,ABCA2,AARS2,ACTN4,ACLY,ABLIM3,ABCD4,ABCA13,AARS2,ACTN4,ACLY,ABLIM3,ABCD4,ABCA13,AARS2,ACTN4,ACLY,ABLIM3,ABCD4,ABCA13,AARS2,ACTN4,ACLY,ABLIM3,ABCD4,ABCA2,AARS2
9,ACTR2,ACP5,ACAA1,ABHD12,ABCA5,AASDH,ACTR2,ACP5,ACAA1,ABHD12,ABCA2,AASDH,ACTR2,ACP5,ACAA1,ABHD12,ABCA2,AASDH,ACTR2,ACP5,ACAA1,ABHD12,ABCA2,AASDH,ACTR2,ACP5,ACAA1,ABHD12,ABCA5,AASDH
10,ACTR3,ACPP,ACAP3,ABHD3,ABCA7,AASS,ACTR3,ACPP,ACAP3,ABHD3,ABCA5,AASS,ACTR3,ACPP,ACAP3,ABHD3,ABCA5,AASS,ACTR3,ACPP,ACAP3,ABHD3,ABCA5,AASS,ACTR3,ACPP,ACAP3,ABHD3,ABCA7,AASS
11,ADGRL4,ACRBP,ACBD6,ABHD5,ABCB1,AATF,ADGRL4,ACRBP,ACBD6,ABHD5,ABCA7,AATF,ADGRL4,ACRBP,ACBD6,ABHD5,ABCA7,AATF,ADGRL4,ACRBP,ACBD6,ABHD5,ABCA7,AATF,ADGRL4,ACRBP,ACBD6,ABHD5,ABCB1,AATF
12,ADIPOR1,ACTN1,ACER3,ABI3,ABCB8,ABCA1,ADIPOR1,ACTN1,ACER3,ABI3,ABCB1,ABCA1,ADIPOR1,ACTN1,ACER3,ABI3,ABCB1,ABCA1,ADIPOR1,ACTN1,ACER3,ABI3,ABCB1,ABCA1,ADIPOR1,ACTN1,ACER3,ABI3,ABCB8,ABCA1
13,AGTRAP,ACTN4,ACLY,ABL1,ABCC3,ABCA13,AGTRAP,ACTN4,ACLY,ABL1,ABCB8,ABCA13,AGTRAP,ACTN4,ACLY,ABL1,ABCB8,ABCA13,AGTRAP,ACTN4,ACLY,ABL1,ABCB8,ABCA13,AGTRAP,ACTN4,ACLY,ABL1,ABCC3,ABCA13
14,AKAP13,ACTR2,ACPP,ABL2,ABCC4,ABCA2,AKAP13,ACTR2,ACPP,ABL2,ABCC3,ABCA2,AKAP13,ACTR2,ACPP,ABL2,ABCC3,ABCA2,AKAP13,ACTR2,ACPP,ABL2,ABCC3,ABCA2,AKAP13,ACTR2,ACPP,ABL2,ABCC4,ABCA2
15,AKNA,ACTR3,ACRBP,ABLIM1,ABCC5,ABCA5,AKNA,ACTR3,ACRBP,ABLIM1,ABCC4,ABCA5,AKNA,ACTR3,ACRBP,ABLIM1,ABCC4,ABCA5,AKNA,ACTR3,ACRBP,ABLIM1,ABCC4,ABCA5,AKNA,ACTR3,ACRBP,ABLIM1,ABCC5,ABCA5
16,ALAS2,ADAMTS2,ACTC1,ABLIM3,ABCD3,ABCA7,ALAS2,ADAMTS2,ACTC1,ABLIM3,ABCC5,ABCA7,ALAS2,ADAMTS2,ACTC1,ABLIM3,ABCC5,ABCA7,ALAS2,ADAMTS2,ACTC1,ABLIM3,ABCC5,ABCA7,ALAS2,ADAMTS2,ACTC1,ABLIM3,ABCD3,ABCA7
17,ALDH1A1,ADD3,ACTN1,ACAA1,ABCD4,ABCA9,ALDH1A1,ADD3,ACTN1,ACAA1,ABCD3,ABCA9,ALDH1A1,ADD3,ACTN1,ACAA1,ABCD3,ABCA9,ALDH1A1,ADD3,ACTN1,ACAA1,ABCD3,ABCA9,ALDH1A1,ADD3,ACTN1,ACAA1,ABCD4,ABCA9
18,ALOX5AP,ADGRG6,ACTN4,ACADVL,ABCF2,ABCB1,ALOX5AP,ADGRG6,ACTN4,ACADVL,ABCD4,ABCB1,ALOX5AP,ADGRG6,ACTN4,ACADVL,ABCD4,ABCB1,ALOX5AP,ADGRG6,ACTN4,ACADVL,ABCD4,ABCB1,ALOX5AP,ADGRG6,ACTN4,ACADVL,ABCF2,ABCB1
19,AMBP,ADGRL4,ACTR2,ACAP3,ABCF3,ABCB10,AMBP,ADGRL4,ACTR2,ACAP3,ABCF2,ABCB10,AMBP,ADGRL4,ACTR2,ACAP3,ABCF2,ABCB10,AMBP,ADGRL4,ACTR2,ACAP3,ABCF2,ABCB10,AMBP,ADGRL4,ACTR2,ACAP3,ABCF3,ABCB10
20,ANK1,ADIPOR1,ACTR3,ACBD6,ABHD11,ABCB7,ANK1,ADIPOR1,ACTR3,ACBD6,ABCF3,ABCB7,ANK1,ADIPOR1,ACTR3,ACBD6,ABCF3,ABCB7,ANK1,ADIPOR1,ACTR3,ACBD6,ABCF3,ABCB7,ANK1,ADIPOR1,ACTR3,ACBD6,ABHD11,ABCB7
21,ANK3,ADPGK,ACYP1,ACER3,ABHD12,ABCB8,ANK3,ADPGK,ACYP1,ACER3,ABHD11,ABCB8,ANK3,ADPGK,ACYP1,ACER3,ABHD11,ABCB8,ANK3,ADPGK,ACYP1,ACER3,ABHD11,ABCB8,ANK3,ADPGK,ACYP1,ACER3,ABHD12,ABCB8
22,ANKRD36C,AFF1,ADAM15,ACLY,ABHD3,ABCC1,ANKRD36C,AFF1,ADAM15,ACLY,ABHD12,ABCC1,ANKRD36C,AFF1,ADAM15,ACLY,ABHD12,ABCC1,ANKRD36C,AFF1,ADAM15,ACLY,ABHD12,ABCC1,ANKRD36C,AFF1,ADAM15,ACLY,ABHD3,ABCC1
23,ANP32A,AFG3L1P,ADAM28,ACOX1,ABHD4,ABCC3,ANP32A,AFG3L1P,ADAM28,ACOX1,ABHD3,ABCC3,ANP32A,AFG3L1P,ADAM28,ACOX1,ABHD3,ABCC3,ANP32A,AFG3L1P,ADAM28,ACOX1,ABHD3,ABCC3,ANP32A,AFG3L1P,ADAM28,ACOX1,ABHD4,ABCC3
24,ANP32B,AGO1,ADAMTS2,ACPP,ABHD5,ABCC4,ANP32B,AGO1,ADAMTS2,ACPP,ABHD4,ABCC4,ANP32B,AGO1,ADAMTS2,ACPP,ABHD4,ABCC4,ANP32B,AGO1,ADAMTS2,ACPP,ABHD4,ABCC4,ANP32B,AGO1,ADAMTS2,ACPP,ABHD5,ABCC4
25,ANXA1,AGTRAP,ADAMTS9,ACRBP,ABI2,ABCC5,ANXA1,AGTRAP,ADAMTS9,ACRBP,ABHD5,ABCC5,ANXA1,AGTRAP,ADAMTS9,ACRBP,ABHD5,ABCC5,ANXA1,AGTRAP,ADAMTS9,ACRBP,ABHD5,ABCC5,ANXA1,AGTRAP,ADAMTS9,ACRBP,ABI2,ABCC5
26,ANXA6,AKAP13,ADD3,ACSL4,ABI3,ABCD1,ANXA6,AKAP13,ADD3,ACSL4,ABI2,ABCD1,ANXA6,AKAP13,ADD3,ACSL4,ABI2,ABCD1,ANXA6,AKAP13,ADD3,ACSL4,ABI2,ABCD1,ANXA6,AKAP13,ADD3,ACSL4,ABI3,ABCD1
27,AOC1,AKIRIN1,ADGRG1,ACTC1,ABL1,ABCD2,AOC1,AKIRIN1,ADGRG1,ACTC1,ABI3,ABCD2,AOC1,AKIRIN1,ADGRG1,ACTC1,ABI3,ABCD2,AOC1,AKIRIN1,ADGRG1,ACTC1,ABI3,ABCD2,AOC1,AKIRIN1,ADGRG1,ACTC1,ABL1,ABCD2
28,AP2M1,AKNA,ADGRG6,ACTN1,ABL2,ABCD3,AP2M1,AKNA,ADGRG6,ACTN1,ABL1,ABCD3,AP2M1,AKNA,ADGRG6,ACTN1,ABL1,ABCD3,AP2M1,AKNA,ADGRG6,ACTN1,ABL1,ABCD3,AP2M1,AKNA,ADGRG6,ACTN1,ABL2,ABCD3
29,APOC1,AKT3,ADGRL4,ACTN4,ABLIM1,ABCD4,APOC1,AKT3,ADGRL4,ACTN4,ABL2,ABCD4,APOC1,AKT3,ADGRL4,ACTN4,ABL2,ABCD4,APOC1,AKT3,ADGRL4,ACTN4,ABL2,ABCD4,APOC1,AKT3,ADGRL4,ACTN4,ABLIM1,ABCD4
30,APOL3,ALAS2,ADIPOR1,ACTR1A,ABLIM3,ABCF2,APOL3,ALAS2,ADIPOR1,ACTR1A,ABLIM1,ABCF2,APOL3,ALAS2,ADIPOR1,ACTR1A,ABLIM1,ABCF2,APOL3,ALAS2,ADIPOR1,ACTR1A,ABLIM1,ABCF2,APOL3,ALAS2,ADIPOR1,ACTR1A,ABLIM3,ABCF2
31,APP,ALDH1A1,ADPGK,ACTR2,ABO,ABCF3,APP,ALDH1A1,ADPGK,ACTR2,ABLIM3,ABCF3,APP,ALDH1A1,ADPGK,ACTR2,ABLIM3,ABCF3,APP,ALDH1A1,ADPGK,ACTR2,ABLIM3,ABCF3,APP,ALDH1A1,ADPGK,ACTR2,ABO,ABCF3
32,AQP10,ALOX5AP,ADRB2,ACTR3,ABTB1,ABCG8,AQP10,ALOX5AP,ADRB2,ACTR3,ABO,ABCG8,AQP10,ALOX5AP,ADRB2,ACTR3,ABO,ABCG8,AQP10,ALOX5AP,ADRB2,ACTR3,ABO,ABCG8,AQP10,ALOX5AP,ADRB2,ACTR3,ABTB1,ABCG8
33,AQP9,AMBP,AFF1,ACYP1,AC009506.1,ABHD11,AQP9,AMBP,AFF1,ACYP1,ABTB1,ABHD11,AQP9,AMBP,AFF1,ACYP1,ABTB1,ABHD11,AQP9,AMBP,AFF1,ACYP1,ABTB1,ABHD11,AQP9,AMBP,AFF1,ACYP1,AC009506.1,ABHD11
34,ARAP1,ANK1,AFG3L1P,ACYP2,ACAA1,ABHD12,ARAP1,ANK1,AFG3L1P,ACYP2,AC009506.1,ABHD12,ARAP1,ANK1,AFG3L1P,ACYP2,AC009506.1,ABHD12,ARAP1,ANK1,AFG3L1P,ACYP2,AC009506.1,ABHD12,ARAP1,ANK1,AFG3L1P,ACYP2,ACAA1,ABHD12
35,ARF1,ANK3,AGO1,ADAM15,ACACB,ABHD14B,ARF1,ANK3,AGO1,ADAM15,ACAA1,ABHD14B,ARF1,ANK3,AGO1,ADAM15,ACAA1,ABHD14B,ARF1,ANK3,AGO1,ADAM15,ACAA1,ABHD14B,ARF1,ANK3,AGO1,ADAM15,ACACB,ABHD14B
36,ARG2,ANKRD36C,AGTRAP,ADAM28,ACADM,ABHD15,ARG2,ANKRD36C,AGTRAP,ADAM28,ACACB,ABHD15,ARG2,ANKRD36C,AGTRAP,ADAM28,ACACB,ABHD15,ARG2,ANKRD36C,AGTRAP,ADAM28,ACACB,ABHD15,ARG2,ANKRD36C,AGTRAP,ADAM28,ACADM,ABHD15
