,2562-NUSVR--nu=0.05-C=0.1,2562-NUSVR--nu=0.1-C=0.1,2562-NUSVR--nu=0.15-C=0.1,2562-NUSVR--nu=0.25-C=0.1,2562-NUSVR--nu=0.5-C=0.1,2562-NUSVR--nu=0.75-C=0.1,2562-NUSVR--nu=0.05-C=0.5,2562-NUSVR--nu=0.1-C=0.5,2562-NUSVR--nu=0.15-C=0.5,2562-NUSVR--nu=0.25-C=0.5,2562-NUSVR--nu=0.5-C=0.5,2562-NUSVR--nu=0.75-C=0.5,2562-NUSVR--nu=0.05-C=0.75,2562-NUSVR--nu=0.1-C=0.75,2562-NUSVR--nu=0.15-C=0.75,2562-NUSVR--nu=0.25-C=0.75,2562-NUSVR--nu=0.5-C=0.75,2562-NUSVR--nu=0.75-C=0.75,2562-NUSVR--nu=0.05-C=1,2562-NUSVR--nu=0.1-C=1,2562-NUSVR--nu=0.15-C=1,2562-NUSVR--nu=0.25-C=1,2562-NUSVR--nu=0.5-C=1,2562-NUSVR--nu=0.75-C=1,2562-NUSVR--nu=0.05-C=10,2562-NUSVR--nu=0.1-C=10,2562-NUSVR--nu=0.15-C=10,2562-NUSVR--nu=0.25-C=10,2562-NUSVR--nu=0.5-C=10,2562-NUSVR--nu=0.75-C=10
0,ABCA8,ABCA8,ABCA5,AAK1,A2M,A1BG,ABCA8,ABCA5,ABCA5,AAK1,A2M,A1BG,ABCA8,ABCA5,ABCA5,AAK1,A2M,A1BG,ABCA8,ABCA5,ABCA5,AAK1,A2M,A1BG,ABCA8,ABCA5,ABCA5,AAK1,A2M,A1BG
1,ABL2,ABCC5,ABCA8,ABCA5,A4GALT,A1CF,ABL2,ABCA8,ABCA8,ABCA5,A4GALT,A1CF,ABL2,ABCA8,ABCA8,ABCA5,A4GALT,A1CF,ABL2,ABCA8,ABCA8,ABCA5,A4GALT,A1CF,ABL2,ABCA8,ABCA8,ABCA5,A4GALT,A1CF
2,ACRBP,ABHD12,ABCC5,ABCA8,AAK1,A2M,ACRBP,ABCC5,ABCC5,ABCA8,AAK1,A2M,ACRBP,ABCC5,ABCC5,ABCA8,AAK1,A2M,ACRBP,ABCC5,ABCC5,ABCA8,AAK1,A2M,ACRBP,ABCC5,ABCC5,ABCA8,AAK1,A2M
3,ACTN1,ABHD17A,ABHD11,ABCB1,AAMDC,A4GALT,ACTN1,ABHD12,ABHD11,ABCB1,AAMDC,A4GALT,ACTN1,ABHD12,ABHD11,ABCB1,AAMDC,A4GALT,ACTN1,ABHD12,ABHD11,ABCB1,AAMDC,A4GALT,ACTN1,ABHD12,ABHD11,ABCB1,AAMDC,A4GALT
4,ACTN4,ABHD3,ABHD12,ABCB9,AAMP,AAK1,ACTN4,ABHD17A,ABHD12,ABCB9,AAMP,AAK1,ACTN4,ABHD17A,ABHD12,ABCB9,AAMP,AAK1,ACTN4,ABHD17A,ABHD12,ABCB9,AAMP,AAK1,ACTN4,ABHD17A,ABHD12,ABCB9,AAMP,AAK1
5,ACTR2,ABL2,ABHD17A,ABCC4,AARD,AAMDC,ACTR2,ABHD3,ABHD17A,ABCC4,AARD,AAMDC,ACTR2,ABL2,ABHD17A,ABCC4,AARD,AAMDC,ACTR2,ABL2,ABHD17A,ABCC4,AARD,AAMDC,ACTR2,ABL2,ABHD17A,ABCC4,AARD,AAMDC
6,ACTR3,ABLIM3,ABHD3,ABCC5,AARS,AAMP,ACTR3,ABL2,ABHD3,ABCC5,AARS,AAMP,ACTR3,ABLIM3,ABHD3,ABCC5,AARS,AAMP,ACTR3,ABLIM3,ABHD3,ABCC5,AARS,AAMP,ACTR3,ABLIM3,ABHD3,ABCC5,AARS,AAMP
7,ADD3,ACAP2,ABHD5,ABCG1,AARS2,AAR2,ADD3,ABLIM3,ABHD5,ABCG1,AARS2,AAR2,ADD3,ACAP2,ABHD5,ABCG1,AARS2,AAR2,ADD3,ACAP2,ABHD5,ABCG1,AARS2,AAR2,ADD3,ACAP2,ABHD5,ABCG1,AARS2,AAR2
8,ADGRG6,ACBD6,ABL2,ABHD11,AARSD1,AARD,ADGRG6,ACAP2,ABL2,ABHD11,AARSD1,AARD,ADGRG6,ACBD6,ABL2,ABHD11,AARSD1,AARD,ADGRG6,ACBD6,ABL2,ABHD11,AARSD1,AARD,ADGRG6,ACBD6,ABL2,ABHD11,AARSD1,AARD
9,ADGRL4,ACRBP,ABLIM3,ABHD12,AASDH,AARS,ADGRL4,ACBD6,ABLIM3,ABHD12,AASDH,AARS,ADGRL4,ACRBP,ABLIM3,ABHD12,AASDH,AARS,ADGRL4,ACRBP,ABLIM3,ABHD12,AASDH,AARS,ADGRL4,ACPP,ABLIM3,ABHD12,AASDH,AARS
10,AFF1,ACSL1,ABO,ABHD17A,AASS,AARS2,AFF1,ACRBP,ABO,ABHD17A,AASS,AARS2,AFF1,ACSL1,ABO,ABHD17A,AASS,AARS2,AFF1,ACSL1,ABO,ABHD17A,AASS,AARS2,AFF1,ACRBP,ABO,ABHD17A,AASS,AARS2
11,AGTRAP,ACSL4,AC009506.1,ABHD3,AATF,AARSD1,AGTRAP,ACSL1,AC009506.1,ABHD3,AATF,AARSD1,AGTRAP,ACSL4,AC009506.1,ABHD3,AATF,AARSD1,AGTRAP,ACSL4,AC009506.1,ABHD3,AATF,AARSD1,AGTRAP,ACSL1,AC009506.1,ABHD3,AATF,AARSD1
12,AKAP13,ACTN1,ACAP2,ABHD5,AATK,AASDH,AKAP13,ACSL4,ACAP2,ABHD5,AATK,AASDH,AKAP13,ACTN1,ACAP2,ABHD5,AATK,AASDH,AKAP13,ACTN1,ACAP2,ABHD5,AATK,AASDH,AKAP13,ACSL4,ACAP2,ABHD5,AATK,AASDH
13,AKNA,ACTN4,ACBD6,ABI3BP,ABCA1,AASDHPPT,AKNA,ACTN1,ACBD6,ABI3BP,ABCA1,AASDHPPT,AKNA,ACTN4,ACBD6,ABI3BP,ABCA1,AASDHPPT,AKNA,ACTN4,ACBD6,ABI3BP,ABCA1,AASDHPPT,AKNA,ACTN1,ACBD6,ABI3BP,ABCA1,AASDHPPT
14,ALOX5AP,ACTR2,ACLY,ABL1,ABCA5,AASS,ALOX5AP,ACTN4,ACLY,ABL1,ABCA5,AASS,ALOX5AP,ACTR2,ACLY,ABL1,ABCA5,AASS,ALOX5AP,ACTR2,ACLY,ABL1,ABCA5,AASS,ALOX5AP,ACTN4,ACLY,ABL1,ABCA5,AASS
15,ANK3,ACTR3,ACOT11,ABL2,ABCA8,AATF,ANK3,ACTR2,ACOT11,ABL2,ABCA8,AATF,ANK3,ACTR3,ACOT11,ABL2,ABCA8,AATF,ANK3,ACTR3,ACOT11,ABL2,ABCA8,AATF,ANK3,ACTR2,ACOT11,ABL2,ABCA8,AATF
16,ANKRD36C,ACYP1,ACPP,ABLIM1,ABCB1,AATK,ANKRD36C,ACTR3,ACPP,ABLIM1,ABCB1,AATK,ANKRD36C,ACYP1,ACPP,ABLIM1,ABCB1,AATK,ANKRD36C,ACYP1,ACPP,ABLIM1,ABCB1,AATK,ANKRD36C,ACTR3,ACPP,ABLIM1,ABCB1,AATK
17,ANO6,ADAM28,ACRBP,ABLIM3,ABCB9,ABCA1,ANO6,ACYP1,ACRBP,ABLIM3,ABCB9,ABCA1,ANO6,ADAM28,ACRBP,ABLIM3,ABCB9,ABCA1,ANP32A,ADAM28,ACRBP,ABLIM3,ABCB9,ABCA1,ANP32A,ACYP1,ACRBP,ABLIM3,ABCB9,ABCA1
18,ANP32A,ADAMTS2,ACSL1,ABO,ABCC1,ABCA10,ANP32A,ADAM28,ACSL1,ABO,ABCC1,ABCA10,ANP32A,ADAMTS2,ACSL1,ABO,ABCC1,ABCA10,ANP32B,ADAMTS2,ACSL1,ABO,ABCC1,ABCA10,ANP32B,ADAM28,ACSL1,ABO,ABCC1,ABCA10
19,ANP32B,ADAMTS9,ACSL4,ABTB1,ABCC3,ABCA13,ANP32B,ADAMTS2,ACSL4,ABTB1,ABCC3,ABCA13,ANP32B,ADAMTS9,ACSL4,ABTB1,ABCC3,ABCA13,ANXA1,ADAMTS9,ACSL4,ABTB1,ABCC3,ABCA13,ANXA1,ADAMTS2,ACSL4,ABTB1,ABCC3,ABCA13
20,ANXA1,ADD3,ACTN1,AC009506.1,ABCC4,ABCA2,ANXA1,ADAMTS9,ACTN1,AC009506.1,ABCC4,ABCA2,ANXA1,ADD3,ACTN1,AC009506.1,ABCC4,ABCA2,ANXA5,ADD3,ACTN1,AC009506.1,ABCC4,ABCA2,ANXA5,ADAMTS9,ACTN1,AC009506.1,ABCC4,ABCA2
21,ANXA5,ADGRE2,ACTN4,AC104699.1,ABCC5,ABCA4,ANXA5,ADD3,ACTN4,AC104699.1,ABCC5,ABCA4,ANXA5,ADGRE2,ACTN4,AC104699.1,ABCC5,ABCA4,AOC1,ADGRE2,ACTN4,AC104699.1,ABCC5,ABCA4,AOC1,ADD3,ACTN4,AC104699.1,ABCC5,ABCA4
22,AOC1,ADGRG3,ACTR2,ACAP2,ABCD4,ABCA5,AOC1,ADGRE2,ACTR2,ACAP2,ABCD4,ABCA5,AOC1,ADGRG3,ACTR2,ACAP2,ABCD4,ABCA5,AP2M1,ADGRG3,ACTR2,ACAP2,ABCD4,ABCA5,AP2M1,ADGRE2,ACTR2,ACAP2,ABCD4,ABCA5
23,AP2M1,ADGRG6,ACTR3,ACBD6,ABCF2,ABCA7,AP2M1,ADGRG3,ACTR3,ACBD6,ABCF2,ABCA7,AP2M1,ADGRG6,ACTR3,ACBD6,ABCF2,ABCA7,APOL3,ADGRG6,ACTR3,ACBD6,ABCF2,ABCA7,APOL3,ADGRG3,ACTR3,ACBD6,ABCF2,ABCA7
24,APMAP,ADGRL4,ACYP1,ACLY,ABCF3,ABCA8,APOL3,ADGRG6,ACYP1,ACLY,ABCF3,ABCA8,APOL3,ADGRL4,ACYP1,ACLY,ABCF3,ABCA8,APP,ADGRL4,ACYP1,ACLY,ABCF3,ABCA8,APP,ADGRG6,ACYP1,ACLY,ABCF3,ABCA8
25,APOD,ADPGK,ADAM28,ACOT11,ABCG1,ABCB1,APP,ADGRL4,ADAM28,ACOT11,ABCG1,ABCB1,APP,ADPGK,ADAM28,ACOT11,ABCG1,ABCB1,AQP10,ADPGK,ADAM28,ACOT11,ABCG1,ABCB1,AQP10,ADGRL4,ADAM28,ACOT11,ABCG1,ABCB1
26,APOL3,AFF1,ADAM8,ACOX1,ABCG2,ABCB8,AQP10,ADPGK,ADAM8,ACOX1,ABCG2,ABCB8,AQP10,AFF1,ADAM8,ACOX1,ABCG2,ABCB8,ARAP1,AFF1,ADAM8,ACOX1,ABCG2,ABCB8,ARAP1,ADPGK,ADAM8,ACOX1,ABCG2,ABCB8
27,APP,AFG3L1P,ADAMTS2,ACRBP,ABHD11,ABCB9,ARAP1,AFF1,ADAMTS2,ACRBP,ABHD11,ABCB9,ARAP1,AFG3L1P,ADAMTS2,ACRBP,ABHD11,ABCB9,ARF1,AFG3L1P,ADAMTS2,ACRBP,ABHD11,ABCB9,ARF1,AFF1,ADAMTS2,ACRBP,ABHD11,ABCB9
28,AQP10,AGTRAP,ADAMTS9,ACSL1,ABHD12,ABCC1,ARF1,AFG3L1P,ADAMTS9,ACSL1,ABHD12,ABCC1,ARF1,AGTRAP,ADAMTS9,ACSL1,ABHD12,ABCC1,ARG2,AGTRAP,ADAMTS9,ACSL1,ABHD12,ABCC1,ARG2,AFG3L1P,ADAMTS9,ACSL1,ABHD12,ABCC1
29,ARAP1,AIDA,ADD3,ACSL4,ABHD14A,ABCC11,ARG2,AGTRAP,ADD3,ACSL4,ABHD14A,ABCC11,ARG2,AIDA,ADD3,ACSL4,ABHD14A,ABCC11,ARHGAP25,AIDA,ADD3,ACSL4,ABHD14A,ABCC11,ARHGAP25,AGTRAP,ADD3,ACSL4,ABHD14A,ABCC11
30,ARF1,AKAP13,ADGRE2,ACTG1P22,ABHD14B,ABCC3,ARHGAP25,AIDA,ADGRE2,ACTG1P22,ABHD14B,ABCC3,ARHGAP25,AKAP13,ADGRE2,ACTG1P22,ABHD14B,ABCC3,ARHGAP30,AKAP13,ADGRE2,ACTG1P22,ABHD14B,ABCC3,ARHGAP30,AIDA,ADGRE2,ACTG1P22,ABHD14B,ABCC3
31,ARG2,AKNA,ADGRG3,ACTN1,ABHD17A,ABCC4,ARHGAP30,AKAP13,ADGRG3,ACTN1,ABHD17A,ABCC4,ARHGAP30,AKNA,ADGRG3,ACTN1,ABHD17A,ABCC4,ARHGAP45,AKNA,ADGRG3,ACTN1,ABHD17A,ABCC4,ARHGAP45,AKAP13,ADGRG3,ACTN1,ABHD17A,ABCC4
32,ARHGAP25,AKT3,ADGRG6,ACTN4,ABHD3,ABCC5,ARHGAP45,AKNA,ADGRG6,ACTN4,ABHD3,ABCC5,ARHGAP45,AKT3,ADGRG6,ACTN4,ABHD3,ABCC5,ARHGAP6,AKT3,ADGRG6,ACTN4,ABHD3,ABCC5,ARHGAP6,AKNA,ADGRG6,ACTN4,ABHD3,ABCC5
33,ARHGAP30,ALCAM,ADGRL4,ACTR2,ABHD4,ABCC6,ARHGAP6,AKT3,ADGRL4,ACTR2,ABHD4,ABCC6,ARHGAP6,ALCAM,ADGRL4,ACTR2,ABHD4,ABCC6,ARHGDIB,ALCAM,ADGRL4,ACTR2,ABHD4,ABCC6,ARHGDIB,AKT3,ADGRL4,ACTR2,ABHD4,ABCC6
34,ARHGAP45,ALKBH5,ADIPOR1,ACTR3,ABHD5,ABCC8,ARHGDIB,ALCAM,ADIPOR1,ACTR3,ABHD5,ABCC8,ARHGDIB,ALKBH5,ADIPOR1,ACTR3,ABHD5,ABCC8,ARHGEF12,ALKBH5,ADIPOR1,ACTR3,ABHD5,ABCC8,ARHGEF12,ALCAM,ADIPOR1,ACTR3,ABHD5,ABCC8
35,ARHGAP6,ALOX5,ADNP,ACVR2B,ABHD6,ABCD1,ARHGEF12,ALKBH5,ADNP,ACVR2B,ABHD6,ABCD1,ARHGEF12,ALOX5,ADNP,ACVR2B,ABHD6,ABCD1,ARID1A,ALOX5,ADNP,ACVR2B,ABHD6,ABCD1,ARID1A,ALKBH5,ADNP,ACVR2B,ABHD6,ABCD1
36,ARHGDIB,ALOX5AP,ADPGK,ACYP1,ABI2,ABCD4,ARID1A,ALOX5,ADPGK,ACYP1,ABI2,ABCD4,ARID1A,ALOX5AP,ADPGK,ACYP1,ABI2,ABCD4,ARPC5,ALOX5AP,ADPGK,ACYP1,ABI2,ABCD4,ARPC5,ALOX5,ADPGK,ACYP1,ABI2,ABCD4
37,ARHGEF12,ALPL,AFF1,ADAM15,ABI3,ABCE1,ARPC5,ALOX5AP,AFF1,ADAM15,ABI3,ABCE1,ARPC5,ALPL,AFF1,ADAM15,ABI3,ABCE1,ARRB2,ALPL,AFF1,ADAM15,ABI3,ABCE1,ARRB2,ALOX5AP,AFF1,ADAM15,ABI3,ABCE1
38,ARID1A,ANK3,AFG3L1P,ADAM28,ABI3BP,ABCF2,ARRB2,ALPL,AFG3L1P,ADAM28,ABI3BP,ABCF2,ARRB2,ANK3,AFG3L1P,ADAM28,ABI3BP,ABCF2,ATM,ANK3,AFG3L1P,ADAM28,ABI3BP,ABCF2,ATM,ALPL,AFG3L1P,ADAM28,ABI3BP,ABCF2
39,ARPC5,ANKRD13A,AGO1,ADAM8,ABL1,ABCF3,ATM,ANK3,AGO1,ADAM8,ABL1,ABCF3,ATM,ANKRD13A,AGO1,ADAM8,ABL1,ABCF3,ATP6V0B,ANKRD13A,AGO1,ADAM8,ABL1,ABCF3,ATP6V0B,ANK3,AGO1,ADAM8,ABL1,ABCF3
40,ARRB2,ANKRD33B,AGTPBP1,ADAMTS1,ABL2,ABCG1,ATP6V0B,ANKRD13A,AGTPBP1,ADAMTS1,ABL2,ABCG1,ATP6V0B,ANKRD33B,AGTPBP1,ADAMTS1,ABL2,ABCG1,ATP6V1B2,ANKRD33B,AGTPBP1,ADAMTS1,ABL2,ABCG1,ATP6V1B2,ANKRD13A,AGTPBP1,ADAMTS1,ABL2,ABCG1
41,ATM,ANKRD34B,AGTRAP,ADAMTS2,ABLIM1,ABCG2,ATP6V1B2,ANKRD33B,AGTRAP,ADAMTS2,ABLIM1,ABCG2,ATP6V1B2,ANKRD34B,AGTRAP,ADAMTS2,ABLIM1,ABCG2,AVIL,ANKRD34B,AGTRAP,ADAMTS2,ABLIM1,ABCG2,AVIL,ANKRD33B,AGTRAP,ADAMTS2,ABLIM1,ABCG2
42,ATP6V0B,ANKRD36B,AHI1,ADAMTS9,ABLIM3,ABHD1,AVIL,ANKRD34B,AHI1,ADAMTS9,ABLIM3,ABHD1,AVIL,ANKRD36B,AHI1,ADAMTS9,ABLIM3,ABHD1,AZIN1,ANKRD36B,AHI1,ADAMTS9,ABLIM3,ABHD1,AZIN1,ANKRD34B,AHI1,ADAMTS9,ABLIM3,ABHD1
43,ATP6V1B2,ANKRD36C,AIDA,ADD3,ABO,ABHD10,AZIN1,ANKRD36B,AIDA,ADD3,ABO,ABHD10,AZIN1,ANKRD36C,AIDA,ADD3,ABO,ABHD10,B4GALNT4,ANKRD36C,AIDA,ADD3,ABO,ABHD10,B4GALNT4,ANKRD36B,AIDA,ADD3,ABO,ABHD10
44,AVIL,ANKRD55,AKAP11,ADGRE2,ABRACL,ABHD11,B4GALNT4,ANKRD36C,AKAP11,ADGRE2,ABRACL,ABHD11,B4GALNT4,ANKRD55,AKAP11,ADGRE2,ABRACL,ABHD11,BASP1,ANKRD55,AKAP11,ADGRE2,ABRACL,ABHD11,BASP1,ANKRD36C,AKAP11,ADGRE2,ABRACL,ABHD11
45,AZIN1,ANO6,AKAP13,ADGRG3,ABTB1,ABHD12,BASP1,ANKRD55,AKAP13,ADGRG3,ABTB1,ABHD12,BASP1,ANO6,AKAP13,ADGRG3,ABTB1,ABHD12,BCYRN1,ANO6,AKAP13,ADGRG3,ABTB1,ABHD12,BCYRN1,ANKRD55,AKAP13,ADGRG3,ABTB1,ABHD12
46,B4GALNT4,ANO9,AKNA,ADGRG6,ABTB2,ABHD12B,BCYRN1,ANO6,AKNA,ADGRG6,ABTB2,ABHD12B,BCYRN1,ANO9,AKNA,ADGRG6,ABTB2,ABHD12B,BMP6,ANO9,AKNA,ADGRG6,ABTB2,ABHD12B,BMP6,ANO6,AKNA,ADGRG6,ABTB2,ABHD12B
47,BASP1,ANP32A,AKT3,ADGRL4,AC004057.1,ABHD14A,BMP6,ANO9,AKT3,ADGRL4,AC004057.1,ABHD14A,BMP6,ANP32A,AKT3,ADGRL4,AC004057.1,ABHD14A,BMX,ANP32A,AKT3,ADGRL4,AC004057.1,ABHD14A,BMX,ANO9,AKT3,ADGRL4,AC004057.1,ABHD14A
48,BCYRN1,ANP32B,ALAS2,ADH5,AC009506.1,ABHD14B,BMX,ANP32A,ALAS2,ADH5,AC009506.1,ABHD14B,BMX,ANP32B,ALAS2,ADH5,AC009506.1,ABHD14B,BRWD3,ANP32B,ALAS2,ADH5,AC009506.1,ABHD14B,BRWD3,ANP32A,ALAS2,ADH5,AC009506.1,ABHD14B
