,adventitial cell,cardiac muscle cell,cell of skeletal muscle,fibroblast/mesenchymal stem cell,melanocyte,mesothelial cell,pancreatic stellate cell,pericyte cell,schwann cell,smooth muscle cell,stromal cell,tendon cell,acinar cell of salivary gland/myoepithelial cell,basal cell,basal cell of prostate epithelium,bladder urothelial cell,ciliated cell/lung ciliated cell,ciliated epithelial cell/epithelial cell of uterus,club cell/type i pneumocyte,club cell of prostate epithelium/hillock cell of prostate epithelium/hillock-club cell of prostate epithelium,duct epithelial cell/serous cell of epithelium of bronchus,duodenum glandular cell,enterocyte of epithelium of large intestine/enterocyte of epithelium of small intestine/intestinal crypt stem cell of large intestine/large intestine goblet cell/mature enterocyte/paneth cell of epithelium of large intestine/small intestine goblet cell,goblet cell,hepatocyte,immature enterocyte/intestinal crypt stem cell/intestinal crypt stem cell of small intestine/transit amplifying cell of large intestine,intestinal enteroendocrine cell/paneth cell of epithelium of small intestine/transit amplifying cell of small intestine,intestinal tuft cell,intrahepatic cholangiocyte,ionocyte/luminal epithelial cell of mammary gland,keratinocyte,kidney epithelial cell,luminal cell of prostate epithelium,medullary thymic epithelial cell,mucus secreting cell/secretory cell/tracheal goblet cell,pancreatic acinar cell,pancreatic alpha cell/pancreatic beta cell,pancreatic delta cell,pancreatic ductal cell,pancreatic pp cell,pulmonary ionocyte,respiratory goblet cell/respiratory mucous cell/serous cell of epithelium of trachea,salivary gland cell,type ii pneumocyte,b cell,basophil,erythrocyte/erythroid progenitor,hematopoietic stem cell,innate lymphoid cell,macrophage,mast cell,mature conventional dendritic cell,monocyte,myeloid progenitor,neutrophil,nk cell,plasma cell,plasmablast,platelet,t cell,thymocyte,endothelial cell,r,rmse
2558-NNLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03018406949959485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007464586163328538,0.012479362267842879,0.0,0.0,0.0,0.0,0.0,0.0815622486478701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4082237509458879,0.0,0.0,0.0,0.0,0.032764198419025184,0.0,0.0,0.09115705645136757,0.1417671930737201,0.0,0.0,0.2852906474082825,0.0,0.0017630897639601337,0.0682222704768849,0.6125007063833171,0.7946923732740849
2558-QP,1.1598972596994009e-08,1.2798356625191077e-08,1.6903422317010258e-08,1.0115466487668108e-08,8.110412679946219e-09,1.2682613814163232e-08,1.2039161173450663e-08,2.2432929540376005e-08,0.021901798737688542,1.846242524610805e-08,1.0047779134161235e-08,1.1053041765348481e-08,1.976080274278999e-08,2.801570536681481e-09,1.582143534555774e-08,9.48712727988136e-09,1.3626134701234543e-08,9.481857871953835e-09,1.7691692948520403e-08,1.4015377418450344e-08,5.839720579124743e-08,3.245907741490152e-08,1.1958852656008676e-08,1.3539887463056094e-08,1.0421946494507921e-08,7.562900107939242e-09,9.881186418529402e-09,0.05837758813068149,2.2390936409960704e-07,1.2981131196519031e-08,2.2289071828164906e-08,1.01550030325022e-08,1.5390841047095046e-08,1.0342935023711128e-08,1.3184609862294476e-08,6.2283219091990976e-09,1.749242510092947e-08,1.7896650367777463e-08,1.2137204465892389e-08,1.5886096954819466e-08,1.4447022345919917e-08,1.3925902257760734e-08,4.644547835272174e-07,1.69679981667204e-08,5.1610284433319287e-08,1.2857578601027449e-08,0.3735207804668985,9.925432519670208e-09,1.4227505644589468e-08,1.5965875963591585e-08,8.549955657778314e-09,0.016858241716307266,1.34515202476308e-06,7.612853193036558e-09,0.07346243937747343,0.1337670204526168,1.9255177681500583e-08,1.9805414437888244e-08,0.2623763924699333,1.3136598205252512e-08,1.2170015049887694e-07,0.05973281800855155,0.611650946960532,0.7937280676897651
2558-NUSVR--nu=0.05-C=0.1,0.03976168910772031,0.0008959602048136343,0.023631184955382422,-0.07747408121934256,-0.032961478722940515,0.01717298132309998,0.00962655485932563,0.008951138072077619,0.013734014519406854,-0.044487377440092304,-0.020873503750515873,-0.00188060097047376,0.002658770495688762,0.02926232721252928,-0.011474541669011044,-0.01764175979136319,0.016525523791517758,-0.030846954299205226,-0.0068605066240138395,0.012972717795911498,0.003604522535926652,-0.024900147820184754,0.010894594375595031,-0.009715397649208762,0.0005601242860247425,-0.03672009074151765,0.001658779296264974,0.022039902447972926,-0.0006530730838219673,0.0032060060801093106,-0.005251196036628743,0.01942692642306392,-0.014209580302668327,-0.018703808826836844,-0.00797860479962532,-0.04222056971967143,0.0028915426812091928,-0.019959062296071823,0.010444978162988379,0.0001441722750601844,-0.007741658593981973,0.004425928700445711,0.0011819511132161922,0.004660595250013977,0.05566095621003937,0.008996701969995215,0.3920519524613385,-0.06149669789374075,-0.04934500529627087,-0.042597141119949763,-0.04993201891696828,0.019729721555930294,0.1483043431985675,0.04142149382661266,0.040094929785421896,0.056398979320717704,-0.026504138551450136,0.006771341606991125,0.21647797410786296,0.03533307350595681,0.0367354779107366,0.032422455459941615,0.557666561344693,0.8323543878069702
2558-NUSVR--nu=0.1-C=0.1,0.04359462438069932,-0.01575664940061255,0.025777048959846963,-0.06366737517211694,-0.03597240245087132,-0.01662228484458652,0.015686165849092503,0.019161000630580575,0.01780444597267554,-0.03146585496746533,-0.01054988118686187,-0.013862663540558276,-0.008783835717483323,0.025039353859947086,0.0026190626119226056,-0.013817270373952896,0.014376191670017264,-0.029470345743477976,-0.0041477857418333415,-0.002336085497505017,0.011816503302552182,-0.026857949536510044,0.00469692398160165,-0.0005861647756241761,-0.02032326469420235,-0.02034607342997743,0.0011254111765265982,0.024485735364649666,0.005848161142551803,0.007898448992319576,-0.004540671213120181,0.016850748540449424,-0.011701701996138474,0.005727017750285098,0.0003354725700739445,-0.027652435216868748,0.008935524914602224,-0.019267437483939612,0.006497695147581266,9.064000884426507e-05,-0.01318317874635926,-0.023915317208003065,0.009262414809585154,0.0028876630038218104,0.05505810773207106,0.06750585640954379,0.3988131229312896,-0.051553163956508184,-0.0227109804960308,-0.09735958144743304,-0.09914900702710963,0.01775873987097295,0.15456042055909802,0.02746915611213093,0.0577107348120147,0.08883165276779582,-0.021680512713892482,0.004474192802289047,0.24089960416475073,0.017228631613660388,0.03189379097232212,0.04080463024198551,0.5541841720589625,0.8343433379840217
2558-NUSVR--nu=0.15-C=0.1,0.04322700519395962,-0.011128428108137807,0.025862839819190884,-0.06028462529672584,-0.02963637346777767,-0.014677822596451255,0.017781567145206432,0.01165273307381252,0.016742845445286245,-0.023423144965782506,-0.006501077224108798,-0.014812186145867762,-0.013505671719260436,0.022227494815452845,0.004264569418616072,-0.013647463604900167,0.01434797411276616,-0.02717838742623889,-0.0014282317590103497,-0.004190524471816785,0.013298600420064862,-0.025203616279548105,0.00845866602166374,-0.005237544023079247,-0.02330848309369702,-0.01622448916515396,0.0009190739971608182,0.02801598184083979,0.009233067954156432,0.009269687832702746,-0.0038522425048182034,0.0015723837180149323,-0.008406696492943138,0.008959182351888422,0.0004946644390959182,-0.018747663021904983,0.009377629949797099,-0.016645881554673482,-8.057080878892328e-05,6.846679760049573e-05,-0.016638062869688986,-0.018644562931958656,0.010125109200027814,0.0012101880003516723,0.05114746999083522,0.08437624482640324,0.40184286670848357,-0.03588371298204775,-0.018015245260486767,-0.11034325862367816,-0.11056059026732304,0.016601724929289532,0.14757554901836276,0.022727131805376763,0.06334880039237023,0.09762578422470344,-0.009752588829119582,0.0004201701934676621,0.2654367844877958,0.020268880102810853,0.03433976401329193,0.05137722168672432,0.5580954655303304,0.8320279417294072
2558-NUSVR--nu=0.25-C=0.1,0.03461688133041801,-0.0066174961506045085,0.02084364467343005,-0.05079163848069398,-0.03370594306338102,-0.015904683937657066,0.013627873702685821,0.0045699048434136025,0.02041515046693959,-0.014124981371947322,-0.015328721809823495,-0.010314821073415442,-0.017408997387269108,0.028713331645650347,-0.00995074311572662,-0.02535283885125362,0.013489530299039848,-0.03659821392167195,-0.001483812641059853,0.01088494778068151,0.017419705673296537,-0.02854843675482576,0.012521481734193998,-0.014312827128985094,-0.018082487123236294,-0.01619255375803646,0.0006915621776752267,0.031053377470981247,0.013164755219440473,0.01119127683009416,-0.011132908522067404,-0.018165140308174635,-0.005153472463619751,0.017528250313279765,0.00031808400358186023,-0.012959085213882199,0.007010238677558071,-0.011399921390136286,-0.0035261821718130595,3.563635774488788e-05,-0.010305849313753841,-0.0132504452090796,0.015298459158899635,0.0011670302051130326,0.07009822218024567,0.08278933288848017,0.4049992476990805,-0.02034067837835921,-0.010747167182823411,-0.11818022113707123,-0.10699582442093179,0.038259773220589696,0.14456823378429087,0.016933115141343685,0.07299043969198704,0.11032897719387821,-0.020794203005208137,0.0014413558046772858,0.26429067339859363,0.02510673070331838,0.040156538498774624,0.06845287742134948,0.5534981224068031,0.8350728568298101
2558-NUSVR--nu=0.5-C=0.1,0.024697007243226335,-0.0024395428662386254,0.012611770666504454,-0.035403151226988665,-0.03019251536599342,-0.00967544672657888,-0.010917617409913217,0.008606937447939306,0.02195556181135791,-0.012533671499698603,-0.017213785160286613,-0.0034747363905322896,-0.012944896997585033,0.03196508134659439,-0.012154841779602745,-0.02875049614895423,0.008802296695020449,-0.04550489123931992,-0.011926667461691878,0.013031333753259506,0.015873287182015097,-0.026652390657746723,0.009192694600164045,-0.013482847126693709,-0.011255326060925342,-0.018743437669835734,0.0002596742132192735,0.04467645010100892,0.0133588374549295,0.01835236360125083,-0.006055566573886482,-0.004137374579021188,-0.002083395041101938,0.009492694266062779,-0.0003038984980330804,-0.0018097054639612462,0.0040010183064164906,-0.0056359934647821994,-0.008279662592934157,-0.00012286746584233912,-0.008502790683209152,-0.003258672522084151,0.011596323763646093,0.006999607335607875,0.09598987476382397,0.06152379190099734,0.40947846621317674,0.0028123367238532607,-0.003339120856209042,-0.10161963192704182,-0.09990719783593845,0.05503664431889581,0.13723735835016726,0.020876213365839866,0.09140481144834908,0.11193913113597458,-0.02489032651193271,-0.0015745170379766922,0.27942571339264505,0.03461297012381305,0.04683185779317956,0.08940588553562291,0.5538102564296338,0.8346086642778109
2558-NUSVR--nu=0.75-C=0.1,0.023581117130626248,-0.0013489606660693522,0.01299303325191914,-0.03141458779024179,-0.0310260420527912,-0.013727874902300624,-0.020025789608754264,0.009565601174405587,0.02361246821467118,-0.009366840496500311,-0.019027799194465966,0.00010432896038574738,-0.01592954703238826,0.03264483925610096,-0.026670839887554122,-0.03443809795085571,0.006479016116147171,-0.03830423984891895,-0.0057843610545616694,0.028427580952449124,0.022256964230710483,-0.032569540884734564,0.0022004753876541383,-0.0048069413816601925,-0.007997313016013839,-0.017208258702912854,2.371042044821501e-05,0.05373144544916239,0.012209500149923828,0.015081435886307996,-0.005928884022354489,0.0002482418121813705,-0.0008551743021481567,0.008849109047248631,-0.0018746779655269318,-0.002040144550487879,0.00018155323007282634,-0.000888016568375052,-0.010145626244869716,-4.193097976322793e-05,-0.008110485626155635,-0.016784647728892814,0.015427518951013375,0.0026441062822987397,0.12357845597313238,0.06086971671342639,0.4090220625943504,0.007449403819795186,-0.003349099597077616,-0.06666143565880299,-0.1019041868466618,0.05881535228584428,0.1422512518761179,0.03168236716439001,0.0866763229543579,0.12161176446036025,-0.03452021569641109,0.0007718092889361502,0.2712382841468656,0.03577591350241216,0.050603443033096614,0.0961786642926197,0.5438756918217381,0.8404174451401765
2558-NUSVR--nu=0.05-C=0.5,0.04103654880514973,0.0008401032112646534,0.02394983704272971,-0.07868966751721373,-0.032709513437245485,0.017528286578536834,0.009912405473367747,0.009255021315519335,0.01292740656150504,-0.044947981390723465,-0.021845291212911438,-0.0014905072659415763,0.003127817326118887,0.03002521567669192,-0.012992343225704958,-0.01847899158545807,0.01665716394511041,-0.031140832625353346,-0.007096330208727519,0.014610067139089716,0.003265094995010487,-0.024815749797406833,0.011593790627727973,-0.010615122346606637,0.0005807223443538637,-0.03689208212681752,0.0016758263098171633,0.022171605330723432,-0.0006308801541188847,0.003186838429198924,-0.00589188577441644,0.019929197999106363,-0.015040073800615117,-0.020301676216341838,-0.008559268474954113,-0.04227882490586793,0.002921714877935358,-0.01995568560368493,0.010472514709767622,0.00014652585772911841,-0.007785461741968758,0.005451035656510308,0.0011554946709424474,0.004809391484989947,0.056775581014261056,0.00902378761406776,0.40984881676758556,-0.06359131126106427,-0.050643645741429266,-0.043580212684365266,-0.049534869217123204,0.01965542557160399,0.14847134491586395,0.041965781286823906,0.04042785164067275,0.05721875908391649,-0.02664706050448311,0.006860182923139235,0.21932312957715472,0.03489392834209759,0.03886348090751225,0.03253925989707129,0.5588392311411261,0.8316526977506722
2558-NUSVR--nu=0.1-C=0.5,0.04342341369608192,-0.015974970646851896,0.02610722164142011,-0.06334834661711414,-0.035839888573789634,-0.015843787340669824,0.015213648244667855,0.018781739088269616,0.017718647594004655,-0.03128141041426875,-0.01038818696327241,-0.01339213898128741,-0.009019023729555101,0.024900381147779822,0.0029166907991895127,-0.013681776408472842,0.014384399430565891,-0.02926558124707037,-0.004432936683446119,-0.002654094025039816,0.011956810056233447,-0.026913390491260514,0.004807116904522792,-0.0006647961246551565,-0.01927223165458737,-0.020388648909967735,0.001127412162144013,0.02441350569614427,0.00570429179732623,0.007992103844337888,-0.004455597097791128,0.016922037036326387,-0.011708223408662878,0.004715472124472362,-9.242508427727975e-05,-0.027671800163048654,0.008572216740799244,-0.01893044347792984,0.006616034493425779,9.747108054321274e-05,-0.013170012060723768,-0.02350451636169617,0.009471019791095023,0.0030499583703900747,0.055411285111590436,0.06815199623093585,0.41003922057191233,-0.05153789947529584,-0.02357331974409897,-0.09871655949344267,-0.09986391607101135,0.01778265471597088,0.15458529989198613,0.02665196950276691,0.05830145910607708,0.08873852299716231,-0.0218058741008191,0.004513511344795839,0.2413209036266471,0.017914384569507363,0.03282734164518773,0.04063748655015943,0.5556968067076699,0.8333871106322882
