,3264-NUSVR--nu=0.05-C=0.1,3264-NUSVR--nu=0.1-C=0.1,3264-NUSVR--nu=0.15-C=0.1,3264-NUSVR--nu=0.25-C=0.1,3264-NUSVR--nu=0.5-C=0.1,3264-NUSVR--nu=0.75-C=0.1,3264-NUSVR--nu=0.05-C=0.5,3264-NUSVR--nu=0.1-C=0.5,3264-NUSVR--nu=0.15-C=0.5,3264-NUSVR--nu=0.25-C=0.5,3264-NUSVR--nu=0.5-C=0.5,3264-NUSVR--nu=0.75-C=0.5,3264-NUSVR--nu=0.05-C=0.75,3264-NUSVR--nu=0.1-C=0.75,3264-NUSVR--nu=0.15-C=0.75,3264-NUSVR--nu=0.25-C=0.75,3264-NUSVR--nu=0.5-C=0.75,3264-NUSVR--nu=0.75-C=0.75,3264-NUSVR--nu=0.05-C=1,3264-NUSVR--nu=0.1-C=1,3264-NUSVR--nu=0.15-C=1,3264-NUSVR--nu=0.25-C=1,3264-NUSVR--nu=0.5-C=1,3264-NUSVR--nu=0.75-C=1,3264-NUSVR--nu=0.05-C=10,3264-NUSVR--nu=0.1-C=10,3264-NUSVR--nu=0.15-C=10,3264-NUSVR--nu=0.25-C=10,3264-NUSVR--nu=0.5-C=10,3264-NUSVR--nu=0.75-C=10
5550,,,,,ZDHHC8,PPP3CC,,,,,ZFAND3,PPP4R2,,,,,ZFAND3,PPP2R5D,,,,,ZFAND3,PPP3CB,,,,,ZFP14,PPP4R1
5551,,,,,ZEB1,PPP3R1,,,,,ZFAND5,PPP5C,,,,,ZFAND5,PPP3CA,,,,,ZFAND5,PPP3CC,,,,,ZFP62,PPP4R1L
5552,,,,,ZEB2,PPP4R1,,,,,ZFAS1,PPP5D1,,,,,ZFAS1,PPP3CB,,,,,ZFAS1,PPP3R1,,,,,ZFP64,PPP4R2
5553,,,,,ZER1,PPP4R1L,,,,,ZFHX2,PPP6C,,,,,ZFHX2,PPP3CC,,,,,ZFHX2,PPP4R1,,,,,ZFP82,PPP5C
5554,,,,,ZFAND3,PPP4R2,,,,,ZFHX3,PPP6R1,,,,,ZFHX3,PPP3R1,,,,,ZFHX3,PPP4R1L,,,,,ZFP91,PPP5D1
5555,,,,,ZFAND5,PPP5C,,,,,ZFP14,PPP6R2,,,,,ZFP14,PPP4R1,,,,,ZFP14,PPP4R2,,,,,ZFPM2,PPP6C
5556,,,,,ZFAS1,PPP5D1,,,,,ZFP62,PPRC1,,,,,ZFP62,PPP4R1L,,,,,ZFP62,PPP5C,,,,,ZFYVE1,PPP6R1
5557,,,,,ZFHX2,PPP6C,,,,,ZFP64,PPT1,,,,,ZFP64,PPP4R2,,,,,ZFP64,PPP5D1,,,,,ZFYVE16,PPP6R2
5558,,,,,ZFHX3,PPP6R1,,,,,ZFP82,PPT2,,,,,ZFP82,PPP5C,,,,,ZFP82,PPP6C,,,,,ZFYVE19,PPRC1
5559,,,,,ZFP14,PPP6R2,,,,,ZFP91,PPWD1,,,,,ZFP91,PPP5D1,,,,,ZFP91,PPP6R1,,,,,ZFYVE27,PPT1
5560,,,,,ZFP62,PPRC1,,,,,ZFPM2,PQLC1,,,,,ZFPM2,PPP6C,,,,,ZFPM2,PPP6R2,,,,,ZFYVE28,PPT2
5561,,,,,ZFP64,PPT1,,,,,ZFYVE1,PQLC3,,,,,ZFYVE1,PPP6R1,,,,,ZFYVE1,PPRC1,,,,,ZHX1,PPWD1
5562,,,,,ZFP82,PPT2,,,,,ZFYVE16,PRADC1,,,,,ZFYVE16,PPP6R2,,,,,ZFYVE16,PPT1,,,,,ZHX2,PQLC1
5563,,,,,ZFP91,PPWD1,,,,,ZFYVE19,PRAM1,,,,,ZFYVE19,PPRC1,,,,,ZFYVE19,PPT2,,,,,ZHX3,PQLC3
5564,,,,,ZFPM2,PQLC1,,,,,ZFYVE27,PRB3,,,,,ZFYVE27,PPT1,,,,,ZFYVE27,PPWD1,,,,,ZIK1,PRADC1
5565,,,,,ZFYVE1,PQLC3,,,,,ZFYVE28,PRC1,,,,,ZFYVE28,PPT2,,,,,ZFYVE28,PQLC1,,,,,ZKSCAN1,PRAM1
5566,,,,,ZFYVE16,PRADC1,,,,,ZHX1,PRCC,,,,,ZHX1,PPWD1,,,,,ZHX1,PQLC3,,,,,ZMAT1,PRB3
5567,,,,,ZFYVE19,PRAM1,,,,,ZHX2,PRCD,,,,,ZHX2,PQLC1,,,,,ZHX2,PRADC1,,,,,ZMAT5,PRC1
5568,,,,,ZFYVE27,PRB3,,,,,ZHX3,PRCP,,,,,ZHX3,PQLC3,,,,,ZHX3,PRAM1,,,,,ZMIZ1,PRCC
5569,,,,,ZFYVE28,PRC1,,,,,ZIK1,PRDM1,,,,,ZIK1,PRADC1,,,,,ZIK1,PRB3,,,,,ZMIZ2,PRCD
5570,,,,,ZHX1,PRCC,,,,,ZKSCAN1,PRDM10,,,,,ZKSCAN1,PRAM1,,,,,ZKSCAN1,PRC1,,,,,ZMPSTE24,PRCP
5571,,,,,ZHX2,PRCD,,,,,ZMAT1,PRDM15,,,,,ZMAT1,PRB3,,,,,ZMAT1,PRCC,,,,,ZMYM3,PRDM1
5572,,,,,ZHX3,PRCP,,,,,ZMAT5,PRDM16,,,,,ZMAT5,PRC1,,,,,ZMAT5,PRCD,,,,,ZMYM4,PRDM10
5573,,,,,ZIK1,PRDM1,,,,,ZMIZ1,PRDM2,,,,,ZMIZ1,PRCC,,,,,ZMIZ1,PRCP,,,,,ZMYM5,PRDM15
5574,,,,,ZKSCAN1,PRDM10,,,,,ZMIZ2,PRDM4,,,,,ZMIZ2,PRCD,,,,,ZMIZ2,PRDM1,,,,,ZMYM6,PRDM16
5575,,,,,ZMAT1,PRDM15,,,,,ZMPSTE24,PRDM5,,,,,ZMPSTE24,PRCP,,,,,ZMPSTE24,PRDM10,,,,,ZMYND15,PRDM2
5576,,,,,ZMAT5,PRDM16,,,,,ZMYM3,PRDX3,,,,,ZMYM3,PRDM1,,,,,ZMYM3,PRDM15,,,,,ZMYND8,PRDM4
5577,,,,,ZMIZ1,PRDM2,,,,,ZMYM4,PRDX4,,,,,ZMYM4,PRDM10,,,,,ZMYM4,PRDM16,,,,,ZNF101,PRDM5
5578,,,,,ZMIZ2,PRDM4,,,,,ZMYM5,PRDX5,,,,,ZMYM5,PRDM15,,,,,ZMYM5,PRDM2,,,,,ZNF106,PRDX3
5579,,,,,ZMPSTE24,PRDM5,,,,,ZMYM6,PRELID2,,,,,ZMYM6,PRDM16,,,,,ZMYM6,PRDM4,,,,,ZNF12,PRDX4
5580,,,,,ZMYM3,PRDX3,,,,,ZMYND15,PRELID3B,,,,,ZMYND15,PRDM2,,,,,ZMYND15,PRDM5,,,,,ZNF124,PRDX5
5581,,,,,ZMYM4,PRDX4,,,,,ZMYND8,PREP,,,,,ZMYND8,PRDM4,,,,,ZMYND8,PRDX3,,,,,ZNF131,PRELID2
5582,,,,,ZMYM5,PRDX5,,,,,ZNF101,PREX1,,,,,ZNF101,PRDM5,,,,,ZNF101,PRDX4,,,,,ZNF134,PRELID3B
5583,,,,,ZMYM6,PRELID2,,,,,ZNF106,PREX2,,,,,ZNF106,PRDX3,,,,,ZNF106,PRDX5,,,,,ZNF135,PREP
5584,,,,,ZMYND15,PRELID3B,,,,,ZNF12,PRF1,,,,,ZNF12,PRDX4,,,,,ZNF12,PRELID2,,,,,ZNF138,PREX1
5585,,,,,ZMYND8,PREP,,,,,ZNF124,PRH2,,,,,ZNF124,PRDX5,,,,,ZNF124,PRELID3B,,,,,ZNF141,PREX2
5586,,,,,ZNF101,PREX1,,,,,ZNF131,PRICKLE2,,,,,ZNF131,PRELID2,,,,,ZNF131,PREP,,,,,ZNF142,PRF1
