,17947-NUSVR--nu=0.05-C=0.1,17947-NUSVR--nu=0.1-C=0.1,17947-NUSVR--nu=0.15-C=0.1,17947-NUSVR--nu=0.25-C=0.1,17947-NUSVR--nu=0.5-C=0.1,17947-NUSVR--nu=0.75-C=0.1,17947-NUSVR--nu=0.05-C=0.5,17947-NUSVR--nu=0.1-C=0.5,17947-NUSVR--nu=0.15-C=0.5,17947-NUSVR--nu=0.25-C=0.5,17947-NUSVR--nu=0.5-C=0.5,17947-NUSVR--nu=0.75-C=0.5,17947-NUSVR--nu=0.05-C=0.75,17947-NUSVR--nu=0.1-C=0.75,17947-NUSVR--nu=0.15-C=0.75,17947-NUSVR--nu=0.25-C=0.75,17947-NUSVR--nu=0.5-C=0.75,17947-NUSVR--nu=0.75-C=0.75,17947-NUSVR--nu=0.05-C=1,17947-NUSVR--nu=0.1-C=1,17947-NUSVR--nu=0.15-C=1,17947-NUSVR--nu=0.25-C=1,17947-NUSVR--nu=0.5-C=1,17947-NUSVR--nu=0.75-C=1,17947-NUSVR--nu=0.05-C=10,17947-NUSVR--nu=0.1-C=10,17947-NUSVR--nu=0.15-C=10,17947-NUSVR--nu=0.25-C=10,17947-NUSVR--nu=0.5-C=10,17947-NUSVR--nu=0.75-C=10
0,ABCC4,ABCC4,AATK,AAK1,A1CF,A1CF,ABCC4,ABCC4,AATK,AAK1,A1CF,A1CF,ABCC4,ABCC4,AATK,AAK1,A1CF,A1CF,ABCC4,ABCC4,AATK,AAK1,A1CF,A1CF,ABCC4,ABCC4,AATK,AAK1,A1CF,A1CF
1,ABLIM3,ABCC5,ABCC1,AASS,A2M,A2M,ABLIM3,ABCC5,ABCC1,AASS,A2M,A2M,ABLIM3,ABCC5,ABCC1,AASS,A2M,A2M,ABLIM3,ABCC5,ABCC1,AASS,A2M,A2M,ABLIM3,ABCC5,ABCC1,AASS,A2M,A2M
2,ABTB1,ABHD12,ABCC4,AATK,AAK1,A2ML1,ACP1,ABHD12,ABCC4,AATK,AAK1,A2ML1,ACP1,ABHD12,ABCC4,AATK,AAK1,A2ML1,ACP1,ABHD12,ABCC4,AATK,AAK1,A2ML1,ACP1,ABHD12,ABCC4,AATK,AAK1,A2ML1
3,ACP1,ABHD17A,ABCC5,ABCA5,AAMP,AACS,ACPP,ABHD17A,ABCC5,ABCA5,AAMP,AACS,ACPP,ABHD17A,ABCC5,ABCA5,AAMP,AACS,ACPP,ABHD17A,ABCC5,ABCA5,AAMP,AACS,ACPP,ABHD17A,ABCC5,ABCA5,AAMP,AACS
4,ACPP,ABHD5,ABHD12,ABCA8,AARS,AAK1,ACRBP,ABHD5,ABHD12,ABCA8,AARS,AAK1,ACRBP,ABHD5,ABHD12,ABCA8,AARS,AAK1,ACRBP,ABHD5,ABHD12,ABCA8,AARS,AAK1,ACRBP,ABHD5,ABHD12,ABCA8,AARS,AAK1
5,ACRBP,ABLIM1,ABHD17A,ABCB10,AARS2,AAMDC,ACTN1,ABLIM1,ABHD17A,ABCB10,AARS2,AAMDC,ACTN1,ABLIM1,ABHD17A,ABCB10,AARS2,AAMDC,ACTN1,ABLIM1,ABHD17A,ABCB10,AARS2,AAMDC,ACTN1,ABLIM1,ABHD17A,ABCB10,AARS2,AAMDC
6,ACTN1,ABLIM3,ABHD5,ABCB9,AASDHPPT,AAMP,ACTN4,ABLIM3,ABHD5,ABCB9,AASDHPPT,AAMP,ACTN4,ABLIM3,ABHD5,ABCB9,AASDHPPT,AAMP,ACTN4,ABLIM3,ABHD5,ABCB9,AASDHPPT,AAMP,ACTN4,ABLIM3,ABHD5,ABCB9,AASDHPPT,AAMP
7,ACTN4,ABTB1,ABLIM1,ABCC1,AASS,AAR2,ACTR2,ABTB1,ABLIM1,ABCC1,AASS,AAR2,ACTR2,ABTB1,ABLIM1,ABCC1,AASS,AAR2,ACTR2,ABTB1,ABLIM1,ABCC1,AASS,AAR2,ACTR2,ABTB1,ABLIM1,ABCC1,AASS,AAR2
8,ACTR2,AC009506.1,ABLIM3,ABCC3,AATF,AARS,ACTR3,AC009506.1,ABLIM3,ABCC3,AATF,AARS,ACTR3,AC009506.1,ABLIM3,ABCC3,AATF,AARS,ACTR3,AC009506.1,ABLIM3,ABCC3,AATF,AARS,ACTR3,AC009506.1,ABLIM3,ABCC3,AATF,AARS
9,ACTR3,ACP1,ABO,ABCC4,AATK,AARS2,ADIPOR1,ACP1,ABO,ABCC4,AATK,AARS2,ADIPOR1,ACP1,ABO,ABCC4,AATK,AARS2,ADIPOR1,ACP1,ABO,ABCC4,AATK,AARS2,ADIPOR1,ACP1,ABO,ABCC4,AATK,AARS2
