,2514-NUSVR--nu=0.05-C=0.1,2514-NUSVR--nu=0.1-C=0.1,2514-NUSVR--nu=0.15-C=0.1,2514-NUSVR--nu=0.25-C=0.1,2514-NUSVR--nu=0.5-C=0.1,2514-NUSVR--nu=0.75-C=0.1,2514-NUSVR--nu=0.05-C=0.5,2514-NUSVR--nu=0.1-C=0.5,2514-NUSVR--nu=0.15-C=0.5,2514-NUSVR--nu=0.25-C=0.5,2514-NUSVR--nu=0.5-C=0.5,2514-NUSVR--nu=0.75-C=0.5,2514-NUSVR--nu=0.05-C=0.75,2514-NUSVR--nu=0.1-C=0.75,2514-NUSVR--nu=0.15-C=0.75,2514-NUSVR--nu=0.25-C=0.75,2514-NUSVR--nu=0.5-C=0.75,2514-NUSVR--nu=0.75-C=0.75,2514-NUSVR--nu=0.05-C=1,2514-NUSVR--nu=0.1-C=1,2514-NUSVR--nu=0.15-C=1,2514-NUSVR--nu=0.25-C=1,2514-NUSVR--nu=0.5-C=1,2514-NUSVR--nu=0.75-C=1,2514-NUSVR--nu=0.05-C=10,2514-NUSVR--nu=0.1-C=10,2514-NUSVR--nu=0.15-C=10,2514-NUSVR--nu=0.25-C=10,2514-NUSVR--nu=0.5-C=10,2514-NUSVR--nu=0.75-C=10
0,ABCA8,ABCA8,ABCA8,AATF,A1BG,A1BG,ABCA8,ABCA8,ABCA8,AASS,A1BG,A1BG,ABCA8,ABCA8,ABCA8,AASS,A1BG,A1BG,ABCA8,ABCA8,ABCA8,AASS,A1BG,A1BG,ABCA8,ABCA8,ABCA8,AASS,A1BG,A1BG
1,ABHD12,ABCC5,ABCC5,ABCA5,A2M,A1CF,ABHD12,ABCC5,ABCC5,AATF,A2M,A1CF,ABHD12,ABCC5,ABCC5,AATF,A2M,A1CF,ABHD12,ABCC5,ABCC5,AATF,A2M,A1CF,ABHD12,ABCC5,ABCC5,AATF,A2M,A1CF
2,ABHD3,ABHD11,ABCG1,ABCA8,AAK1,A2M,ABHD3,ABHD11,ABCG1,ABCA5,AAK1,A2M,ABHD3,ABHD11,ABCG1,ABCA5,AAK1,A2M,ABHD3,ABHD11,ABCG1,ABCA5,AAK1,A2M,ABHD3,ABHD11,ABCG1,ABCA5,AAK1,A2M
3,ABL2,ABHD12,ABHD11,ABCB1,AAMDC,AADAT,ABL2,ABHD12,ABHD11,ABCA8,AAMDC,AADAT,ABL2,ABHD12,ABHD11,ABCA8,AAMDC,AADAT,ABL2,ABHD12,ABHD11,ABCA8,AAMDC,AADAT,ABL2,ABHD12,ABHD11,ABCA8,AAMDC,AADAT
4,ABLIM3,ABHD17A,ABHD12,ABCB9,AAMP,AAK1,ABLIM3,ABHD17A,ABHD12,ABCB1,AAMP,AAK1,ABLIM3,ABHD17A,ABHD12,ABCB1,AAMP,AAK1,ABLIM3,ABHD17A,ABHD12,ABCB1,AAMP,AAK1,ABLIM3,ABHD17A,ABHD12,ABCB1,AAMP,AAK1
5,ACPP,ABHD3,ABHD17A,ABCC5,AARS,AAMDC,ACPP,ABHD3,ABHD17A,ABCB9,AARS,AAMDC,ACPP,ABHD3,ABHD17A,ABCB9,AARS,AAMDC,ACPP,ABHD3,ABHD17A,ABCB9,AARS,AAMDC,ACPP,ABHD3,ABHD17A,ABCB9,AARS,AAMDC
6,ACRBP,ABL2,ABHD3,ABCG1,AARS2,AAMP,ACRBP,ABL2,ABHD3,ABCC5,AARS2,AAMP,ACRBP,ABL2,ABHD3,ABCC5,AARS2,AAMP,ACRBP,ABL2,ABHD3,ABCC5,AARS2,AAMP,ACRBP,ABL2,ABHD3,ABCC5,AARS2,AAMP
7,ACTN1,ABLIM1,ABL2,ABHD11,AARSD1,AAR2,ACTN1,ABLIM1,ABL2,ABCG1,AARSD1,AAR2,ACTN1,ABLIM1,ABL2,ABCG1,AARSD1,AAR2,ACTN1,ABLIM1,ABL2,ABCG1,AARSD1,AAR2,ACTN1,ABLIM1,ABL2,ABCG1,AARSD1,AAR2
8,ACTN4,ABLIM3,ABLIM1,ABHD12,AASDH,AARS,ACTN4,ABLIM3,ABLIM1,ABHD11,AASDH,AARS,ACTN4,ABLIM3,ABLIM1,ABHD11,AASDH,AARS,ACTN4,ABLIM3,ABLIM1,ABHD11,AASDH,AARS,ACTN4,ABLIM3,ABLIM1,ABHD11,AASDH,AARS
9,ACTR2,ACLY,ABLIM3,ABHD17A,AASS,AARS2,ACTR2,ACLY,ABLIM3,ABHD12,AASS,AARS2,ACTR2,ACLY,ABLIM3,ABHD12,AASS,AARS2,ACTR2,ACLY,ABLIM3,ABHD12,AASS,AARS2,ACTR2,ACLY,ABLIM3,ABHD12,AASS,AARS2
10,ACTR3,ACPP,AC009506.1,ABHD3,AATF,AARSD1,ACTR3,ACPP,AC009506.1,ABHD17A,AATF,AARSD1,ACTR3,ACPP,AC009506.1,ABHD17A,AATF,AARSD1,ACTR3,ACPP,AC009506.1,ABHD17A,AATF,AARSD1,ACTR3,ACPP,AC009506.1,ABHD17A,AATF,AARSD1
11,ADD3,ACRBP,AC104699.1,ABHD5,AATK,AASDH,ADD3,ACRBP,AC104699.1,ABHD3,AATK,AASDH,ADD3,ACRBP,AC104699.1,ABHD3,AATK,AASDH,ADD3,ACRBP,AC104699.1,ABHD3,AATK,AASDH,ADD3,ACRBP,AC104699.1,ABHD3,AATK,AASDH
12,ADGRG6,ACTC1,ACAP2,ABI3BP,ABCA5,AASDHPPT,ADGRG6,ACTC1,ACAP2,ABHD5,ABCA5,AASDHPPT,ADGRG6,ACTC1,ACAP2,ABHD5,ABCA5,AASDHPPT,ADGRG6,ACTC1,ACAP2,ABHD5,ABCA5,AASDHPPT,ADGRG6,ACTC1,ACAP2,ABHD5,ABCA5,AASDHPPT
13,ADGRL4,ACTN1,ACLY,ABL2,ABCA8,AASS,ADGRL4,ACTN1,ACBD6,ABI3BP,ABCA8,AASS,ADGRL4,ACTN1,ACBD6,ABI3BP,ABCA8,AASS,ADGRL4,ACTN1,ACBD6,ABI3BP,ABCA8,AASS,ADGRL4,ACTN1,ACLY,ABI3BP,ABCA8,AASS
14,ADIPOR1,ACTN4,ACOT11,ABLIM1,ABCB1,AATF,ADIPOR1,ACTN4,ACLY,ABL2,ABCB1,AATF,ADIPOR1,ACTN4,ACLY,ABL2,ABCB1,AATF,ADIPOR1,ACTN4,ACLY,ABL2,ABCB1,AATF,ADIPOR1,ACTN4,ACOT11,ABL2,ABCB1,AATF
15,AGPAT5,ACTR2,ACPP,ABLIM3,ABCB9,AATK,AGPAT5,ACTR2,ACOT11,ABLIM1,ABCB9,AATK,AGPAT5,ACTR2,ACOT11,ABLIM1,ABCB9,AATK,AGPAT5,ACTR2,ACOT11,ABLIM1,ABCB9,AATK,AGPAT5,ACTR2,ACPP,ABLIM1,ABCB9,AATK
16,AGTRAP,ACTR3,ACRBP,ABO,ABCC1,ABCA1,AGTRAP,ACTR3,ACPP,ABLIM3,ABCC1,ABCA1,AGTRAP,ACTR3,ACPP,ABLIM3,ABCC1,ABCA1,AGTRAP,ACTR3,ACPP,ABLIM3,ABCC1,ABCA1,AGTRAP,ACTR3,ACRBP,ABLIM3,ABCC1,ABCA1
17,AKAP13,ACYP1,ACSL4,ABTB1,ABCC4,ABCA10,AKAP13,ACYP1,ACRBP,ABO,ABCC4,ABCA10,AKAP13,ACYP1,ACRBP,ABO,ABCC4,ABCA10,AKAP13,ACYP1,ACRBP,ABO,ABCC4,ABCA10,AKAP13,ACYP1,ACSL4,ABO,ABCC4,ABCA10
18,AKNA,ACYP2,ACTC1,AC009506.1,ABCC5,ABCA2,AKNA,ACYP2,ACSL4,ABTB1,ABCC5,ABCA2,AKNA,ACYP2,ACSL4,ABTB1,ABCC5,ABCA2,AKNA,ACYP2,ACSL4,ABTB1,ABCC5,ABCA2,AKNA,ACYP2,ACTC1,ABTB1,ABCC5,ABCA2
19,ALAS2,ADAMTS9,ACTN1,AC104699.1,ABCD4,ABCA3,ALAS2,ADAMTS9,ACTC1,AC009506.1,ABCD4,ABCA3,ALAS2,ADAMTS9,ACTC1,AC009506.1,ABCD4,ABCA3,ALAS2,ADAMTS9,ACTC1,AC009506.1,ABCD4,ABCA3,ALAS2,ADAMTS9,ACTN1,AC009506.1,ABCD4,ABCA3
20,ALOX5AP,ADD3,ACTN4,ACAD11,ABCF2,ABCA5,ALOX5AP,ADD3,ACTN1,AC104699.1,ABCF2,ABCA5,ALOX5AP,ADD3,ACTN1,AC104699.1,ABCF2,ABCA5,ALOX5AP,ADD3,ACTN1,AC104699.1,ABCF2,ABCA5,ALOX5AP,ADD3,ACTN4,AC104699.1,ABCF2,ABCA5
21,ANK1,ADGRG6,ACTR2,ACAP2,ABCF3,ABCA8,ANK1,ADGRG6,ACTN4,ACAD11,ABCF3,ABCA8,ANK1,ADGRG6,ACTN4,ACAD11,ABCF3,ABCA8,ANK1,ADGRG6,ACTN4,ACAD11,ABCF3,ABCA8,ANK1,ADGRG6,ACTR2,ACAD11,ABCF3,ABCA8
22,ANKRD36C,ADGRL4,ACTR3,ACBD6,ABCG1,ABCB1,ANKRD36C,ADGRL4,ACTR2,ACAP2,ABCG1,ABCB1,ANK3,ADGRL4,ACTR2,ACAP2,ABCG1,ABCB1,ANKRD36C,ADGRL4,ACTR2,ACAP2,ABCG1,ABCB1,ANKRD36C,ADGRL4,ACTR3,ACAP2,ABCG1,ABCB1
23,ANO6,ADIPOR1,ACYP1,ACER3,ABHD11,ABCB9,ANO6,ADIPOR1,ACTR3,ACBD6,ABHD11,ABCB9,ANKRD36C,ADIPOR1,ACTR3,ACBD6,ABHD11,ABCB9,ANO6,ADIPOR1,ACTR3,ACBD6,ABHD11,ABCB9,ANO6,ADIPOR1,ACYP1,ACBD6,ABHD11,ABCB9
24,ANP32A,ADPGK,ACYP2,ACKR3,ABHD12,ABCC1,ANP32A,ADPGK,ACYP1,ACER3,ABHD12,ABCC1,ANO6,ADPGK,ACYP1,ACER3,ABHD12,ABCC1,ANP32A,ADPGK,ACYP1,ACER3,ABHD12,ABCC1,ANP32A,ADPGK,ACYP2,ACER3,ABHD12,ABCC1
25,ANP32B,AFF1,ADAM28,ACLY,ABHD14A,ABCC11,ANP32B,AFF1,ACYP2,ACKR3,ABHD14A,ABCC11,ANP32A,AFF1,ACYP2,ACKR3,ABHD14A,ABCC11,ANP32B,AFF1,ACYP2,ACKR3,ABHD14A,ABCC11,ANP32B,AFF1,ADAM28,ACKR3,ABHD14A,ABCC11
26,ANXA1,AFG3L1P,ADAMTS1,ACOT11,ABHD17A,ABCC13,ANXA1,AFG3L1P,ADAM28,ACLY,ABHD17A,ABCC13,ANP32B,AFG3L1P,ADAM28,ACLY,ABHD17A,ABCC13,ANXA1,AFG3L1P,ADAM28,ACLY,ABHD17A,ABCC13,ANXA1,AFG3L1P,ADAMTS1,ACLY,ABHD17A,ABCC13
27,ANXA6,AGO1,ADAMTS9,ACOX1,ABHD3,ABCC4,ANXA6,AGO1,ADAMTS1,ACOT11,ABHD3,ABCC4,ANXA1,AGO1,ADAMTS1,ACOT11,ABHD3,ABCC4,ANXA6,AGO1,ADAMTS1,ACOT11,ABHD3,ABCC4,ANXA6,AGO1,ADAMTS9,ACOT11,ABHD3,ABCC4
28,AOC1,AGPAT5,ADD3,ACPP,ABHD4,ABCC5,AOC1,AGPAT5,ADAMTS9,ACOX1,ABHD4,ABCC5,ANXA6,AGPAT5,ADAMTS9,ACOX1,ABHD4,ABCC5,AOC1,AGPAT5,ADAMTS9,ACOX1,ABHD4,ABCC5,AOC1,AGPAT5,ADD3,ACOX1,ABHD4,ABCC5
29,AP2M1,AGT,ADGRG3,ACRBP,ABHD5,ABCC6,AP2M1,AGT,ADD3,ACPP,ABHD5,ABCC6,AOC1,AGT,ADD3,ACPP,ABHD5,ABCC6,AP2M1,AGT,ADD3,ACPP,ABHD5,ABCC6,AP2M1,AGT,ADGRG3,ACPP,ABHD5,ABCC6
30,APOLD1,AGTPBP1,ADGRG6,ACSL3,ABHD6,ABCC8,APOLD1,AGTPBP1,ADGRG3,ACRBP,ABHD6,ABCC8,AP2M1,AGTPBP1,ADGRG3,ACRBP,ABHD6,ABCC8,APOLD1,AGTPBP1,ADGRG3,ACRBP,ABHD6,ABCC8,APOLD1,AGTPBP1,ADGRG6,ACRBP,ABHD6,ABCC8
31,APP,AGTRAP,ADGRL4,ACSL4,ABI2,ABCC9,APP,AGTRAP,ADGRG6,ACSL3,ABI2,ABCC9,APOLD1,AGTRAP,ADGRG6,ACSL3,ABI2,ABCC9,APP,AGTRAP,ADGRG6,ACSL3,ABI2,ABCC9,APP,AGTRAP,ADGRL4,ACSL3,ABI2,ABCC9
32,AQP10,AIDA,ADIPOR1,ACTC1,ABI3,ABCD4,AQP10,AIDA,ADGRL4,ACSL4,ABI3,ABCD4,APP,AIDA,ADGRL4,ACSL4,ABI3,ABCD4,AQP10,AIDA,ADGRL4,ACSL4,ABI3,ABCD4,AQP10,AIDA,ADIPOR1,ACSL4,ABI3,ABCD4
33,AQP9,AKAP13,ADNP,ACTN1,ABI3BP,ABCE1,AQP9,AKAP13,ADIPOR1,ACTC1,ABI3BP,ABCE1,AQP10,AKAP13,ADIPOR1,ACTC1,ABI3BP,ABCE1,AQP9,AKAP13,ADIPOR1,ACTC1,ABI3BP,ABCE1,AQP9,AKAP13,ADNP,ACTC1,ABI3BP,ABCE1
34,ARAP1,AKIRIN2,ADPGK,ACTN4,ABL1,ABCF2,ARAP1,AKIRIN2,ADNP,ACTN1,ABL1,ABCF2,AQP9,AKIRIN2,ADNP,ACTN1,ABL1,ABCF2,ARAP1,AKIRIN2,ADNP,ACTN1,ABL1,ABCF2,ARAP1,AKIRIN2,ADPGK,ACTN1,ABL1,ABCF2
35,ARF1,AKNA,AFF1,ACTR2,ABL2,ABCF3,ARF1,AKNA,ADPGK,ACTN4,ABL2,ABCF3,ARAP1,AKNA,ADPGK,ACTN4,ABL2,ABCF3,ARF1,AKNA,ADPGK,ACTN4,ABL2,ABCF3,ARF1,AKNA,AFF1,ACTN4,ABL2,ABCF3
36,ARG2,AKR7A2,AFG3L1P,ACTR3,ABLIM1,ABCG1,ARG2,AKR7A2,AFF1,ACTR2,ABLIM1,ABCG1,ARF1,AKR7A2,AFF1,ACTR2,ABLIM1,ABCG1,ARG2,AKR7A2,AFF1,ACTR2,ABLIM1,ABCG1,ARG2,AKR7A2,AFG3L1P,ACTR2,ABLIM1,ABCG1
37,ARHGAP30,AKT3,AGO1,ACTR3C,ABLIM3,ABHD1,ARHGAP30,AKT3,AFG3L1P,ACTR3,ABLIM3,ABHD1,ARG2,AKT3,AFG3L1P,ACTR3,ABLIM3,ABHD1,ARHGAP30,AKT3,AFG3L1P,ACTR3,ABLIM3,ABHD1,ARHGAP30,AKT3,AGO1,ACTR3,ABLIM3,ABHD1
38,ARHGAP45,ALAS2,AGO3,ACVR2B,ABO,ABHD10,ARHGAP45,ALAS2,AGO1,ACTR3C,ABO,ABHD10,ARHGAP30,ALAS2,AGO1,ACTR3C,ABO,ABHD10,ARHGAP45,ALAS2,AGO1,ACTR3C,ABO,ABHD10,ARHGAP45,ALAS2,AGO3,ACTR3C,ABO,ABHD10
39,ARHGDIB,ALKBH5,AGO4,ACYP1,ABTB1,ABHD11,ARHGDIB,ALKBH5,AGO3,ACVR2B,ABTB1,ABHD11,ARHGAP45,ALKBH5,AGO3,ACVR2B,ABTB1,ABHD11,ARHGDIB,ALKBH5,AGO3,ACVR2B,ABTB1,ABHD11,ARHGDIB,ALKBH5,AGO4,ACVR2B,ABTB1,ABHD11
40,ARHGEF12,ALOX5AP,AGPAT1,ACYP2,ABTB2,ABHD12,ARHGEF12,ALOX5AP,AGO4,ACYP1,ABTB2,ABHD12,ARHGDIB,ALOX5AP,AGO4,ACYP1,ABTB2,ABHD12,ARHGEF12,ALOX5AP,AGO4,ACYP1,ABTB2,ABHD12,ARHGEF12,ALOX5AP,AGPAT1,ACYP1,ABTB2,ABHD12
41,ARID1A,ALPL,AGPAT5,ADAM23,AC009506.1,ABHD13,ARID1A,ALPL,AGPAT1,ACYP2,AC009506.1,ABHD13,ARHGEF12,ALPL,AGPAT1,ACYP2,AC009506.1,ABHD13,ARID1A,ALPL,AGPAT1,ACYP2,AC009506.1,ABHD13,ARID1A,ALPL,AGPAT5,ACYP2,AC009506.1,ABHD13
42,ARPC5,AMZ2P1,AGT,ADAM28,AC098617.1,ABHD14A,ARPC5,AMZ2P1,AGPAT5,ADAM23,AC098617.1,ABHD14A,ARID1A,AMZ2P1,AGPAT5,ADAM23,AC098617.1,ABHD14A,ARPC5,AMZ2P1,AGPAT5,ADAM23,AC098617.1,ABHD14A,ARPC5,AMZ2P1,AGT,ADAM23,AC098617.1,ABHD14A
43,ARRB2,ANK1,AGTPBP1,ADAMTS1,AC104699.1,ABHD14B,ARRB2,ANK1,AGT,ADAM28,AC104699.1,ABHD14B,ARPC5,ANK1,AGT,ADAM28,AC104699.1,ABHD14B,ARRB2,ANK1,AGT,ADAM28,AC104699.1,ABHD14B,ARRB2,ANK1,AGTPBP1,ADAM28,AC104699.1,ABHD14B
44,ATM,ANK3,AGTRAP,ADAMTS18,AC144530.1,ABHD15,ATM,ANK3,AGTPBP1,ADAMTS1,AC144530.1,ABHD15,ARRB2,ANK3,AGTPBP1,ADAMTS1,AC144530.1,ABHD15,ATM,ANK3,AGTPBP1,ADAMTS1,AC144530.1,ABHD15,ATM,ANK3,AGTRAP,ADAMTS1,AC144530.1,ABHD15
45,ATP6V0B,ANKRD13A,AHI1,ADAMTS9,ACACB,ABHD17A,ATP6V0B,ANKRD13A,AGTRAP,ADAMTS18,ACACB,ABHD17A,ATM,ANKRD13A,AGTRAP,ADAMTS18,ACACB,ABHD17A,ATP6V0B,ANKRD13A,AGTRAP,ADAMTS18,ACACB,ABHD17A,ATP6V0B,ANKRD13A,AHI1,ADAMTS18,ACACB,ABHD17A
46,ATP6V1B2,ANKRD28,AIDA,ADD3,ACAD11,ABHD17B,ATP6V1B2,ANKRD28,AHI1,ADAMTS9,ACAD11,ABHD17B,ATP6V0B,ANKRD28,AHI1,ADAMTS9,ACAD11,ABHD17B,ATP6V1B2,ANKRD28,AHI1,ADAMTS9,ACAD11,ABHD17B,ATP6V1B2,ANKRD28,AIDA,ADAMTS9,ACAD11,ABHD17B
47,AVIL,ANKRD33B,AKAP13,ADGRE2,ACADM,ABHD3,AVIL,ANKRD33B,AIDA,ADD3,ACADM,ABHD3,ATP6V1B2,ANKRD33B,AIDA,ADD3,ACADM,ABHD3,AVIL,ANKRD33B,AIDA,ADD3,ACADM,ABHD3,AVIL,ANKRD33B,AKAP13,ADD3,ACADM,ABHD3
48,AZGP1,ANKRD36B,AKIRIN1,ADGRE5,ACAP1,ABHD4,AZGP1,ANKRD36B,AKAP13,ADGRE2,ACAP1,ABHD4,AVIL,ANKRD36B,AKAP13,ADGRE2,ACAP1,ABHD4,AZGP1,ANKRD36B,AKAP13,ADGRE2,ACAP1,ABHD4,AZGP1,ANKRD36B,AKIRIN1,ADGRE2,ACAP1,ABHD4
49,BASP1,ANKRD36C,AKIRIN2,ADGRG3,ACAP2,ABHD5,BASP1,ANKRD36C,AKIRIN1,ADGRE5,ACAP2,ABHD5,AZGP1,ANKRD36C,AKIRIN1,ADGRE5,ACAP2,ABHD5,BASP1,ANKRD36C,AKIRIN1,ADGRE5,ACAP2,ABHD5,BASP1,ANKRD36C,AKIRIN2,ADGRE5,ACAP2,ABHD5
50,BCL2A1,ANKRD9,AKNA,ADGRG6,ACBD5,ABHD6,BCL2A1,ANKRD9,AKIRIN2,ADGRG3,ACBD5,ABHD6,BASP1,ANKRD9,AKIRIN2,ADGRG3,ACBD5,ABHD6,BCL2A1,ANKRD9,AKIRIN2,ADGRG3,ACBD5,ABHD6,BCL2A1,ANKRD9,AKNA,ADGRG3,ACBD5,ABHD6
51,BCYRN1,ANO6,AKR7A2,ADGRL4,ACBD6,ABI2,BCYRN1,ANO6,AKNA,ADGRG6,ACBD6,ABI2,BCL2A1,ANO6,AKNA,ADGRG6,ACBD6,ABI2,BCYRN1,ANO6,AKNA,ADGRG6,ACBD6,ABI2,BCYRN1,ANO6,AKR7A2,ADGRG6,ACBD6,ABI2
