,5658-NUSVR--nu=0.05-C=0.1,5658-NUSVR--nu=0.1-C=0.1,5658-NUSVR--nu=0.15-C=0.1,5658-NUSVR--nu=0.25-C=0.1,5658-NUSVR--nu=0.5-C=0.1,5658-NUSVR--nu=0.75-C=0.1,5658-NUSVR--nu=0.05-C=0.5,5658-NUSVR--nu=0.1-C=0.5,5658-NUSVR--nu=0.15-C=0.5,5658-NUSVR--nu=0.25-C=0.5,5658-NUSVR--nu=0.5-C=0.5,5658-NUSVR--nu=0.75-C=0.5,5658-NUSVR--nu=0.05-C=0.75,5658-NUSVR--nu=0.1-C=0.75,5658-NUSVR--nu=0.15-C=0.75,5658-NUSVR--nu=0.25-C=0.75,5658-NUSVR--nu=0.5-C=0.75,5658-NUSVR--nu=0.75-C=0.75,5658-NUSVR--nu=0.05-C=1,5658-NUSVR--nu=0.1-C=1,5658-NUSVR--nu=0.15-C=1,5658-NUSVR--nu=0.25-C=1,5658-NUSVR--nu=0.5-C=1,5658-NUSVR--nu=0.75-C=1,5658-NUSVR--nu=0.05-C=10,5658-NUSVR--nu=0.1-C=10,5658-NUSVR--nu=0.15-C=10,5658-NUSVR--nu=0.25-C=10,5658-NUSVR--nu=0.5-C=10,5658-NUSVR--nu=0.75-C=10
0,ABCC3,ABCC3,AATK,AASS,A1BG,A1BG,ABCC3,ABCC3,AATK,AASS,A1BG,A1BG,ABCC3,ABCC3,AATK,AASS,A1BG,A1BG,ABCC3,ABCC3,AATK,AASS,A1BG,A1BG,ABCC3,ABCC3,AATK,AASS,A1BG,A1BG
1,ABHD11,ABCC4,ABCB10,AATK,A2M,A2M,ABHD11,ABCC4,ABCB10,AATK,A2M,A2M,ABHD11,ABCC4,ABCB10,AATK,A2M,A2M,ABHD11,ABCC4,ABCB10,AATK,A2M,A2M,ABHD11,ABCC4,ABCB10,AATK,A2M,A2M
2,ABLIM3,ABCC5,ABCC3,ABCA5,A4GALT,A4GALT,ABLIM3,ABCC5,ABCC3,ABCA5,A4GALT,A4GALT,ABLIM3,ABCC5,ABCC3,ABCA5,A4GALT,A4GALT,ABLIM3,ABCC5,ABCC3,ABCA5,A4GALT,A4GALT,ABLIM3,ABCC5,ABCC3,ABCA5,A4GALT,A4GALT
3,ACPP,ABHD11,ABCC4,ABCB10,AAK1,AADAT,ACPP,ABHD11,ABCC4,ABCB10,AAK1,AADAT,ACPP,ABHD11,ABCC4,ABCB10,AAK1,AADAT,ACPP,ABHD11,ABCC4,ABCB10,AAK1,AADAT,ACPP,ABHD11,ABCC4,ABCB10,AAK1,AADAT
4,ACRBP,ABHD12,ABCC5,ABCB9,AAMP,AAK1,ACRBP,ABHD12,ABCC5,ABCB9,AAMP,AAK1,ACRBP,ABHD12,ABCC5,ABCB9,AAMP,AAK1,ACRBP,ABHD12,ABCC5,ABCB9,AAMP,AAK1,ACRBP,ABHD12,ABCC5,ABCB9,AAMP,AAK1
5,ACTC1,ABHD17A,ABCG1,ABCC1,AARS,AAMDC,ACTC1,ABHD17A,ABCG1,ABCC1,AARS,AAMDC,ACTC1,ABHD17A,ABCG1,ABCC1,AARS,AAMDC,ACTC1,ABHD17A,ABCG1,ABCC1,AARS,AAMDC,ACTC1,ABHD17A,ABCG1,ABCC1,AARS,AAMDC
6,ACTN1,ABL2,ABHD11,ABCC3,AASDH,AAMP,ACTN1,ABL2,ABHD11,ABCC3,AASDH,AAMP,ACTN1,ABL2,ABHD11,ABCC3,AASDH,AAMP,ACTN1,ABL2,ABHD11,ABCC3,AASDH,AAMP,ACTN1,ABL2,ABHD11,ABCC3,AASDH,AAMP
7,ACTN4,ABLIM3,ABHD12,ABCC4,AASS,AAR2,ACTN4,ABLIM3,ABHD12,ABCC4,AASS,AAR2,ACTN4,ABLIM3,ABHD12,ABCC4,AASS,AAR2,ACTN4,ABLIM3,ABHD12,ABCC4,AASS,AAR2,ACTN4,ABLIM3,ABHD12,ABCC4,AASS,AAR2
8,ACTR2,AC009506.1,ABHD17A,ABCC5,AATF,AARS,ACTR2,AC009506.1,ABHD17A,ABCC5,AATF,AARS,ACTR2,AC009506.1,ABHD17A,ABCC5,AATF,AARS,ACTR2,AC009506.1,ABHD17A,ABCC5,AATF,AARS,ACTR2,AC009506.1,ABHD17A,ABCC5,AATF,AARS
9,ACTR3,AC022182.2,ABHD3,ABCG1,AATK,AARS2,ACTR3,AC022182.2,ABHD3,ABCG1,AATK,AARS2,ACTR3,AC022182.2,ABHD3,ABCG1,AATK,AARS2,ACTR3,AC022182.2,ABHD3,ABCG1,AATK,AARS2,ACTR3,AC022182.2,ABHD3,ABCG1,AATK,AARS2
10,ADIPOR2,ACLY,ABHD5,ABHD11,ABCA5,AARSD1,ADIPOR2,ACLY,ABHD5,ABHD11,ABCA5,AARSD1,ADIPOR2,ACLY,ABHD5,ABHD11,ABCA5,AARSD1,ADIPOR2,ACLY,ABHD5,ABHD11,ABCA5,AARSD1,ADIPOR2,ACLY,ABHD5,ABHD11,ABCA5,AARSD1
11,AGPAT5,ACP1,ABI3,ABHD12,ABCA7,AASDH,AGPAT5,ACP1,ABI3,ABHD12,ABCA7,AASDH,AGPAT5,ACP1,ABI3,ABHD12,ABCA7,AASDH,AGPAT5,ACP1,ABI3,ABHD12,ABCA7,AASDH,AGPAT5,ACP1,ABI3,ABHD12,ABCA7,AASDH
