,2557-NUSVR--nu=0.05-C=0.1,2557-NUSVR--nu=0.1-C=0.1,2557-NUSVR--nu=0.15-C=0.1,2557-NUSVR--nu=0.25-C=0.1,2557-NUSVR--nu=0.5-C=0.1,2557-NUSVR--nu=0.75-C=0.1,2557-NUSVR--nu=0.05-C=0.5,2557-NUSVR--nu=0.1-C=0.5,2557-NUSVR--nu=0.15-C=0.5,2557-NUSVR--nu=0.25-C=0.5,2557-NUSVR--nu=0.5-C=0.5,2557-NUSVR--nu=0.75-C=0.5,2557-NUSVR--nu=0.05-C=0.75,2557-NUSVR--nu=0.1-C=0.75,2557-NUSVR--nu=0.15-C=0.75,2557-NUSVR--nu=0.25-C=0.75,2557-NUSVR--nu=0.5-C=0.75,2557-NUSVR--nu=0.75-C=0.75,2557-NUSVR--nu=0.05-C=1,2557-NUSVR--nu=0.1-C=1,2557-NUSVR--nu=0.15-C=1,2557-NUSVR--nu=0.25-C=1,2557-NUSVR--nu=0.5-C=1,2557-NUSVR--nu=0.75-C=1,2557-NUSVR--nu=0.05-C=10,2557-NUSVR--nu=0.1-C=10,2557-NUSVR--nu=0.15-C=10,2557-NUSVR--nu=0.25-C=10,2557-NUSVR--nu=0.5-C=10,2557-NUSVR--nu=0.75-C=10
0,ABCA8,ABCA8,ABCA5,AAK1,A1BG,A1BG,ABCA8,ABCA8,ABCA5,AAK1,A1BG,A1BG,ABCA8,ABCA8,ABCA5,AAK1,A1BG,A1BG,ABCA8,ABCA8,ABCA5,AAK1,A1BG,A1BG,ABCA8,ABCA8,ABCA5,AAK1,A1BG,A1BG
1,ABLIM3,ABCC3,ABCA8,AASDH,A2M,A2M,ABLIM3,ABCC3,ABCA8,AASDH,A2M,A2M,ABLIM3,ABCC3,ABCA8,AASDH,A2M,A2M,ABLIM3,ABCC3,ABCA8,AASDH,A2M,A2M,ABLIM3,ABCC3,ABCA8,AASDH,A2M,A2M
2,ACPP,ABHD11,ABCB1,AASS,AADAT,A4GALT,ACPP,ABHD11,ABCB1,AASS,AADAT,A4GALT,ACPP,ABHD11,ABCB1,AASS,AADAT,A4GALT,ACPP,ABHD11,ABCB1,AASS,AADAT,A4GALT,ACPP,ABHD11,ABCB1,AASS,AADAT,A4GALT
3,ACRBP,ABHD12,ABCC3,ABCA5,AAK1,AADAT,ACRBP,ABHD12,ABCC3,ABCA5,AAK1,AADAT,ACRBP,ABHD12,ABCC3,ABCA5,AAK1,AADAT,ACRBP,ABHD12,ABCC3,ABCA5,AAK1,AADAT,ACRBP,ABHD12,ABCC3,ABCA5,AAK1,AADAT
4,ACTN1,ABHD3,ABCC4,ABCA8,AAMDC,AAK1,ACTN1,ABHD3,ABCC4,ABCA8,AAMDC,AAK1,ACTN1,ABHD3,ABCC4,ABCA8,AAMDC,AAK1,ACTN1,ABHD3,ABCC4,ABCA8,AAMDC,AAK1,ACTN1,ABHD3,ABCC4,ABCA8,AAMDC,AAK1
5,ACTN4,ABLIM3,ABHD11,ABCB1,AAMP,AAMDC,ACTN4,ABLIM3,ABHD11,ABCB1,AAMP,AAMDC,ACTN4,ABLIM3,ABHD11,ABCB1,AAMP,AAMDC,ACTN4,ABLIM3,ABHD11,ABCB1,AAMP,AAMDC,ACTN4,ABLIM3,ABHD11,ABCB1,AAMP,AAMDC
6,ACTR2,AC009506.1,ABHD12,ABCC1,AAR2,AAMP,ACTR2,AC009506.1,ABHD12,ABCC1,AAR2,AAMP,ACTR2,AC009506.1,ABHD12,ABCC1,AAR2,AAMP,ACTR2,AC009506.1,ABHD12,ABCC1,AAR2,AAMP,ACTR2,AC009506.1,ABHD12,ABCC1,AAR2,AAMP
7,ACTR3,ACPP,ABHD3,ABCC3,AARS,AAR2,ACTR3,ACPP,ABHD3,ABCC3,AARS,AAR2,ACTR3,ACPP,ABHD3,ABCC3,AARS,AAR2,ACTR3,ACPP,ABHD3,ABCC3,AARS,AAR2,ACTR3,ACPP,ABHD3,ABCC3,AARS,AAR2
8,ADGRG6,ACRBP,ABHD5,ABCC4,AARSD1,AARS,ADGRG6,ACRBP,ABHD5,ABCC4,AARSD1,AARS,ADGRG6,ACRBP,ABHD5,ABCC4,AARSD1,AARS,ADGRG6,ACRBP,ABHD5,ABCC4,AARSD1,AARS,ADGRG6,ACRBP,ABHD5,ABCC4,AARSD1,AARS
9,ADGRL4,ACTN1,ABL2,ABCC5,AASDH,AARSD1,ADGRL4,ACTN1,ABL2,ABCC5,AASDH,AARSD1,ADGRL4,ACTN1,ABL2,ABCC5,AASDH,AARSD1,ADGRL4,ACTN1,ABL2,ABCC5,AASDH,AARSD1,ADGRL4,ACTN1,ABL2,ABCC5,AASDH,AARSD1
10,ADIPOR1,ACTN4,ABLIM3,ABCD4,AASS,AASDH,ADIPOR1,ACTN4,ABLIM3,ABCD4,AASS,AASDH,ADIPOR1,ACTN4,ABLIM3,ABCD4,AASS,AASDH,ADIPOR1,ACTN4,ABLIM3,ABCD4,AASS,AASDH,ADIPOR1,ACTN4,ABLIM3,ABCD4,AASS,AASDH
11,AGPAT5,ACTR2,ABO,ABHD11,AATF,AASS,AGPAT5,ACTR2,ABO,ABHD11,AATF,AASS,AGPAT5,ACTR2,ABO,ABHD11,AATF,AASS,AGPAT5,ACTR2,ABO,ABHD11,AATF,AASS,AGPAT5,ACTR2,ABO,ABHD11,AATF,AASS
12,AGTRAP,ACTR3,AC009506.1,ABHD12,ABCA10,AATF,AGTRAP,ACTR3,AC009506.1,ABHD12,ABCA10,AATF,AGTRAP,ACTR3,AC009506.1,ABHD12,ABCA10,AATF,AGTRAP,ACTR3,AC009506.1,ABHD12,ABCA10,AATF,AGTRAP,ACTR3,AC009506.1,ABHD12,ABCA10,AATF
13,AKAP13,ACYP1,ACLY,ABHD3,ABCA4,ABCA10,AKAP13,ACYP1,ACLY,ABHD3,ABCA4,ABCA10,AKAP13,ACYP1,ACLY,ABHD3,ABCA4,ABCA10,AKAP13,ACYP1,ACLY,ABHD3,ABCA4,ABCA10,AKAP13,ACYP1,ACLY,ABHD3,ABCA4,ABCA10
14,AKNA,ADAM28,ACOT11,ABHD5,ABCA5,ABCA2,AKNA,ADAM28,ACOT11,ABHD5,ABCA5,ABCA2,AKNA,ADAM28,ACOT11,ABHD5,ABCA5,ABCA2,AKNA,ADAM28,ACOT11,ABHD5,ABCA5,ABCA2,AKNA,ADAM28,ACOT11,ABHD5,ABCA5,ABCA2
15,ALOX5AP,ADAMTS9,ACPP,ABHD6,ABCA8,ABCA3,ANK3,ADAMTS9,ACPP,ABHD6,ABCA8,ABCA3,ANK3,ADAMTS9,ACPP,ABHD6,ABCA8,ABCA3,ANK3,ADAMTS9,ACPP,ABHD6,ABCA8,ABCA3,ANK3,ADAMTS9,ACPP,ABHD6,ABCA8,ABCA3
