,1854-NUSVR--nu=0.05-C=0.1,1854-NUSVR--nu=0.1-C=0.1,1854-NUSVR--nu=0.15-C=0.1,1854-NUSVR--nu=0.25-C=0.1,1854-NUSVR--nu=0.5-C=0.1,1854-NUSVR--nu=0.75-C=0.1,1854-NUSVR--nu=0.05-C=0.5,1854-NUSVR--nu=0.1-C=0.5,1854-NUSVR--nu=0.15-C=0.5,1854-NUSVR--nu=0.25-C=0.5,1854-NUSVR--nu=0.5-C=0.5,1854-NUSVR--nu=0.75-C=0.5,1854-NUSVR--nu=0.05-C=0.75,1854-NUSVR--nu=0.1-C=0.75,1854-NUSVR--nu=0.15-C=0.75,1854-NUSVR--nu=0.25-C=0.75,1854-NUSVR--nu=0.5-C=0.75,1854-NUSVR--nu=0.75-C=0.75,1854-NUSVR--nu=0.05-C=1,1854-NUSVR--nu=0.1-C=1,1854-NUSVR--nu=0.15-C=1,1854-NUSVR--nu=0.25-C=1,1854-NUSVR--nu=0.5-C=1,1854-NUSVR--nu=0.75-C=1,1854-NUSVR--nu=0.05-C=10,1854-NUSVR--nu=0.1-C=10,1854-NUSVR--nu=0.15-C=10,1854-NUSVR--nu=0.25-C=10,1854-NUSVR--nu=0.5-C=10,1854-NUSVR--nu=0.75-C=10
0,ABCA8,ABCA8,A2M,A2M,A2M,A1BG,ABCA8,ABCA8,A2M,A2M,A2M,A1BG,ABCA8,ABCA8,A2M,A2M,A2M,A1BG,ABCA8,ABCA8,A2M,A2M,A2M,A1BG,ABCA8,ABCA8,A2M,A2M,A2M,A1BG
1,ABCC3,ABCC3,ABCA8,AAK1,A4GALT,A2M,ABCC3,ABCC3,ABCA8,AAK1,A4GALT,A2M,ABCC3,ABCC3,ABCA8,AAK1,A4GALT,A2M,ABCC3,ABCC3,ABCA8,AAK1,A4GALT,A2M,ABCC3,ABCC3,ABCA8,AAK1,A4GALT,A2M
2,ABLIM1,ABHD3,ABCC3,AATF,AAK1,A4GALT,ABLIM1,ABHD3,ABCC3,AATF,AAK1,A4GALT,ABLIM1,ABHD3,ABCC3,AATF,AAK1,A4GALT,ABLIM1,ABHD3,ABCC3,AATF,AAK1,A4GALT,ABLIM1,ABHD3,ABCC3,AATF,AAK1,A4GALT
3,ABLIM3,ABLIM1,ABCG1,ABCA1,AAMDC,AACS,ABLIM3,ABLIM1,ABCG1,ABCA1,AAMDC,AACS,ABLIM3,ABLIM1,ABCG1,ABCA1,AAMDC,AACS,ABLIM3,ABLIM1,ABCG1,ABCA1,AAMDC,AACS,ABLIM3,ABLIM1,ABCG1,ABCA1,AAMDC,AACS
4,ACP5,ABLIM3,ABHD3,ABCA8,AAMP,AAK1,ACP5,ABLIM3,ABHD3,ABCA8,AAMP,AAK1,ACP5,ABLIM3,ABHD3,ABCA8,AAMP,AAK1,ACP5,ABLIM3,ABHD3,ABCA8,AAMP,AAK1,ACP5,ABLIM3,ABHD3,ABCA8,AAMP,AAK1
5,ACPP,ACLY,ABI3,ABCB1,AARS,AAMDC,ACPP,ACLY,ABI3,ABCB1,AARS,AAMDC,ACPP,ACLY,ABI3,ABCB1,AARS,AAMDC,ACPP,ACLY,ABI3,ABCB1,AARS,AAMDC,ACPP,ACLY,ABI3,ABCB1,AARS,AAMDC
6,ACRBP,ACP5,ABLIM1,ABCC1,AARS2,AAMP,ACRBP,ACP5,ABLIM1,ABCC1,AARS2,AAMP,ACRBP,ACP5,ABLIM1,ABCC1,AARS2,AAMP,ACRBP,ACP5,ABLIM1,ABCC1,AARS2,AAMP,ACRBP,ACP5,ABLIM1,ABCC1,AARS2,AAMP
7,ACTN1,ACPP,ABLIM3,ABCC3,AARSD1,AAR2,ACTN1,ACPP,ABLIM3,ABCC3,AARSD1,AAR2,ACTN1,ACPP,ABLIM3,ABCC3,AARSD1,AAR2,ACTN1,ACPP,ABLIM3,ABCC3,AARSD1,AAR2,ACTN1,ACPP,ABLIM3,ABCC3,AARSD1,AAR2
8,ACTN4,ACRBP,AC010642.2,ABCC4,AASDH,AARS,ACTN4,ACRBP,AC010642.2,ABCC4,AASDH,AARS,ACTN4,ACRBP,AC010642.2,ABCC4,AASDH,AARS,ACTN4,ACRBP,AC010642.2,ABCC4,AASDH,AARS,ACTN4,ACRBP,AC010642.2,ABCC4,AASDH,AARS
9,ACTR2,ACTC1,ACLY,ABCG1,AASDHPPT,AARS2,ACTR2,ACTC1,ACLY,ABCG1,AASDHPPT,AARS2,ACTR2,ACTC1,ACLY,ABCG1,AASDHPPT,AARS2,ACTR2,ACTC1,ACLY,ABCG1,AASDHPPT,AARS2,ACTR2,ACTC1,ACLY,ABCG1,AASDHPPT,AARS2
