,5669-NUSVR--nu=0.05-C=0.1,5669-NUSVR--nu=0.1-C=0.1,5669-NUSVR--nu=0.15-C=0.1,5669-NUSVR--nu=0.25-C=0.1,5669-NUSVR--nu=0.5-C=0.1,5669-NUSVR--nu=0.75-C=0.1,5669-NUSVR--nu=0.05-C=0.5,5669-NUSVR--nu=0.1-C=0.5,5669-NUSVR--nu=0.15-C=0.5,5669-NUSVR--nu=0.25-C=0.5,5669-NUSVR--nu=0.5-C=0.5,5669-NUSVR--nu=0.75-C=0.5,5669-NUSVR--nu=0.05-C=0.75,5669-NUSVR--nu=0.1-C=0.75,5669-NUSVR--nu=0.15-C=0.75,5669-NUSVR--nu=0.25-C=0.75,5669-NUSVR--nu=0.5-C=0.75,5669-NUSVR--nu=0.75-C=0.75,5669-NUSVR--nu=0.05-C=1,5669-NUSVR--nu=0.1-C=1,5669-NUSVR--nu=0.15-C=1,5669-NUSVR--nu=0.25-C=1,5669-NUSVR--nu=0.5-C=1,5669-NUSVR--nu=0.75-C=1,5669-NUSVR--nu=0.05-C=10,5669-NUSVR--nu=0.1-C=10,5669-NUSVR--nu=0.15-C=10,5669-NUSVR--nu=0.25-C=10,5669-NUSVR--nu=0.5-C=10,5669-NUSVR--nu=0.75-C=10
0,ABCA8,ABCA8,AASDH,AARS,A2M,A2M,ABCA8,ABCA8,AASDH,AARS,A2M,A2M,ABCA8,ABCA8,AASDH,AARS,A2M,A2M,ABCA8,ABCA8,AASDH,AARS,A2M,A2M,ABCA8,ABCA8,AASDH,AARS,A2M,A2M
1,ABHD12,ABHD11,ABCA8,AARS2,AAK1,AAK1,ABHD12,ABHD11,ABCA13,AARS2,AAK1,AAK1,ABHD12,ABHD11,ABCA13,AARS2,AAK1,AAK1,ABHD12,ABHD11,ABCA13,AARS2,AAK1,AAK1,ABHD12,ABHD11,ABCA13,AARS2,AAK1,AAK1
2,ABL2,ABHD12,ABCB1,AASDH,AAMDC,AAMDC,ABL2,ABHD12,ABCA8,AASDH,AAMDC,AAMDC,ABL2,ABHD12,ABCA8,AASDH,AAMDC,AAMDC,ABL2,ABHD12,ABCA8,AASDH,AAMDC,AAMDC,ABL2,ABHD12,ABCA8,AASDH,AAMDC,AAMDC
3,ABLIM3,ABHD3,ABHD11,AATF,AAMP,AAMP,ABLIM3,ABHD3,ABCB1,AATF,AAMP,AAMP,ABLIM3,ABHD3,ABCB1,AATF,AAMP,AAMP,ABLIM3,ABHD3,ABCB1,AATF,AAMP,AAMP,ABLIM3,ABHD3,ABCB1,AATF,AAMP,AAMP
4,ACPP,ABHD5,ABHD12,ABCA13,AAR2,AAR2,ACPP,ABHD5,ABHD11,ABCA13,AAR2,AAR2,ACPP,ABHD5,ABHD11,ABCA13,AAR2,AAR2,ACPP,ABHD5,ABHD11,ABCA13,AAR2,AAR2,ACPP,ABHD5,ABHD11,ABCA13,AAR2,AAR2
5,ACRBP,ABL2,ABHD3,ABCA5,AARS,AARS,ACRBP,ABL2,ABHD12,ABCA5,AARS,AARS,ACRBP,ABL2,ABHD12,ABCA5,AARS,AARS,ACRBP,ABL2,ABHD12,ABCA5,AARS,AARS,ACRBP,ABL2,ABHD12,ABCA5,AARS,AARS
6,ACTC1,ABLIM1,ABHD5,ABCA8,AARS2,AARS2,ACTC1,ABLIM1,ABHD3,ABCA8,AARS2,AARS2,ACTC1,ABLIM1,ABHD3,ABCA8,AARS2,AARS2,ACTC1,ABLIM1,ABHD3,ABCA8,AARS2,AARS2,ACTC1,ABLIM1,ABHD3,ABCA8,AARS2,AARS2
7,ACTN1,ABLIM3,ABI3,ABCB1,AARSD1,AARSD1,ACTN1,ABLIM3,ABHD5,ABCB1,AARSD1,AARSD1,ACTN1,ABLIM3,ABHD5,ABCB1,AARSD1,AARSD1,ACTN1,ABLIM3,ABHD5,ABCB1,AARSD1,AARSD1,ACTN1,ABLIM3,ABHD5,ABCB1,AARSD1,AARSD1
8,ACTN4,AC016831.5,ABL2,ABCB9,AASDH,AASDH,ACTN4,AC016831.5,ABI3,ABCB9,AASDH,AASDH,ACTN4,AC016831.5,ABI3,ABCB9,AASDH,AASDH,ACTN4,AC016831.5,ABI3,ABCB9,AASDH,AASDH,ACTN4,AC016831.5,ABI3,ABCB9,AASDH,AASDH
9,ACTR2,ACLY,ABLIM1,ABHD11,AASDHPPT,AASDHPPT,ACTR2,ACLY,ABL2,ABCC3,AASDHPPT,AASDHPPT,ACTR2,ACLY,ABL2,ABCC3,AASDHPPT,AASDHPPT,ACTR2,ACLY,ABL2,ABCC3,AASDHPPT,AASDHPPT,ACTR2,ACLY,ABL2,ABHD11,AASDHPPT,AASDHPPT
10,ACTR3,ACPP,ABLIM3,ABHD12,AASS,AASS,ACTR3,ACPP,ABLIM1,ABHD11,AASS,AASS,ACTR3,ACPP,ABLIM1,ABHD11,AASS,AASS,ACTR3,ACPP,ABLIM1,ABHD11,AASS,AASS,ACTR3,ACPP,ABLIM1,ABHD12,AASS,AASS
11,ADAM28,ACRBP,AC016831.5,ABHD17A,AATF,AATF,ADAM28,ACRBP,ABLIM3,ABHD12,AATF,AATF,ADAM28,ACRBP,ABLIM3,ABHD12,AATF,AATF,ADAM28,ACRBP,ABLIM3,ABHD12,AATF,AATF,ADAM28,ACRBP,ABLIM3,ABHD17A,AATF,AATF
12,ADGRG6,ACTC1,ACLY,ABHD3,ABCA13,ABCA11P,ADGRG6,ACTC1,AC016831.5,ABHD17A,ABCA13,ABCA11P,ADGRG6,ACTC1,AC016831.5,ABHD17A,ABCA13,ABCA11P,ADGRG6,ACTC1,AC016831.5,ABHD17A,ABCA13,ABCA11P,ADGRG6,ACTC1,AC016831.5,ABHD3,ABCA13,ABCA11P
13,ADGRL4,ACTN1,ACPP,ABHD5,ABCA2,ABCA13,ADGRL4,ACTN1,ACLY,ABHD3,ABCA2,ABCA13,ADGRL4,ACTN1,ACLY,ABHD3,ABCA2,ABCA13,ADGRL4,ACTN1,ACLY,ABHD3,ABCA2,ABCA13,ADGRL4,ACTN1,ACLY,ABHD5,ABCA2,ABCA13
14,ADIPOR1,ACTN4,ACRBP,ABI3,ABCA5,ABCA2,ADIPOR1,ACTN4,ACPP,ABHD5,ABCA5,ABCA2,ADIPOR1,ACTN4,ACPP,ABHD5,ABCA5,ABCA2,ADIPOR1,ACTN4,ACPP,ABHD5,ABCA5,ABCA2,ADIPOR1,ACTN4,ACPP,ABI3,ABCA5,ABCA2
15,ADPGK,ACTR2,ACSL4,ABL2,ABCA8,ABCA5,ADPGK,ACTR2,ACRBP,ABI3,ABCA8,ABCA5,ADPGK,ACTR2,ACRBP,ABI3,ABCA8,ABCA5,ADPGK,ACTR2,ACRBP,ABI3,ABCA8,ABCA5,ADPGK,ACTR2,ACRBP,ABL2,ABCA8,ABCA5
16,AGPAT5,ACTR3,ACTN1,ABLIM1,ABCB1,ABCA6,AGPAT5,ACTR3,ACSL4,ABL2,ABCB1,ABCA6,AGPAT5,ACTR3,ACSL4,ABL2,ABCB1,ABCA6,AGPAT5,ACTR3,ACSL4,ABL2,ABCB1,ABCA6,AGPAT5,ACTR3,ACSL4,ABLIM1,ABCB1,ABCA6
17,AGTRAP,ACYP1,ACTN4,ABLIM3,ABCB9,ABCA7,AGTRAP,ACYP1,ACTN1,ABLIM1,ABCB9,ABCA7,AGTRAP,ACYP1,ACTN1,ABLIM1,ABCB9,ABCA7,AGTRAP,ACYP1,ACTN1,ABLIM1,ABCB9,ABCA7,AGTRAP,ACYP1,ACTN1,ABLIM3,ABCB9,ABCA7
18,AKAP13,ADAM28,ACTR2,ABTB1,ABCC1,ABCA8,AKAP13,ADAM28,ACTN4,ABLIM3,ABCC1,ABCA8,AKAP13,ADAM28,ACTN4,ABLIM3,ABCC1,ABCA8,AKAP13,ADAM28,ACTN4,ABLIM3,ABCC1,ABCA8,AKAP13,ADAM28,ACTN4,ABTB1,ABCC1,ABCA8
19,AKNA,ADAMTS9,ACTR3,AC009506.1,ABCC3,ABCB1,AKNA,ADAMTS9,ACTR2,ABTB1,ABCC3,ABCB1,AKNA,ADAMTS9,ACTR2,ABTB1,ABCC3,ABCB1,AKNA,ADAMTS9,ACTR2,ABTB1,ABCC3,ABCB1,AKNA,ADAMTS9,ACTR2,AC009506.1,ABCC3,ABCB1
20,ALCAM,ADD3,ACYP1,AC016831.5,ABCC4,ABCB10,ALCAM,ADD3,ACTR3,AC009506.1,ABCC4,ABCB10,ALCAM,ADD3,ACTR3,AC009506.1,ABCC4,ABCB10,ALCAM,ADD3,ACTR3,AC009506.1,ABCC4,ABCB10,ALCAM,ADD3,ACTR3,AC016831.5,ABCC4,ABCB10
21,ALDH1A1,ADGRG6,ADAM28,AC104699.1,ABCC5,ABCB9,ALDH1A1,ADGRG6,ACYP1,AC016831.5,ABCC5,ABCB9,ALDH1A1,ADGRG6,ACYP1,AC016831.5,ABCC5,ABCB9,ALDH1A1,ADGRG6,ACYP1,AC016831.5,ABCC5,ABCB9,ALDH1A1,ADGRG6,ACYP1,AC104699.1,ABCC5,ABCB9
22,ALOX5AP,ADGRL4,ADAMTS9,ACAP2,ABCD3,ABCC1,ALOX5AP,ADGRL4,ADAM28,AC104699.1,ABCD3,ABCC1,ALOX5AP,ADGRL4,ADAM28,AC104699.1,ABCD3,ABCC1,ALOX5AP,ADGRL4,ADAM28,AC104699.1,ABCD3,ABCC1,ALOX5AP,ADGRL4,ADAM28,ACAP2,ABCD3,ABCC1
23,AMBP,ADIPOR1,ADCK2,ACER3,ABCD4,ABCC11,AMBP,ADIPOR1,ADAMTS9,ACAP2,ABCD4,ABCC11,AMBP,ADIPOR1,ADAMTS9,ACAP2,ABCD4,ABCC11,AMBP,ADIPOR1,ADAMTS9,ACAP2,ABCD4,ABCC11,AMBP,ADIPOR1,ADAMTS9,ACER3,ABCD4,ABCC11
24,ANGPTL7,ADPGK,ADD3,ACLY,ABCF2,ABCC13,ANGPTL7,ADPGK,ADCK2,ACER3,ABCF2,ABCC13,ANGPTL7,ADPGK,ADCK2,ACER3,ABCF2,ABCC13,ANGPTL7,ADPGK,ADCK2,ACER3,ABCF2,ABCC13,ANGPTL7,ADPGK,ADCK2,ACLY,ABCF2,ABCC13
25,ANK3,AFF1,ADGRG3,ACOT11,ABCF3,ABCC3,ANK3,AFF1,ADD3,ACLY,ABCF3,ABCC3,ANK3,AFF1,ADD3,ACLY,ABCF3,ABCC3,ANK3,AFF1,ADD3,ACLY,ABCF3,ABCC3,ANK3,AFF1,ADD3,ACOT11,ABCF3,ABCC3
26,ANKRD36C,AFG3L2,ADGRG6,ACPP,ABCG1,ABCC4,ANKRD36C,AFG3L2,ADGRG3,ACOT11,ABCG1,ABCC4,ANKRD36C,AFG3L2,ADGRG3,ACOT11,ABCG1,ABCC4,ANKRD36C,AFG3L2,ADGRG3,ACOT11,ABCG1,ABCC4,ANKRD36C,AFG3L2,ADGRG3,ACPP,ABCG1,ABCC4
27,ANP32A,AGO1,ADGRL4,ACRBP,ABHD11,ABCC5,ANP32A,AGO1,ADGRG6,ACPP,ABHD11,ABCC5,ANP32A,AGO1,ADGRG6,ACPP,ABHD11,ABCC5,ANP32A,AGO1,ADGRG6,ACPP,ABHD11,ABCC5,ANP32A,AGO1,ADGRG6,ACRBP,ABHD11,ABCC5
28,ANP32B,AGPAT5,ADIPOR1,ACSF2,ABHD12,ABCD1,ANP32B,AGPAT5,ADGRL4,ACRBP,ABHD12,ABCD1,ANP32B,AGPAT5,ADGRL4,ACRBP,ABHD12,ABCD1,ANP32B,AGPAT5,ADGRL4,ACRBP,ABHD12,ABCD1,ANP32B,AGPAT5,ADGRL4,ACSF2,ABHD12,ABCD1
29,ANXA1,AGT,ADPGK,ACSL3,ABHD13,ABCD3,ANXA1,AGT,ADIPOR1,ACSF2,ABHD13,ABCD3,ANXA1,AGT,ADIPOR1,ACSF2,ABHD13,ABCD3,ANXA1,AGT,ADIPOR1,ACSF2,ABHD13,ABCD3,ANXA1,AGT,ADIPOR1,ACSL3,ABHD13,ABCD3
