,3227-NUSVR--nu=0.05-C=0.1,3227-NUSVR--nu=0.1-C=0.1,3227-NUSVR--nu=0.15-C=0.1,3227-NUSVR--nu=0.25-C=0.1,3227-NUSVR--nu=0.5-C=0.1,3227-NUSVR--nu=0.75-C=0.1,3227-NUSVR--nu=0.05-C=0.5,3227-NUSVR--nu=0.1-C=0.5,3227-NUSVR--nu=0.15-C=0.5,3227-NUSVR--nu=0.25-C=0.5,3227-NUSVR--nu=0.5-C=0.5,3227-NUSVR--nu=0.75-C=0.5,3227-NUSVR--nu=0.05-C=0.75,3227-NUSVR--nu=0.1-C=0.75,3227-NUSVR--nu=0.15-C=0.75,3227-NUSVR--nu=0.25-C=0.75,3227-NUSVR--nu=0.5-C=0.75,3227-NUSVR--nu=0.75-C=0.75,3227-NUSVR--nu=0.05-C=1,3227-NUSVR--nu=0.1-C=1,3227-NUSVR--nu=0.15-C=1,3227-NUSVR--nu=0.25-C=1,3227-NUSVR--nu=0.5-C=1,3227-NUSVR--nu=0.75-C=1,3227-NUSVR--nu=0.05-C=10,3227-NUSVR--nu=0.1-C=10,3227-NUSVR--nu=0.15-C=10,3227-NUSVR--nu=0.25-C=10,3227-NUSVR--nu=0.5-C=10,3227-NUSVR--nu=0.75-C=10
0,ABHD17A,AATK,AATK,A2ML1,A2M,A1CF,ABHD17A,AATK,AATK,A2ML1,A2M,A1CF,ABHD17A,AATK,AATK,A2ML1,A2M,A1CF,ABHD17A,AATK,AATK,A2ML1,A2M,A1CF,ABHD17A,AATK,AATK,A2ML1,A2M,A1CF
1,ABLIM3,ABCA13,ABCA13,AAK1,A2ML1,A2M,ABLIM3,ABCA13,ABCA13,AAK1,A2ML1,A2M,ABLIM3,ABCA13,ABCA13,AAK1,A2ML1,A2M,ABLIM3,ABCA13,ABCA13,AAK1,A2ML1,A2M,ABLIM3,ABHD11,ABCA13,AAK1,A2ML1,A2M
2,ACPP,ABHD11,ABCA8,AATK,AAK1,A2ML1,ACPP,ABHD11,ABCA8,AATK,AAK1,A2ML1,ACPP,ABHD11,ABCA8,AATK,AAK1,A2ML1,ACPP,ABHD11,ABCA8,AATK,AAK1,A2ML1,ACPP,ABHD12,ABCA8,AATK,AAK1,A2ML1
3,ACRBP,ABHD12,ABCB10,ABCA13,AAMP,AAK1,ACRBP,ABHD12,ABCB10,ABCA13,AAMP,AAK1,ACRBP,ABHD12,ABCB10,ABCA13,AAMP,AAK1,ACRBP,ABHD12,ABCB10,ABCA13,AAMP,AAK1,ACRBP,ABHD17A,ABCB10,ABCA13,AAMP,AAK1
4,ACTC1,ABHD17A,ABCC4,ABCA8,AARD,AAMP,ACTC1,ABHD17A,ABCC4,ABCA8,AARD,AAMP,ACTC1,ABHD17A,ABCC4,ABCA8,AARD,AAMP,ACTC1,ABHD17A,ABCC4,ABCA8,AARD,AAMP,ACTC1,ABLIM3,ABCC4,ABCA8,AARD,AAMP
5,ACTN1,ABLIM3,ABHD11,ABCB10,AARS,AAR2,ACTN1,ABLIM3,ABHD11,ABCB10,AARS,AAR2,ACTN1,ABLIM3,ABHD11,ABCB10,AARS,AAR2,ACTN1,ABLIM3,ABHD11,ABCB10,AARS,AAR2,ACTN1,ABO,ABHD11,ABCB10,AARS,AAR2
6,ACTR2,ABO,ABHD12,ABCB9,AARS2,AARD,ACTR2,ABO,ABHD12,ABCB9,AARS2,AARD,ACTR2,ABO,ABHD12,ABCB9,AARS2,AARD,ACTR2,ABO,ABHD12,ABCB9,AARS2,AARD,ACTR2,AC009506.1,ABHD12,ABCB9,AARS2,AARD
7,ACTR3,AC009506.1,ABHD17A,ABCC1,AASDH,AARS,ACTR3,AC009506.1,ABHD17A,ABCC1,AASDH,AARS,ACTR3,AC009506.1,ABHD17A,ABCC1,AASDH,AARS,ACTR3,AC009506.1,ABHD17A,ABCC1,AASDH,AARS,ACTR3,ACCS,ABHD17A,ABCC1,AASDH,AARS
8,ADD3,ACCS,ABI2,ABCC4,AASDHPPT,AARS2,ADD3,ACCS,ABI2,ABCC4,AASDHPPT,AARS2,ADD3,ACCS,ABI2,ABCC4,AASDHPPT,AARS2,ADD3,ACCS,ABI2,ABCC4,AASDHPPT,AARS2,ADD3,ACPP,ABI2,ABCC4,AASDHPPT,AARS2
9,ADIPOR1,ACPP,ABL2,ABHD11,AASS,AASDH,ADIPOR1,ACPP,ABL2,ABHD11,AASS,AASDH,ADIPOR1,ACPP,ABL2,ABHD11,AASS,AASDH,ADIPOR1,ACPP,ABL2,ABHD11,AASS,AASDH,ADIPOR1,ACRBP,ABL2,ABHD11,AASS,AASDH
10,ADIPOR2,ACRBP,ABLIM1,ABHD12,AATF,AASDHPPT,ADIPOR2,ACRBP,ABLIM1,ABHD12,AATF,AASDHPPT,ADIPOR2,ACRBP,ABLIM1,ABHD12,AATF,AASDHPPT,ADIPOR2,ACRBP,ABLIM1,ABHD12,AATF,AASDHPPT,ADIPOR2,ACSL4,ABLIM1,ABHD12,AATF,AASDHPPT
11,AGPAT5,ACSL4,ABLIM3,ABHD17A,AATK,AASS,AGPAT5,ACSL4,ABLIM3,ABHD17A,AATK,AASS,AGPAT5,ACSL4,ABLIM3,ABHD17A,AATK,AASS,AGPAT5,ACSL4,ABLIM3,ABHD17A,AATK,AASS,AGPAT5,ACTC1,ABLIM3,ABHD17A,AATK,AASS
12,AGTRAP,ACTC1,ABO,ABHD3,ABCA13,AATF,AGTRAP,ACTC1,ABO,ABHD3,ABCA13,AATF,AGTRAP,ACTC1,ABO,ABHD3,ABCA13,AATF,AGTRAP,ACTC1,ABO,ABHD3,ABCA13,AATF,AGTRAP,ACTN1,ABO,ABHD3,ABCA13,AATF
