,1938-NUSVR--nu=0.05-C=0.1,1938-NUSVR--nu=0.1-C=0.1,1938-NUSVR--nu=0.15-C=0.1,1938-NUSVR--nu=0.25-C=0.1,1938-NUSVR--nu=0.5-C=0.1,1938-NUSVR--nu=0.75-C=0.1,1938-NUSVR--nu=0.05-C=0.5,1938-NUSVR--nu=0.1-C=0.5,1938-NUSVR--nu=0.15-C=0.5,1938-NUSVR--nu=0.25-C=0.5,1938-NUSVR--nu=0.5-C=0.5,1938-NUSVR--nu=0.75-C=0.5,1938-NUSVR--nu=0.05-C=0.75,1938-NUSVR--nu=0.1-C=0.75,1938-NUSVR--nu=0.15-C=0.75,1938-NUSVR--nu=0.25-C=0.75,1938-NUSVR--nu=0.5-C=0.75,1938-NUSVR--nu=0.75-C=0.75,1938-NUSVR--nu=0.05-C=1,1938-NUSVR--nu=0.1-C=1,1938-NUSVR--nu=0.15-C=1,1938-NUSVR--nu=0.25-C=1,1938-NUSVR--nu=0.5-C=1,1938-NUSVR--nu=0.75-C=1,1938-NUSVR--nu=0.05-C=10,1938-NUSVR--nu=0.1-C=10,1938-NUSVR--nu=0.15-C=10,1938-NUSVR--nu=0.25-C=10,1938-NUSVR--nu=0.5-C=10,1938-NUSVR--nu=0.75-C=10
0,AASS,ABCA8,A4GALT,A2M,A2M,A1CF,AASS,ABCA8,A4GALT,A2M,A2M,A1CF,AASS,ABCA8,A4GALT,A2M,A2M,A1CF,AASS,ABCA8,A4GALT,A2M,A2M,A1CF,AASS,ABCA8,A4GALT,A2M,A2M,A1CF
1,ABCA8,ABCB1,ABCA8,A4GALT,A4GALT,A2M,ABCA8,ABCB1,ABCA8,A4GALT,A4GALT,A2M,ABCA8,ABCB1,ABCA8,A4GALT,A4GALT,A2M,ABCA8,ABCB1,ABCA8,A4GALT,A4GALT,A2M,ABCA8,ABCB1,ABCA8,A4GALT,A4GALT,A2M
2,ABCC5,ABCC3,ABCB1,AASDH,AAK1,A4GALT,ABCC5,ABCC3,ABCB1,AASDH,AAK1,A4GALT,ABCC5,ABCC3,ABCB1,AASDH,AAK1,A4GALT,ABCC5,ABCC3,ABCB1,AASDH,AAK1,A4GALT,ABCC5,ABCC3,ABCB1,AASDH,AAK1,A4GALT
3,ABL2,ABCC5,ABCC3,AATK,AAMDC,A4GNT,ABL2,ABCC5,ABCC3,AATK,AAMDC,A4GNT,ABL2,ABCC5,ABCC3,AATK,AAMDC,A4GNT,ABL2,ABCC5,ABCC3,AATK,AAMDC,A4GNT,ABL2,ABCC5,ABCC3,AATK,AAMDC,A4GNT
4,ABLIM3,ABHD15,ABCC5,ABCA8,AAMP,AAK1,ABLIM3,ABHD15,ABCC5,ABCA8,AAMP,AAK1,ABLIM3,ABHD15,ABCC5,ABCA8,AAMP,AAK1,ABLIM3,ABHD15,ABCC5,ABCA8,AAMP,AAK1,ABLIM3,ABHD15,ABCC5,ABCA8,AAMP,AAK1
5,ACPP,ABHD3,ABHD15,ABCB1,AAR2,AAMDC,ACPP,ABHD3,ABHD15,ABCB1,AAR2,AAMDC,ACPP,ABHD3,ABHD15,ABCB1,AAR2,AAMDC,ACPP,ABHD3,ABHD15,ABCB1,AAR2,AAMDC,ACPP,ABHD3,ABHD15,ABCB1,AAR2,AAMDC
6,ACRBP,ABHD5,ABHD3,ABCC1,AARS,AAMP,ACRBP,ABHD5,ABHD3,ABCC1,AARS,AAMP,ACRBP,ABHD5,ABHD3,ABCC1,AARS,AAMP,ACRBP,ABHD5,ABHD3,ABCC1,AARS,AAMP,ACRBP,ABHD5,ABHD3,ABCC1,AARS,AAMP
7,ACTN4,ABL2,ABHD5,ABCC3,AASDH,AAR2,ACTN4,ABL2,ABHD5,ABCC3,AASDH,AAR2,ACTN4,ABL2,ABHD5,ABCC3,AASDH,AAR2,ACTN4,ABL2,ABHD5,ABCC3,AASDH,AAR2,ACTN4,ABL2,ABHD5,ABCC3,AASDH,AAR2
8,ADGRL4,ABLIM1,ABL1,ABCC5,AASS,AARS,ADGRL4,ABLIM1,ABI3BP,ABCC5,AASS,AARS,ADGRL4,ABLIM1,ABI3BP,ABCC5,AASS,AARS,ADGRL4,ABLIM1,ABI3BP,ABCC5,AASS,AARS,ADGRL4,ABLIM1,ABI3BP,ABCC5,AASS,AARS
9,ADIPOR1,ABLIM3,ABL2,ABHD15,AATF,AARS2,ADIPOR1,ABLIM3,ABL1,ABHD15,AATF,AARS2,ADIPOR1,ABLIM3,ABL1,ABHD15,AATF,AARS2,ADIPOR1,ABLIM3,ABL1,ABHD15,AATF,AARS2,ADIPOR1,ABLIM3,ABL1,ABHD15,AATF,AARS2
10,ADPGK,ACLY,ABLIM1,ABHD17A,AATK,AARSD1,ADPGK,ACLY,ABL2,ABHD17A,AATK,AARSD1,ADPGK,ACLY,ABL2,ABHD17A,AATK,AARSD1,ADPGK,ACLY,ABL2,ABHD17A,AATK,AARSD1,ADPGK,ACLY,ABL2,ABHD17A,AATK,AARSD1
11,AGTRAP,ACPP,ABLIM3,ABHD3,ABCA3,AASDH,AGTRAP,ACPP,ABLIM1,ABHD3,ABCA3,AASDH,AGTRAP,ACPP,ABLIM1,ABHD3,ABCA3,AASDH,AGTRAP,ACPP,ABLIM1,ABHD3,ABCA3,AASDH,AGTRAP,ACPP,ABLIM1,ABHD3,ABCA3,AASDH
12,AKNA,ACRBP,ABTB1,ABHD4,ABCA4,AASDHPPT,AKNA,ACRBP,ABLIM3,ABHD4,ABCA4,AASDHPPT,AKNA,ACRBP,ABLIM3,ABHD4,ABCA4,AASDHPPT,AKNA,ACRBP,ABLIM3,ABHD4,ABCA4,AASDHPPT,AKNA,ACRBP,ABLIM3,ABHD4,ABCA4,AASDHPPT
13,ALAS2,ACTN1,ACLY,ABHD5,ABCA7,AASS,ALAS2,ACTN1,ABTB1,ABHD5,ABCA7,AASS,ALAS2,ACTN1,ABTB1,ABHD5,ABCA7,AASS,ALAS2,ACTN1,ABTB1,ABHD5,ABCA7,AASS,ALAS2,ACTN1,ABTB1,ABHD5,ABCA7,AASS
14,ALDH1A1,ACTN4,ACPP,ABI3,ABCA8,AATF,ALDH1A1,ACTN4,ACLY,ABI3,ABCA8,AATF,ALDH1A1,ACTN4,ACLY,ABI3,ABCA8,AATF,ALDH1A1,ACTN4,ACLY,ABI3,ABCA8,AATF,ALDH1A1,ACTN4,ACLY,ABI3,ABCA8,AATF
15,ALOX5AP,ACTR2,ACRBP,ABI3BP,ABCB1,AATK,ALOX5AP,ACTR2,ACPP,ABI3BP,ABCB1,AATK,ALOX5AP,ACTR2,ACPP,ABI3BP,ABCB1,AATK,ALOX5AP,ACTR2,ACPP,ABI3BP,ABCB1,AATK,ALOX5AP,ACTR2,ACPP,ABI3BP,ABCB1,AATK
16,ANAPC4,ADAM8,ACTN1,ABL1,ABCB8,ABCA13,ANAPC4,ADAM8,ACRBP,ABL1,ABCB8,ABCA13,ANAPC4,ADAM8,ACRBP,ABL1,ABCB8,ABCA13,ANAPC4,ADAM8,ACRBP,ABL1,ABCB8,ABCA13,ANAPC4,ADAM8,ACRBP,ABL1,ABCB8,ABCA13
17,ANK1,ADAMTS2,ACTN4,ABL2,ABCC1,ABCA2,ANK1,ADAMTS2,ACTN1,ABL2,ABCC1,ABCA2,ANK1,ADAMTS2,ACTN1,ABL2,ABCC1,ABCA2,ANK1,ADAMTS2,ACTN1,ABL2,ABCC1,ABCA2,ANK1,ADAMTS2,ACTN1,ABL2,ABCC1,ABCA2
18,ANP32B,ADGRG6,ACTR2,ABLIM1,ABCC3,ABCA3,ANP32B,ADGRG6,ACTN4,ABLIM1,ABCC3,ABCA3,ANP32B,ADGRG6,ACTN4,ABLIM1,ABCC3,ABCA3,ANP32B,ADGRG6,ACTN4,ABLIM1,ABCC3,ABCA3,ANP32B,ADGRG6,ACTN4,ABLIM1,ABCC3,ABCA3
