,17925-NUSVR--nu=0.05-C=0.1,17925-NUSVR--nu=0.1-C=0.1,17925-NUSVR--nu=0.15-C=0.1,17925-NUSVR--nu=0.25-C=0.1,17925-NUSVR--nu=0.5-C=0.1,17925-NUSVR--nu=0.75-C=0.1,17925-NUSVR--nu=0.05-C=0.5,17925-NUSVR--nu=0.1-C=0.5,17925-NUSVR--nu=0.15-C=0.5,17925-NUSVR--nu=0.25-C=0.5,17925-NUSVR--nu=0.5-C=0.5,17925-NUSVR--nu=0.75-C=0.5,17925-NUSVR--nu=0.05-C=0.75,17925-NUSVR--nu=0.1-C=0.75,17925-NUSVR--nu=0.15-C=0.75,17925-NUSVR--nu=0.25-C=0.75,17925-NUSVR--nu=0.5-C=0.75,17925-NUSVR--nu=0.75-C=0.75,17925-NUSVR--nu=0.05-C=1,17925-NUSVR--nu=0.1-C=1,17925-NUSVR--nu=0.15-C=1,17925-NUSVR--nu=0.25-C=1,17925-NUSVR--nu=0.5-C=1,17925-NUSVR--nu=0.75-C=1,17925-NUSVR--nu=0.05-C=10,17925-NUSVR--nu=0.1-C=10,17925-NUSVR--nu=0.15-C=10,17925-NUSVR--nu=0.25-C=10,17925-NUSVR--nu=0.5-C=10,17925-NUSVR--nu=0.75-C=10
0,ABCC4,ABCA8,ABCA8,AASDH,A1BG,A1BG,ABHD11,ABCA8,ABCA5,AASDH,A1BG,A1BG,ABHD11,ABCA8,ABCA5,AASDH,A1BG,A1BG,ABHD11,ABCA8,ABCA8,AASDH,A1BG,A1BG,ABHD11,ABCA8,ABCA5,AASDH,A1BG,A1BG
1,ABHD11,ABCC3,ABCC3,AASS,A2M,A1CF,ABLIM3,ABCC4,ABCA8,AASS,A2M,A1CF,ABLIM3,ABCC4,ABCA8,AASS,A2M,A1CF,ABLIM3,ABCC4,ABCC3,AASS,A2M,A1CF,ABLIM3,ABCC4,ABCA8,AASS,A2M,A1CF
2,ABL2,ABCC4,ABCC4,AATK,AAK1,A2M,ACPP,ABHD11,ABCC3,AATK,AAK1,A2M,ACPP,ABHD11,ABCC3,AATK,AAK1,A2M,ACPP,ABHD11,ABCC4,AATK,AAK1,A2M,ACPP,ABHD11,ABCC3,AATK,AAK1,A2M
3,ABLIM3,ABHD11,ABHD11,ABCA5,AAMP,AAK1,ACRBP,ABHD12,ABCC4,ABCA5,AAMP,AAK1,ACRBP,ABHD12,ABCC4,ABCA5,AAMP,AAK1,ACRBP,ABHD12,ABHD11,ABCA5,AAMP,AAK1,ACRBP,ABHD12,ABCC4,ABCA5,AAMP,AAK1
4,ACPP,ABHD12,ABHD12,ABCA8,AARS,AAMP,ACTN1,ABHD17A,ABHD11,ABCA8,AARS,AAMP,ACTN1,ABHD17A,ABHD11,ABCA8,AARS,AAMP,ACTN1,ABHD17A,ABHD12,ABCA8,AARS,AAMP,ACTN1,ABHD17A,ABHD11,ABCA8,AARS,AAMP
5,ACRBP,ABHD17A,ABHD17A,ABCB1,AARS2,AAR2,ACTN4,ABL2,ABHD12,ABCB1,AARS2,AAR2,ACTN4,ABL2,ABHD12,ABCB1,AARS2,AAR2,ACTN4,ABL2,ABHD17A,ABCB1,AARS2,AAR2,ACTN4,ABL2,ABHD12,ABCB1,AARS2,AAR2
6,ACTN1,ABL2,ABL2,ABCB9,AASDH,AARS,ACTR2,ABLIM3,ABHD17A,ABCB9,AASDH,AARS,ACTR2,ABLIM3,ABHD17A,ABCB9,AASDH,AARS,ACTR2,ABLIM3,ABI3BP,ABCB9,AASDH,AARS,ACTR2,ABLIM3,ABHD17A,ABCB9,AASDH,AARS
7,ACTN4,ABLIM3,ABLIM3,ABCC1,AASS,AARS2,ACTR3,ABO,ABI3BP,ABCC1,AASS,AARS2,ACTR3,ABO,ABI3BP,ABCC1,AASS,AARS2,ACTR3,ABO,ABL2,ABCC1,AASS,AARS2,ACTR3,ABO,ABI3BP,ABCC1,AASS,AARS2
8,ACTR2,ABO,ABO,ABCC3,AATF,AARSD1,ADGRG6,AC009506.1,ABL2,ABCC3,AATF,AARSD1,ADGRG6,AC009506.1,ABL2,ABCC3,AATF,AARSD1,ADGRG6,AC009506.1,ABLIM3,ABCC3,AATF,AARSD1,ADGRG6,AC009506.1,ABL2,ABCC3,AATF,AARSD1
9,ACTR3,AC009506.1,AC009506.1,ABCC4,AATK,AASDH,ADIPOR1,ACPP,ABLIM3,ABCC4,AATK,AASDH,ADIPOR1,ACPP,ABLIM3,ABCC4,AATK,AASDH,ADIPOR1,ACPP,ABO,ABCC4,AATK,AASDH,ADIPOR1,ACPP,ABLIM3,ABCC4,AATK,AASDH
