,2504-NUSVR--nu=0.05-C=0.1,2504-NUSVR--nu=0.1-C=0.1,2504-NUSVR--nu=0.15-C=0.1,2504-NUSVR--nu=0.25-C=0.1,2504-NUSVR--nu=0.5-C=0.1,2504-NUSVR--nu=0.75-C=0.1,2504-NUSVR--nu=0.05-C=0.5,2504-NUSVR--nu=0.1-C=0.5,2504-NUSVR--nu=0.15-C=0.5,2504-NUSVR--nu=0.25-C=0.5,2504-NUSVR--nu=0.5-C=0.5,2504-NUSVR--nu=0.75-C=0.5,2504-NUSVR--nu=0.05-C=0.75,2504-NUSVR--nu=0.1-C=0.75,2504-NUSVR--nu=0.15-C=0.75,2504-NUSVR--nu=0.25-C=0.75,2504-NUSVR--nu=0.5-C=0.75,2504-NUSVR--nu=0.75-C=0.75,2504-NUSVR--nu=0.05-C=1,2504-NUSVR--nu=0.1-C=1,2504-NUSVR--nu=0.15-C=1,2504-NUSVR--nu=0.25-C=1,2504-NUSVR--nu=0.5-C=1,2504-NUSVR--nu=0.75-C=1,2504-NUSVR--nu=0.05-C=10,2504-NUSVR--nu=0.1-C=10,2504-NUSVR--nu=0.15-C=10,2504-NUSVR--nu=0.25-C=10,2504-NUSVR--nu=0.5-C=10,2504-NUSVR--nu=0.75-C=10
0,A2M,A2M,A2M,A1BG,A1BG,A1BG,A2M,A2M,A2M,A1BG,A1BG,A1BG,A2M,A2M,A2M,A1BG,A1BG,A1BG,A2M,A2M,A2M,A1BG,A1BG,A1BG,A2M,A2M,A2M,A1BG,A1BG,A1BG
1,ABHD12,AATK,AATK,A2M,A2M,A1CF,ABHD12,AATK,AATK,A2M,A2M,A1CF,ABHD12,AATK,AATK,A2M,A2M,A1CF,ABHD12,AATK,AATK,A2M,A2M,A1CF,ABHD12,AATK,AATK,A2M,A2M,A1CF
2,ABHD17A,ABCC4,ABCC3,AAK1,A2ML1,A2M,ABHD17A,ABCC4,ABCC3,AAK1,A2ML1,A2M,ABHD17A,ABCC4,ABCC3,AAK1,A2ML1,A2M,ABHD17A,ABCC4,ABCC3,AAK1,A2ML1,A2M,ABHD17A,ABCC4,ABCC3,AAK1,A2ML1,A2M
3,ABLIM3,ABCC5,ABCC4,AATK,AAK1,A2ML1,ABLIM3,ABCC5,ABCC4,AATK,AAK1,A2ML1,ABLIM3,ABCC5,ABCC4,AATK,AAK1,A2ML1,ABLIM3,ABCC5,ABCC4,AATK,AAK1,A2ML1,ABLIM3,ABCC5,ABCC4,AATK,AAK1,A2ML1
4,ACPP,ABHD11,ABCC5,ABCB1,AAMP,AADAT,ACPP,ABHD11,ABCC5,ABCB1,AAMP,AADAT,ACPP,ABHD11,ABCC5,ABCB1,AAMP,AADAT,ACPP,ABHD11,ABCC5,ABCB1,AAMP,AADAT,ACPP,ABHD11,ABCC5,ABCB1,AAMP,AADAT
5,ACRBP,ABHD12,ABHD11,ABCB9,AARD,AAK1,ACRBP,ABHD12,ABHD11,ABCB9,AARD,AAK1,ACRBP,ABHD12,ABHD11,ABCB9,AARD,AAK1,ACRBP,ABHD12,ABHD11,ABCB9,AARD,AAK1,ACRBP,ABHD12,ABHD11,ABCB9,AARD,AAK1
6,ACTC1,ABHD17A,ABHD12,ABCC1,AARS,AAMDC,ACTC1,ABHD17A,ABHD12,ABCC1,AARS,AAMDC,ACTC1,ABHD17A,ABHD12,ABCC1,AARS,AAMDC,ACTC1,ABHD17A,ABHD12,ABCC1,AARS,AAMDC,ACTC1,ABHD17A,ABHD12,ABCC1,AARS,AAMDC
7,ACTN1,ABLIM3,ABHD17A,ABCC3,AARSD1,AAMP,ACTN1,ABLIM3,ABHD17A,ABCC3,AARSD1,AAMP,ACTN1,ABLIM3,ABHD17A,ABCC3,AARSD1,AAMP,ACTN1,ABLIM3,ABHD17A,ABCC3,AARSD1,AAMP,ACTN1,ABLIM3,ABHD17A,ABCC3,AARSD1,AAMP
8,ACTN4,ABO,ABHD3,ABCC4,AASDH,AAR2,ACTN4,ABO,ABHD3,ABCC4,AASDH,AAR2,ACTN4,ABO,ABHD3,ABCC4,AASDH,AAR2,ACTN4,ABO,ABHD3,ABCC4,AASDH,AAR2,ACTN4,ABO,ABHD3,ABCC4,AASDH,AAR2
9,ACTR2,AC009506.1,ABI2,ABCC5,AASDHPPT,AARD,ACTR2,AC009506.1,ABI2,ABCC5,AASDHPPT,AARD,ACTR2,AC009506.1,ABI2,ABCC5,AASDHPPT,AARD,ACTR2,AC009506.1,ABI2,ABCC5,AASDHPPT,AARD,ACTR2,AC009506.1,ABI2,ABCC5,AASDHPPT,AARD
10,ACTR3,AC147651.4,ABLIM3,ABHD11,AASS,AARS,ACTR3,AC147651.4,ABLIM3,ABHD11,AASS,AARS,ACTR3,AC147651.4,ABLIM3,ABHD11,AASS,AARS,ACTR3,AC147651.4,ABLIM3,ABHD11,AASS,AARS,ACTR3,AC147651.4,ABLIM3,ABHD11,AASS,AARS
11,ADD3,ACPP,ABO,ABHD12,AATF,AARSD1,ADD3,ACPP,ABO,ABHD12,AATF,AARSD1,ADD3,ACPP,ABO,ABHD12,AATF,AARSD1,ADD3,ACPP,ABO,ABHD12,AATF,AARSD1,ADD3,ACPP,ABO,ABHD12,AATF,AARSD1
12,ADIPOR1,ACRBP,AC009506.1,ABHD17A,AATK,AASDH,ADIPOR1,ACRBP,AC009506.1,ABHD17A,AATK,AASDH,ADIPOR1,ACRBP,AC009506.1,ABHD17A,AATK,AASDH,ADIPOR1,ACRBP,AC009506.1,ABHD17A,AATK,AASDH,ADIPOR1,ACRBP,AC009506.1,ABHD17A,AATK,AASDH
13,AFAP1L2,ACSL4,AC147651.4,ABHD3,ABCA5,AASDHPPT,AFAP1L2,ACSL4,AC147651.4,ABHD3,ABCA5,AASDHPPT,AFAP1L2,ACSL4,AC147651.4,ABHD3,ABCA5,AASDHPPT,AFAP1L2,ACSL4,AC147651.4,ABHD3,ABCA5,AASDHPPT,AFAP1L2,ACSL4,AC147651.4,ABHD3,ABCA5,AASDHPPT
14,AGPAT5,ACTC1,ACAP2,ABI2,ABCB1,AASS,AGPAT5,ACTC1,ACAP2,ABI2,ABCB1,AASS,AGPAT5,ACTC1,ACAP2,ABI2,ABCB1,AASS,AGPAT5,ACTC1,ACAP2,ABI2,ABCB1,AASS,AGPAT5,ACTC1,ACAP2,ABI2,ABCB1,AASS
15,AGT,ACTN1,ACKR3,ABI3,ABCB10,AATF,AGT,ACTN1,ACKR3,ABI3,ABCB10,AATF,AGT,ACTN1,ACKR3,ABI3,ABCB10,AATF,AGT,ACTN1,ACKR3,ABI3,ABCB10,AATF,AGT,ACTN1,ACKR3,ABI3,ABCB10,AATF
16,AKIRIN1,ACTN4,ACOT11,ABI3BP,ABCB8,AATK,AKIRIN1,ACTN4,ACOT11,ABI3BP,ABCB8,AATK,AKIRIN1,ACTN4,ACOT11,ABI3BP,ABCB8,AATK,AKIRIN1,ACTN4,ACOT11,ABI3BP,ABCB8,AATK,AKIRIN1,ACTN4,ACOT11,ABI3BP,ABCB8,AATK
17,AKIRIN2,ACTR2,ACPP,ABL2,ABCB9,ABCA1,AKIRIN2,ACTR2,ACPP,ABL2,ABCB9,ABCA1,AKIRIN2,ACTR2,ACPP,ABL2,ABCB9,ABCA1,AKIRIN2,ACTR2,ACPP,ABL2,ABCB9,ABCA1,AKIRIN2,ACTR2,ACPP,ABL2,ABCB9,ABCA1
18,ALAS2,ACTR3,ACRBP,ABLIM1,ABCC1,ABCA10,ALAS2,ACTR3,ACRBP,ABLIM1,ABCC1,ABCA10,ALAS2,ACTR3,ACRBP,ABLIM1,ABCC1,ABCA10,ALAS2,ACTR3,ACRBP,ABLIM1,ABCC1,ABCA10,ALAS2,ACTR3,ACRBP,ABLIM1,ABCC1,ABCA10
19,ANK1,ACVR1,ACSL4,ABLIM3,ABCC3,ABCA11P,ANK1,ACVR1,ACSL4,ABLIM3,ABCC3,ABCA11P,ANK1,ACVR1,ACSL4,ABLIM3,ABCC3,ABCA11P,ANK1,ACVR1,ACSL4,ABLIM3,ABCC3,ABCA11P,ANK1,ACVR1,ACSL4,ABLIM3,ABCC3,ABCA11P
