,3350-NUSVR--nu=0.05-C=0.1,3350-NUSVR--nu=0.1-C=0.1,3350-NUSVR--nu=0.15-C=0.1,3350-NUSVR--nu=0.25-C=0.1,3350-NUSVR--nu=0.5-C=0.1,3350-NUSVR--nu=0.75-C=0.1,3350-NUSVR--nu=0.05-C=0.5,3350-NUSVR--nu=0.1-C=0.5,3350-NUSVR--nu=0.15-C=0.5,3350-NUSVR--nu=0.25-C=0.5,3350-NUSVR--nu=0.5-C=0.5,3350-NUSVR--nu=0.75-C=0.5,3350-NUSVR--nu=0.05-C=0.75,3350-NUSVR--nu=0.1-C=0.75,3350-NUSVR--nu=0.15-C=0.75,3350-NUSVR--nu=0.25-C=0.75,3350-NUSVR--nu=0.5-C=0.75,3350-NUSVR--nu=0.75-C=0.75,3350-NUSVR--nu=0.05-C=1,3350-NUSVR--nu=0.1-C=1,3350-NUSVR--nu=0.15-C=1,3350-NUSVR--nu=0.25-C=1,3350-NUSVR--nu=0.5-C=1,3350-NUSVR--nu=0.75-C=1,3350-NUSVR--nu=0.05-C=10,3350-NUSVR--nu=0.1-C=10,3350-NUSVR--nu=0.15-C=10,3350-NUSVR--nu=0.25-C=10,3350-NUSVR--nu=0.5-C=10,3350-NUSVR--nu=0.75-C=10
0,ABLIM3,ABHD11,AATK,A2M,A2M,A2M,ABLIM3,ABHD11,AATK,A2M,A2M,A1CF,ABLIM3,ABHD11,AATK,A2M,A2M,A2M,ABLIM3,ABHD11,AATK,A2M,A2M,A2M,ABLIM3,ABHD11,AATK,A2M,A2M,A2M
1,ACPP,ABHD12,ABCB1,A4GALT,A4GALT,A4GALT,ACPP,ABHD12,ABCB1,A4GALT,A4GALT,A2M,ACPP,ABHD12,ABCB1,A4GALT,A4GALT,A4GALT,ACPP,ABHD12,ABCB1,A4GALT,A4GALT,A4GALT,ACPP,ABHD12,ABCB1,A4GALT,A4GALT,A4GALT
2,ACRBP,ABHD3,ABCC3,AASDH,AAK1,AACS,ACRBP,ABHD3,ABCC3,AASDH,AAK1,A4GALT,ACRBP,ABHD3,ABCC3,AASDH,AAK1,AACS,ACRBP,ABHD3,ABCC3,AASDH,AAK1,AACS,ACRBP,ABHD3,ABCC3,AASDH,AAK1,AACS
3,ACTN4,ABL2,ABCC5,AATF,AAMP,AAK1,ACTN4,ABL2,ABCC5,AATF,AAMP,AACS,ACTN4,ABL2,ABCC5,AATF,AAMP,AAK1,ACTN4,ABL2,ABCC5,AATF,AAMP,AAK1,ACTN4,ABL2,ABCC5,AATF,AAMP,AAK1
4,ACTR2,ABLIM3,ABHD11,AATK,AARS,AAMDC,ACTR2,ABLIM3,ABHD11,AATK,AARS,AAK1,ACTR2,ABLIM3,ABHD11,AATK,AARS,AAMP,ACTR2,ABLIM3,ABHD11,AATK,AARS,AAMP,ACTR2,ABLIM3,ABHD11,AATK,AARS,AAMP
5,ACTR3,ACAP1,ABHD12,ABCA5,AARSD1,AAMP,ACTR3,ACAP1,ABHD12,ABCA5,AARSD1,AAMP,ACTR3,ACAP1,ABHD12,ABCA5,AARSD1,AAR2,ACTR3,ACAP1,ABHD12,ABCA5,AARSD1,AAR2,ACTR3,ACAP1,ABHD12,ABCA5,AARSD1,AAR2
6,ADAMTS9,ACPP,ABHD3,ABCB1,AASDH,AAR2,ADAMTS9,ACPP,ABHD3,ABCB1,AASDH,AAR2,ADAMTS9,ACPP,ABHD3,ABCB1,AASDH,AARS,ADAMTS9,ACPP,ABHD3,ABCB1,AASDH,AARS,ADAMTS9,ACPP,ABHD3,ABCB1,AASDH,AARS
7,ADGRL4,ACRBP,ABL1,ABCC1,AATF,AARS,ADGRL4,ACRBP,ABL1,ABCC1,AATF,AARS,ADGRL4,ACRBP,ABL1,ABCC1,AATF,AARSD1,ADGRL4,ACRBP,ABL1,ABCC1,AATF,AARSD1,ADGRL4,ACRBP,ABL1,ABCC1,AATF,AARSD1
8,ADIPOR1,ACTN1,ABL2,ABCC3,AATK,AARSD1,ADIPOR1,ACTN1,ABL2,ABCC3,AATK,AARSD1,ADIPOR1,ACTN1,ABL2,ABCC3,AATK,AASDH,ADIPOR1,ACTN1,ABL2,ABCC3,AATK,AASDH,ADIPOR1,ACTN1,ABL2,ABCC3,AATK,AASDH
9,AGPAT5,ACTN4,ABLIM1,ABCC4,ABCA4,AASDH,AGPAT5,ACTN4,ABLIM1,ABCC4,ABCA4,AASDH,AGPAT5,ACTN4,ABLIM1,ABCC4,ABCA4,AASDHPPT,AGPAT5,ACTN4,ABLIM1,ABCC4,ABCA4,AASDHPPT,AGPAT5,ACTN4,ABLIM1,ABCC4,ABCA4,AASDHPPT
