,11322-NUSVR--nu=0.05-C=0.1,11322-NUSVR--nu=0.1-C=0.1,11322-NUSVR--nu=0.15-C=0.1,11322-NUSVR--nu=0.25-C=0.1,11322-NUSVR--nu=0.5-C=0.1,11322-NUSVR--nu=0.75-C=0.1,11322-NUSVR--nu=0.05-C=0.5,11322-NUSVR--nu=0.1-C=0.5,11322-NUSVR--nu=0.15-C=0.5,11322-NUSVR--nu=0.25-C=0.5,11322-NUSVR--nu=0.5-C=0.5,11322-NUSVR--nu=0.75-C=0.5,11322-NUSVR--nu=0.05-C=0.75,11322-NUSVR--nu=0.1-C=0.75,11322-NUSVR--nu=0.15-C=0.75,11322-NUSVR--nu=0.25-C=0.75,11322-NUSVR--nu=0.5-C=0.75,11322-NUSVR--nu=0.75-C=0.75,11322-NUSVR--nu=0.05-C=1,11322-NUSVR--nu=0.1-C=1,11322-NUSVR--nu=0.15-C=1,11322-NUSVR--nu=0.25-C=1,11322-NUSVR--nu=0.5-C=1,11322-NUSVR--nu=0.75-C=1,11322-NUSVR--nu=0.05-C=10,11322-NUSVR--nu=0.1-C=10,11322-NUSVR--nu=0.15-C=10,11322-NUSVR--nu=0.25-C=10,11322-NUSVR--nu=0.5-C=10,11322-NUSVR--nu=0.75-C=10
0,ABL2,ABCC4,ABCC4,AAK1,AADAT,A1CF,ABL2,ABCC4,ABCC4,AAK1,AADAT,A1CF,ABL2,ABCC4,ABCC4,AAK1,AADAT,A1CF,ABL2,ABCC4,ABCC4,AAK1,AADAT,A1CF,ABL2,ABCC4,ABCC4,AAK1,AADAT,A1CF
1,ABLIM3,ABHD11,ABCD3,AASDH,AAK1,A2M,ABLIM3,ABHD11,ABCD3,AASDH,AAK1,A2M,ABLIM3,ABHD11,ABCD3,AASDH,AAK1,A2M,ABLIM3,ABHD11,ABCD3,AASDH,AAK1,A2M,ABLIM3,ABHD11,ABCD3,AASDH,AAK1,A2M
2,ACPP,ABHD12,ABCD4,AASS,AARS,A4GALT,ACPP,ABHD12,ABCD4,AASS,AARS,A4GALT,ACPP,ABHD12,ABCD4,AASS,AARS,A4GALT,ACPP,ABHD12,ABCD4,AASS,AARS,A4GALT,ACPP,ABHD12,ABCD4,AASS,AARS,A4GALT
3,ACRBP,ABHD17A,ABHD11,ABCA5,AARSD1,AADAT,ACRBP,ABHD17A,ABHD11,ABCA5,AARSD1,AADAT,ACRBP,ABHD17A,ABHD11,ABCA5,AARSD1,AADAT,ACRBP,ABHD17A,ABHD11,ABCA5,AARSD1,AADAT,ACRBP,ABHD17A,ABHD11,ABCA5,AARSD1,AADAT
4,ACTN1,ABHD3,ABHD12,ABCB1,AASDH,AAK1,ACTN1,ABHD3,ABHD12,ABCB1,AASDH,AAK1,ACTN1,ABHD3,ABHD12,ABCB1,AASDH,AAK1,ACTN1,ABHD3,ABHD12,ABCB1,AASDH,AAK1,ACTN1,ABHD3,ABHD12,ABCB1,AASDH,AAK1
5,ACTN4,ABHD5,ABHD17A,ABCC1,AASS,AAMDC,ACTN4,ABHD5,ABHD17A,ABCC1,AASS,AAMDC,ACTN4,ABHD5,ABHD17A,ABCC1,AASS,AAMDC,ACTN4,ABHD5,ABHD17A,ABCC1,AASS,AAMDC,ACTN4,ABHD5,ABHD17A,ABCC1,AASS,AAMDC
6,ACTR2,ABL2,ABHD3,ABCC4,AATF,AAMP,ACTR2,ABL2,ABHD3,ABCC4,AATF,AAMP,ACTR2,ABL2,ABHD3,ABCC4,AATF,AAMP,ACTR2,ABL2,ABHD3,ABCC4,AATF,AAMP,ACTR2,ABL2,ABHD3,ABCC4,AATF,AAMP
7,ACTR3,ABLIM1,ABHD5,ABCD3,ABCA1,AARS,ACTR3,ABLIM1,ABHD5,ABCD3,ABCA1,AARS,ACTR3,ABLIM1,ABHD5,ABCD3,ABCA1,AARS,ACTR3,ABLIM1,ABHD5,ABCD3,ABCA1,AARS,ACTR3,ABLIM1,ABHD5,ABCD3,ABCA1,AARS
8,ADD3,ABLIM3,ABL2,ABCD4,ABCA2,AARS2,ADD3,ABLIM3,ABI3BP,ABCD4,ABCA2,AARS2,ADD3,ABLIM3,ABI3BP,ABCD4,ABCA2,AARS2,ADD3,ABLIM3,ABI3BP,ABCD4,ABCA2,AARS2,ADD3,ABLIM3,ABI3BP,ABCD4,ABCA2,AARS2
9,ADGRG6,AC009506.1,ABLIM1,ABCG1,ABCA5,AARSD1,ADGRG6,AC009506.1,ABL2,ABCG1,ABCA5,AARSD1,ADGRG6,AC009506.1,ABL2,ABCG1,ABCA5,AARSD1,ADGRG6,AC009506.1,ABL2,ABCG1,ABCA5,AARSD1,ADGRG6,AC009506.1,ABL2,ABCG1,ABCA5,AARSD1
