,1916-NUSVR--nu=0.05-C=0.1,1916-NUSVR--nu=0.1-C=0.1,1916-NUSVR--nu=0.15-C=0.1,1916-NUSVR--nu=0.25-C=0.1,1916-NUSVR--nu=0.5-C=0.1,1916-NUSVR--nu=0.75-C=0.1,1916-NUSVR--nu=0.05-C=0.5,1916-NUSVR--nu=0.1-C=0.5,1916-NUSVR--nu=0.15-C=0.5,1916-NUSVR--nu=0.25-C=0.5,1916-NUSVR--nu=0.5-C=0.5,1916-NUSVR--nu=0.75-C=0.5,1916-NUSVR--nu=0.05-C=0.75,1916-NUSVR--nu=0.1-C=0.75,1916-NUSVR--nu=0.15-C=0.75,1916-NUSVR--nu=0.25-C=0.75,1916-NUSVR--nu=0.5-C=0.75,1916-NUSVR--nu=0.75-C=0.75,1916-NUSVR--nu=0.05-C=1,1916-NUSVR--nu=0.1-C=1,1916-NUSVR--nu=0.15-C=1,1916-NUSVR--nu=0.25-C=1,1916-NUSVR--nu=0.5-C=1,1916-NUSVR--nu=0.75-C=1,1916-NUSVR--nu=0.05-C=10,1916-NUSVR--nu=0.1-C=10,1916-NUSVR--nu=0.15-C=10,1916-NUSVR--nu=0.25-C=10,1916-NUSVR--nu=0.5-C=10,1916-NUSVR--nu=0.75-C=10
0,ABCA8,ABCA8,AARS2,A4GALT,A2M,A1CF,ABCA8,ABCA8,AARS2,A4GALT,A2M,A1CF,ABCA8,ABCA8,AARS2,A4GALT,A2M,A1CF,ABCA8,ABCA8,AARS2,A4GALT,A2M,A1CF,ABCA8,ABCA8,AARS2,A4GALT,A2M,A1CF
1,ABL2,ABHD3,ABCA8,AARS2,A4GALT,A2M,ABL2,ABHD3,ABCA8,AARS2,A4GALT,A2M,ABL2,ABHD3,ABCA8,AARS2,A4GALT,A2M,ABL2,ABHD3,ABCA8,AARS2,A4GALT,A2M,ABL2,ABHD3,ABCA8,AARS2,A4GALT,A2M
2,ABLIM3,ABL2,ABCB1,AASDH,AAK1,A4GALT,ABLIM3,ABL2,ABCB1,AASDH,AAK1,A4GALT,ABLIM3,ABL2,ABCB1,AASDH,AAK1,A4GALT,ABLIM3,ABL2,ABCB1,AASDH,AAK1,A4GALT,ABLIM3,ABL2,ABCB1,AASDH,AAK1,A4GALT
3,ACRBP,ABLIM1,ABCC3,AATF,AARS,AACS,ACRBP,ABLIM1,ABCC3,AATF,AARS,AACS,ACRBP,ABLIM1,ABCC3,AATF,AARS,AACS,ACRBP,ABLIM1,ABCC3,AATF,AARS,AACS,ACRBP,ABLIM1,ABCC3,AATF,AARS,AACS
4,ACTN4,ABLIM3,ABHD3,ABCA5,AARS2,AAK1,ACTN4,ABLIM3,ABHD3,ABCA5,AARS2,AAK1,ACTN4,ABLIM3,ABHD3,ABCA5,AARS2,AAK1,ACTN4,ABLIM3,ABHD3,ABCA5,AARS2,AAK1,ACTN4,ABLIM3,ABHD3,ABCA5,AARS2,AAK1
5,ACTR2,ACLY,ABL2,ABCA8,AARSD1,AAMDC,ACTR2,ACLY,ABL2,ABCA8,AARSD1,AAMDC,ACTR2,ACLY,ABL2,ABCA8,AARSD1,AAMDC,ACTR2,ACLY,ABL2,ABCA8,AARSD1,AAMDC,ACTR2,ACLY,ABL2,ABCA8,AARSD1,AAMDC
6,ACTR3,ACP5,ABLIM1,ABCB1,AASDH,AAMP,ACTR3,ACP5,ABLIM1,ABCB1,AASDH,AAMP,ACTR3,ACP5,ABLIM1,ABCB1,AASDH,AAMP,ACTR3,ACP5,ABLIM1,ABCB1,AASDH,AAMP,ACTR3,ACP5,ABLIM1,ABCB1,AASDH,AAMP
7,ADAM28,ACPP,ABLIM3,ABCC3,AATF,AAR2,ADAM28,ACPP,ABLIM3,ABCC3,AATF,AAR2,ADAM28,ACPP,ABLIM3,ABCC3,AATF,AAR2,ADAM28,ACPP,ABLIM3,ABCC3,AATF,AAR2,ADAM28,ACPP,ABLIM3,ABCC3,AATF,AAR2
8,ADGRG6,ACRBP,ACLY,ABCD4,ABCA10,AARS,ADGRG6,ACRBP,ACLY,ABCD4,ABCA10,AARS,ADGRG6,ACRBP,ACLY,ABCD4,ABCA10,AARS,ADGRG6,ACRBP,ACLY,ABCD4,ABCA10,AARS,ADGRG6,ACRBP,ACLY,ABCD4,ABCA10,AARS
9,ADIPOR1,ACTC1,ACP5,ABHD11,ABCA2,AARS2,ADIPOR1,ACTC1,ACP5,ABHD11,ABCA2,AARS2,ADIPOR1,ACTC1,ACP5,ABHD11,ABCA2,AARS2,ADIPOR1,ACTC1,ACP5,ABHD11,ABCA2,AARS2,ADIPOR1,ACTC1,ACP5,ABHD11,ABCA2,AARS2
